
[00:00:00.000 --> 00:00:01.720]  各位早晨,平安
[00:00:01.720 --> 00:00:06.640]  今天不單止台上的目者可以打開面見大家
[00:00:06.640 --> 00:00:09.400]  大家也可以隨意地開面
[00:00:09.400 --> 00:00:13.000]  站在這裡看大家的真面目的時候
[00:00:13.000 --> 00:00:14.600]  其實真的很感動
[00:00:14.600 --> 00:00:17.400]  能夠這樣跟神分享神的話語
[00:00:17.400 --> 00:00:20.200]  跟大家面對面是很喜悅的
[00:00:20.200 --> 00:00:24.000]  其實今天也是我第一次沒有戴口罩站在台上正道
[00:00:24.000 --> 00:00:28.400]  面對面本來好像沒什麼特別
[00:00:28.400 --> 00:00:32.400]  但是經過連續三年千多天的戴口罩的時候
[00:00:32.400 --> 00:00:35.800]  大家也體會到原來能夠跟人面對面
[00:00:35.800 --> 00:00:37.800]  也是這麼喜悅和感動
[00:00:37.800 --> 00:00:41.000]  記得上星期Carol傳道跟我們說
[00:00:41.000 --> 00:00:44.200]  神對人轉念隱藏
[00:00:44.200 --> 00:00:47.800]  令我想起如果人能夠跟神面對面
[00:00:47.800 --> 00:00:49.600]  不知道是什麼光景
[00:00:49.600 --> 00:00:52.000]  當我們這一刻打開神的話
[00:00:52.000 --> 00:00:53.800]  去尋求神的面的時候
[00:00:53.800 --> 00:00:56.000]  與我們一起謙卑禱告
[00:00:56.000 --> 00:00:58.000]  求主與天上垂聽
[00:00:58.000 --> 00:00:59.600]  赦免醫治我們
[00:00:59.600 --> 00:01:01.000]  請我們一起禱告
[00:01:01.000 --> 00:01:07.800]  天父,今天當我們很多弟兄姊妹打開面聚會
[00:01:07.800 --> 00:01:10.600]  求你同時間都向我們打開你的面
[00:01:10.600 --> 00:01:13.800]  求你以基督的赦免的血洗淨我們
[00:01:13.800 --> 00:01:15.400]  赦免我們的罪
[00:01:15.400 --> 00:01:17.000]  復甦我們的靈
[00:01:17.000 --> 00:01:19.000]  叫我們每一個都看見
[00:01:19.000 --> 00:01:21.000]  看見你是何等的愛我們
[00:01:21.000 --> 00:01:22.000]  愛世人
[00:01:22.000 --> 00:01:23.400]  在幻變的世代
[00:01:23.400 --> 00:01:26.400]  因你的愛我們都確實自己的身份
[00:01:26.400 --> 00:01:28.400]  主啊,願你的面光照我們
[00:01:28.400 --> 00:01:29.800]  賜恩給我們
[00:01:29.800 --> 00:01:31.800]  奉耶穌的名求,阿們
[00:01:31.800 --> 00:01:34.800]  我三個兒子小時候
[00:01:34.800 --> 00:01:35.800]  我們都會去附近
[00:01:35.800 --> 00:01:38.400]  深水埗、旺角這些地方的牌檔裡面
[00:01:38.400 --> 00:01:41.400]  有時走走,看看玩具、看看雜貨
[00:01:41.400 --> 00:01:43.400]  當然他們除了看玩具之外
[00:01:43.400 --> 00:01:45.600]  其實他們對其他東西沒什麼興趣
[00:01:45.600 --> 00:01:47.000]  會挨悶的
[00:01:47.000 --> 00:01:48.400]  直到有一次他們三兄弟
[00:01:48.400 --> 00:01:49.600]  不知為何走來走去的時候
[00:01:49.600 --> 00:01:52.000]  忽然之間卡卡卡笑到滾地
[00:01:52.000 --> 00:01:53.600]  我就想想,又不是在看玩具
[00:01:53.600 --> 00:01:55.600]  究竟有什麼好笑呢
[00:01:55.600 --> 00:01:56.800]  原來他們發現了
[00:01:56.800 --> 00:01:59.600]  牌檔的檔主為了吸引客人的時候
[00:01:59.600 --> 00:02:01.000]  在那裡重複地說
[00:02:01.000 --> 00:02:02.800]  「過來看啊,過來選啊」
[00:02:02.800 --> 00:02:05.000]  「過來看看啊,隨便選啊」
[00:02:05.000 --> 00:02:06.800]  他們覺得不斷重複地說
[00:02:06.800 --> 00:02:08.000]  很搞笑
[00:02:08.000 --> 00:02:10.200]  接著最多鬼主意的二老
[00:02:10.200 --> 00:02:13.400]  他們又學起了檔主的說話
[00:02:13.400 --> 00:02:15.200]  一邊笑一邊裝
[00:02:15.200 --> 00:02:17.800]  「走過路過,過來隨便選」
[00:02:17.800 --> 00:02:20.000]  「不計成本,只求清倉」
[00:02:20.000 --> 00:02:21.000]  他不斷地說
[00:02:21.000 --> 00:02:23.800]  「走過路過,三兄弟卡卡卡」
[00:02:23.800 --> 00:02:25.200]  從此他們走到牌檔
[00:02:25.200 --> 00:02:26.800]  三兄弟都不再挨悶了
[00:02:26.800 --> 00:02:28.800]  因為他們都會玩賣東西的歌
[00:02:28.800 --> 00:02:32.200]  有時候甚至在家裡都會說唱
[00:02:32.200 --> 00:02:33.800]  牌檔檔主這句
[00:02:33.800 --> 00:02:35.800]  「過來看啊,看看啊」
[00:02:35.800 --> 00:02:38.000]  究竟有沒有吸引到客人
[00:02:38.000 --> 00:02:39.400]  路過的人留下來
[00:02:39.400 --> 00:02:40.400]  然後看看他的貨品
[00:02:40.400 --> 00:02:41.400]  我就不知道
[00:02:41.400 --> 00:02:43.600]  但起碼他都吸引到我三個兒子
[00:02:43.600 --> 00:02:46.600]  能夠停下來笑一笑,看一看
[00:02:46.600 --> 00:02:47.400]  用了兩個月
[00:02:47.400 --> 00:02:50.800]  我們已經讀到《約翰一書》的中間第三章
[00:02:50.800 --> 00:02:54.600]  約翰突然間像牌檔的檔主一樣叫停我們
[00:02:54.600 --> 00:02:58.800]  他說「你們看,look,看一看,behold,看真一點」
[00:02:58.800 --> 00:03:01.200]  是一個帶有命令的「看」字
[00:03:01.200 --> 00:03:04.600]  「你們看,負此給我們是何等的慈愛」
[00:03:04.600 --> 00:03:07.000]  「讓我們得以稱為神的兒女」
[00:03:07.000 --> 00:03:11.200]  請聽我讀出今天《約翰一書》三章一至十節的經文
[00:03:11.200 --> 00:03:12.600]  我請大家如果可以
[00:03:12.600 --> 00:03:14.400]  都拿出港渡大綱
[00:03:14.400 --> 00:03:16.600]  實體的,手機的都拿出來
[00:03:16.600 --> 00:03:17.800]  因為我們服上的路
[00:03:17.800 --> 00:03:20.200]  我們對著經文和港渡大綱聽
[00:03:20.200 --> 00:03:21.600]  真的會不同一點
[00:03:21.600 --> 00:03:23.600]  《約翰一書》三章一至十節
[00:03:23.600 --> 00:03:27.800]  「你們看,負此給我們是何等的慈愛」
[00:03:27.800 --> 00:03:30.200]  「讓我們得以稱為神的兒女」
[00:03:30.200 --> 00:03:32.400]  「我們也真是祂的兒女」
[00:03:32.400 --> 00:03:34.400]  「世人不認識我們的理由」
[00:03:34.400 --> 00:03:36.600]  「是因他們未曾認識父」
[00:03:36.600 --> 00:03:40.800]  「親愛的,我們現在是神的兒女」
[00:03:40.800 --> 00:03:42.800]  「將來如何還未顯明」
[00:03:42.800 --> 00:03:46.000]  「我們所知道的事,既然顯現的時候」
[00:03:46.000 --> 00:03:47.400]  「我們會像祂」
[00:03:47.400 --> 00:03:50.400]  「因為我們將見到祂的本相」
[00:03:50.400 --> 00:03:53.800]  「凡對祂有者指望的,就潔淨自己」
