
[00:00:00.000 --> 00:00:06.000]  謝謝敬拜隊帶領我們繼續有敬拜的時間
[00:00:06.000 --> 00:00:09.000]  今天好像少了一些人
[00:00:09.000 --> 00:00:14.000]  昨晚台灣短宣好像今天不見了
[00:00:14.000 --> 00:00:17.000]  不知道是否昨天去完訓練,今早忘了起來
[00:00:17.000 --> 00:00:23.000]  今天回來,我猜第一樣你會感受到有些不同的
[00:00:23.000 --> 00:00:24.000]  就是你的椅子
[00:00:24.000 --> 00:00:28.000]  我昨天才知道我們換了新椅子
[00:00:28.000 --> 00:00:31.000]  我發現新椅子有一個好的地方
[00:00:31.000 --> 00:00:37.000]  原來你現在靠下去,終於不會好像快要倒了
[00:00:37.000 --> 00:00:39.000]  我覺得很堅挺
[00:00:39.000 --> 00:00:44.000]  幫助大家堅挺地留心聽神的話語
[00:00:44.000 --> 00:00:47.000]  不如今天進入講道之先
[00:00:47.000 --> 00:00:49.000]  我們先有個祈禱
[00:00:49.000 --> 00:00:53.000]  我們用祈禱開始進入神的話語
[00:00:53.000 --> 00:00:55.000]  主啊,願祢去帶領我們
[00:00:55.000 --> 00:01:01.000]  讓我們能夠此刻打開我們的心
[00:01:01.000 --> 00:01:04.000]  讓祢的話語進入我們的生命
[00:01:04.000 --> 00:01:06.000]  我們可能會有被提醒
[00:01:06.000 --> 00:01:12.000]  我們都盼望祢的話語轉化我們的生命
[00:01:12.000 --> 00:01:13.000]  願祢帶領我們
[00:01:13.000 --> 00:01:19.000]  讓我們能夠專注,謙卑下來聽祢的話語
[00:01:19.000 --> 00:01:22.000]  祈禱交托,奉主明求,阿門
[00:01:22.000 --> 00:01:26.000]  今天想和大家分享的主題就是
[00:01:26.000 --> 00:01:30.000]  這些機會不是屬於我的
[00:01:30.000 --> 00:01:33.000]  今天應該是六月的最後一個星期
[00:01:33.000 --> 00:01:36.000]  這個月其實Claire上次也有說過
[00:01:36.000 --> 00:01:39.000]  我們都很想透過聖經去看看
[00:01:39.000 --> 00:01:42.000]  如何去服侍這件事
[00:01:42.000 --> 00:01:44.000]  我想適逢踏入暑假
[00:01:44.000 --> 00:01:46.000]  或者剛剛這一兩個月
[00:01:46.000 --> 00:01:50.000]  大家都應該有很多侍奉團隊的招募
[00:01:50.000 --> 00:01:53.000]  大家去參與這些服侍的時候
[00:01:53.000 --> 00:01:55.000]  填報名表的時候
[00:01:55.000 --> 00:02:00.000]  有沒有留意這些報名表都有一個共通點
[00:02:00.000 --> 00:02:03.000]  那個共通點不是叫大家寫名
[00:02:03.000 --> 00:02:05.000]  寫來自哪個組別
[00:02:05.000 --> 00:02:07.000]  那個共通點是什麼呢
[00:02:07.000 --> 00:02:10.000]  通常在報名表上都會出現一個
[00:02:10.000 --> 00:02:12.000]  應該看不到太小
[00:02:12.000 --> 00:02:14.000]  寫什麼呢
[00:02:14.000 --> 00:02:17.000]  就是問你有什麼技能
[00:02:17.000 --> 00:02:20.000]  我不知道大家平時寫報名表的時候
[00:02:20.000 --> 00:02:22.000]  這個位置是寫什麼的
[00:02:22.000 --> 00:02:26.000]  我很喜歡看人們回答這個問題
[00:02:26.000 --> 00:02:29.000]  因為大家的回答都非常有創意
[00:02:29.000 --> 00:02:31.000]  曾經我見過大家寫什麼呢
[00:02:31.000 --> 00:02:35.000]  有些人就寫說他喜歡賣笑
[00:02:35.000 --> 00:02:40.000]  他的賣笑括弧寫著是Claire那種
[00:02:40.000 --> 00:02:42.000]  可能他喜歡搞笑
[00:02:42.000 --> 00:02:46.000]  有些人就說他的技能就是按PowerPoint
[00:02:46.000 --> 00:02:52.000]  有些人就空白了就沒有寫任何東西
[00:02:52.000 --> 00:02:55.000]  我不知道你在寫這個位置的時候
[00:02:55.000 --> 00:02:58.000]  你的本身的想法是什麼
[00:02:58.000 --> 00:02:59.000]  可能有些人會覺得
[00:02:59.000 --> 00:03:01.000]  好像想的都很困難
[00:03:01.000 --> 00:03:03.000]  想的都想不到是怎麼寫
[00:03:03.000 --> 00:03:05.000]  有些人就說算了隨便寫了
[00:03:05.000 --> 00:03:07.000]  面試都會再問
[00:03:07.000 --> 00:03:10.000]  隨便吧隨便塞些字進去
[00:03:10.000 --> 00:03:13.000]  不過我想當我去想一想
[00:03:13.000 --> 00:03:16.000]  我們設計這份表格的時候為什麼要這樣寫呢
[00:03:16.000 --> 00:03:19.000]  我想這個問題的背後有幾個方面
[00:03:19.000 --> 00:03:22.000]  第一個方面可能就是問的是
[00:03:22.000 --> 00:03:24.000]  其實你自己有沒有想到
[00:03:24.000 --> 00:03:27.000]  有什麼可以在這個服事上去付出呢
[00:03:27.000 --> 00:03:29.000]  又或者是問的是
[00:03:29.000 --> 00:03:33.000]  其實你有多認識自己呢
[00:03:33.000 --> 00:03:36.000]  又或者是再問的就是
[00:03:36.000 --> 00:03:40.000]  你怎樣去參與這一次的服事呢
[00:03:40.000 --> 00:03:42.000]  或者這個服事的崗位呢
[00:03:42.000 --> 00:03:47.000]  我們經常說要在服事上去付出
[00:03:47.000 --> 00:03:51.000]  可能我們很多時候就會想到一些很宏大的經文
[00:03:51.000 --> 00:03:53.000]  我們要獻上自己當作活祭
[00:03:53.000 --> 00:03:55.000]  我們要去為神去做見證
[00:03:55.000 --> 00:03:58.000]  不過當我們同樣踏入服事的時候
[00:03:58.000 --> 00:04:00.000]  我們有時候都會想
