
[00:00:00.000 --> 00:00:04.540]  今天我們來到教會的第四週
[00:00:04.540 --> 00:00:06.800]  是教會的主題講道
[00:00:06.800 --> 00:00:09.720]  我們繼續講約書亞記
[00:00:09.720 --> 00:00:13.660]  今天我給大家的題目叫信心超越之旅
[00:00:13.660 --> 00:00:15.540]  我不知道你有沒有信心
[00:00:15.540 --> 00:00:19.380]  有時候我見到有些人考試之前很沒有信心
[00:00:19.380 --> 00:00:22.580]  吃不安坐不下
[00:00:22.580 --> 00:00:25.240]  有些人面對壓力的時候會怎樣
[00:00:25.240 --> 00:00:26.880]  散暗瘡
[00:00:26.880 --> 00:00:28.640]  你有沒有的?
[00:00:28.640 --> 00:00:31.660]  我有時散暗瘡又有
[00:00:31.660 --> 00:00:32.900]  便秘又有
[00:00:32.900 --> 00:00:34.240]  什麼都有的
[00:00:34.240 --> 00:00:35.960]  不知道你是哪一種
[00:00:35.960 --> 00:00:39.840]  今天我們透過約書亞記
[00:00:39.840 --> 00:00:41.920]  約書亞記面對一個挑戰
[00:00:41.920 --> 00:00:44.080]  攻打耶利哥的經文
[00:00:44.080 --> 00:00:47.680]  讓我們去看何謂信心
[00:00:47.680 --> 00:00:54.520]  我們一起先讀一讀約書亞記第五章十三到十五節
[00:00:54.520 --> 00:00:57.600]  不如請姐妹幫我讀
[00:00:57.600 --> 00:00:59.520]  姐妹通常齊心一點
[00:00:59.520 --> 00:01:00.720]  大聲一點
[00:01:00.720 --> 00:01:01.640]  我們請姐妹
[00:01:01.640 --> 00:01:03.600]  接著第二段請弟兄讀
[00:01:03.600 --> 00:01:05.400]  預備一二三
[00:01:27.600 --> 00:01:30.560]  耶和華軍隊的元帥
[00:01:30.560 --> 00:01:33.600]  約書亞就伏伏在地下拜
[00:01:33.600 --> 00:01:37.360]  說:我主有什麼話吩咐僕人
[00:01:37.360 --> 00:01:41.160]  耶和華軍隊的元帥對約書亞說
[00:01:41.160 --> 00:01:43.880]  把你腳上的牌脫下
[00:01:43.880 --> 00:01:47.240]  因為你所站的地方是城的
[00:01:47.240 --> 00:01:49.960]  約書亞就會照著走
[00:01:49.960 --> 00:01:52.840]  接著第六章一到五節
[00:01:52.840 --> 00:01:53.960]  我們請弟兄讀
[00:01:53.960 --> 00:01:55.680]  預備一二三
[00:01:55.680 --> 00:02:00.680]  另外那扇城門因以色列人就關得勁緊
[00:02:00.680 --> 00:02:02.200]  無人出入
[00:02:02.200 --> 00:02:05.000]  耶和華曉語約書亞說
[00:02:05.000 --> 00:02:09.240]  看啊我已經把耶利哥和耶利哥的王
[00:02:09.240 --> 00:02:13.240]  並大林的勇士都交在你手上
[00:02:13.240 --> 00:02:17.000]  你們的一切兵兵要圍繞這城
[00:02:17.000 --> 00:02:19.000]  一日圍繞一次
[00:02:19.000 --> 00:02:21.680]  六日都要這樣行
[00:02:21.680 --> 00:02:24.960]  七個祭司要拿七個陽國
[00:02:24.960 --> 00:02:26.800]  走在約鬼前
[00:02:26.800 --> 00:02:28.240]  到第七日
[00:02:28.240 --> 00:02:30.560]  你們要繞城七日
[00:02:30.560 --> 00:02:32.800]  祭司也要吹國
[00:02:32.800 --> 00:02:35.520]  他們吹國聲拖長
[00:02:35.520 --> 00:02:37.480]  你們聽見國聲
[00:02:37.480 --> 00:02:40.440]  眾百姓要大聲下喊
[00:02:40.440 --> 00:02:42.760]  城牆就必倒塌
[00:02:42.760 --> 00:02:45.960]  因為都要往前行了
[00:02:45.960 --> 00:02:49.960]  接著請聽我讀希伯來書十一章三十節
[00:02:49.960 --> 00:02:51.720]  以色列人恩爵信
[00:02:51.720 --> 00:02:53.680]  圍繞耶利哥城七日
[00:02:53.680 --> 00:02:56.240]  城牆就倒塌了
[00:02:56.240 --> 00:03:00.040]  我們一齊有一個禱告
[00:03:00.040 --> 00:03:03.440]  創造天地滿有權能的上帝
[00:03:03.440 --> 00:03:06.960]  我知道你在你手中沒有難成的事
[00:03:06.960 --> 00:03:09.440]  但很多時候我們的信心軟弱
[00:03:09.440 --> 00:03:13.440]  我們的心仍然被我們的限制所包裹著
[00:03:13.440 --> 00:03:16.360]  以致我們看不見上帝的全能
[00:03:16.360 --> 00:03:19.160]  在我們做跟隨主的過程裏面
[00:03:19.160 --> 00:03:21.440]  我們容易畏首畏尾
[00:03:21.440 --> 00:03:24.240]  我們願意祈禱今日約書亞的經文
[00:03:24.240 --> 00:03:26.400]  或者甚至約書亞記的教導
[00:03:26.400 --> 00:03:29.840]  讓我們體會到我們倚靠順服當中
[00:03:29.840 --> 00:03:31.720]  所衍生出來的能力
[00:03:31.720 --> 00:03:34.360]  讓我們生活活得像基督
[00:03:34.360 --> 00:03:36.640]  我們願意聖靈在我們裏面工作
[00:03:36.640 --> 00:03:38.760]  讓神的話語幫助我們
[00:03:38.760 --> 00:03:41.040]  禱告奉耶穌名求
[00:03:41.040 --> 00:03:43.040]  阿們
[00:03:43.040 --> 00:03:46.480]  關於約書亞記第六章
[00:03:46.480 --> 00:03:47.800]  或者第五章
[00:03:47.800 --> 00:03:50.920]  關於推臨耶利哥城牆這個經文
[00:03:50.920 --> 00:03:53.600]  曾經有個很出名的故事
[00:03:53.600 --> 00:03:56.040]  叫做推臨耶利哥城牆
[00:03:56.040 --> 00:03:57.280]  你聽過沒有
[00:03:57.280 --> 00:03:59.280]  誰推臨耶利哥城牆
[00:03:59.280 --> 00:04:01.680]  我問大家你聽過沒有
[00:04:01.680 --> 00:04:03.840]  這個以前聽得很出名
[00:04:03.840 --> 00:04:07.280]  話說有間教會主日學的時候
[00:04:07.280 --> 00:04:08.800]  是兒童主日學
[00:04:08.800 --> 00:04:11.760]  主日學的校長從事課室
