
[00:00:00.000 --> 00:00:06.680]  我們今天繼續在迦太太書裏面一起分享神的話
[00:00:06.680 --> 00:00:09.120]  我們首先讀出今天的經文
[00:00:09.120 --> 00:00:12.160]  是迦太太書三章十五節到二十九節
[00:00:12.160 --> 00:00:15.200]  投影片就多謝後面幫我們預備了
[00:00:15.200 --> 00:00:17.520]  我們一起讀吧
[00:00:17.520 --> 00:00:18.600]  一二三
[00:00:18.600 --> 00:00:22.280]  弟兄們,我照著人的觀點說
[00:00:22.280 --> 00:00:25.000]  人的遺囑一經確定
[00:00:25.000 --> 00:00:28.400]  沒有人能廢棄或加增
[00:00:28.400 --> 00:00:34.160]  那些認許原是向亞伯拉罕和他後裔說的
[00:00:34.160 --> 00:00:38.800]  並不是說和眾後裔指許多人
[00:00:38.800 --> 00:00:45.360]  而是說和你那個後裔指一個人就是基督
[00:00:45.360 --> 00:00:47.200]  我是這麼說
[00:00:47.200 --> 00:00:55.480]  上帝預先所立的約不能被四百三十年以後的律法廢掉
[00:00:55.480 --> 00:00:57.760]  使認許失效
[00:00:57.760 --> 00:01:02.200]  因為承受產業若是出於律法
[00:01:02.200 --> 00:01:05.280]  就不再是出於認許
[00:01:05.280 --> 00:01:11.440]  但神是憑著認許把產業賜給亞伯拉罕
[00:01:11.440 --> 00:01:15.760]  這樣說來,為什麼要有律法呢?
[00:01:15.760 --> 00:01:20.800]  律法是為過犯的緣故而加上去的
[00:01:20.800 --> 00:01:26.240]  那後那蒙應許的子孫到財結束
[00:01:26.240 --> 00:01:31.200]  是藉著天使經宗保之手而設立的
[00:01:31.200 --> 00:01:35.760]  但宗保不是為單方設立的
[00:01:35.760 --> 00:01:37.920]  神卻是一位
[00:01:37.920 --> 00:01:42.280]  這樣,律法是與神的應許對立嗎?
[00:01:42.280 --> 00:01:43.920]  絕對不是
[00:01:43.920 --> 00:01:48.680]  如果律法的頒布能使人得生命
[00:01:48.680 --> 00:01:52.160]  已就承言出於律法了
[00:01:52.160 --> 00:01:56.560]  但聖經把萬物都圈在罪裡
[00:01:56.560 --> 00:02:03.560]  為要使因信耶穌基督而來的應許及信的人
[00:02:03.560 --> 00:02:07.360]  但這信還未來以前
[00:02:07.360 --> 00:02:11.040]  我們被看守在律法之下
[00:02:11.040 --> 00:02:13.080]  將被圈住
[00:02:13.080 --> 00:02:17.120]  直到那將來的信顯明出來
[00:02:17.120 --> 00:02:21.600]  這樣,律法是我們的啟蒙教師
[00:02:21.600 --> 00:02:23.880]  直到基督來了
[00:02:23.880 --> 00:02:27.040]  好使我們因信稱義
[00:02:27.040 --> 00:02:29.840]  但這信既然來到
[00:02:29.840 --> 00:02:35.480]  我們從此就不再啟蒙教師的手下了
[00:02:35.480 --> 00:02:37.960]  其實,你們藉著信
[00:02:37.960 --> 00:02:42.800]  在基督耶穌裡都成為神的兒女
[00:02:42.800 --> 00:02:46.440]  你們凡受洗歸入基督的
[00:02:46.440 --> 00:02:48.800]  都披戴基督了
[00:02:48.800 --> 00:02:52.760]  不再分猶太人或希臘人
[00:02:52.760 --> 00:02:56.080]  不再分遺奴的自主的
[00:02:56.080 --> 00:02:58.800]  不再分男的女的
[00:02:58.800 --> 00:03:04.360]  因為你們在基督耶穌裡都成為一了
[00:03:04.360 --> 00:03:07.280]  既然你們屬於基督
[00:03:07.280 --> 00:03:11.120]  你們就是亞伯拉罕的子孫
[00:03:11.120 --> 00:03:15.120]  是照著應許承受產業的了
[00:03:15.120 --> 00:03:16.880]  我們再一次去禱告
[00:03:16.880 --> 00:03:19.000]  我們多謝李寶貴的話語
[00:03:19.000 --> 00:03:21.360]  求你自己得到當德的榮耀
[00:03:21.360 --> 00:03:24.040]  讓我們在這一刻宣講的時候
[00:03:24.040 --> 00:03:27.160]  明白你的心所想所求
[00:03:27.160 --> 00:03:31.040]  我們這樣禱告奉耶穌基督的名而求
[00:03:31.040 --> 00:03:34.600]  合一是人類歷史上不斷追求的
[00:03:34.600 --> 00:03:36.440]  剛剛過去的奧運我們看到
[00:03:36.440 --> 00:03:40.840]  其實是一個很想追求整個世界走在一起
[00:03:40.840 --> 00:03:43.200]  合一的一個舉措
[00:03:43.200 --> 00:03:45.720]  我們看到東京奧運很努力地
[00:03:45.720 --> 00:03:48.320]  排除萬難都要去舉辦
[00:03:48.320 --> 00:03:51.240]  其實東京奧運第一次的舉辦
[00:03:51.240 --> 00:03:54.480]  是想在1940年
[00:03:54.480 --> 00:04:00.120]  當時1940年隨著1937年的盧溝橋事變
[00:04:00.120 --> 00:04:01.720]  日本侵略中國
[00:04:01.720 --> 00:04:04.840]  以至東京奧運不能夠在日本舉行
[00:04:04.840 --> 00:04:07.480]  不只是第一次在亞洲舉行奧運會
[00:04:07.480 --> 00:04:09.200]  就是那一次了
[00:04:09.200 --> 00:04:10.480]  當時的奧委會
[00:04:10.480 --> 00:04:12.400]  國際奧委會決定將東京奧運
[00:04:12.400 --> 00:04:15.440]  搬去芬蘭的赫爾辛基
[00:04:15.440 --> 00:04:17.920]  但是隨著在1940年
[00:04:17.920 --> 00:04:20.280]  俄國或者當時的蘇聯入侵芬蘭
[00:04:20.280 --> 00:04:23.360]  展開了一場很苦澀的戰爭
[00:04:23.360 --> 00:04:25.960]  叫做蘇芬冬季戰爭
[00:04:25.960 --> 00:04:29.840]  以至那年的奧運會不能夠在芬蘭舉行
[00:04:29.840 --> 00:04:30.800]  奧運有一個特色就是
[00:04:30.800 --> 00:04:32.760]  想不同的種族的人走在一起
[00:04:32.760 --> 00:04:34.800]  但是在當年的奧運
[00:04:34.800 --> 00:04:37.520]  它是第二次世界大戰的一個序幕
[00:04:37.520 --> 00:04:41.320]  以至人類是不斷地離散
[00:04:41.320 --> 00:04:45.080]  直到今次的奧運
[00:04:45.080 --> 00:04:47.840]  都看不到是一片和諧
[00:04:47.840 --> 00:04:50.560]  我們看見有白俄羅斯的女選手
[00:04:50.560 --> 00:04:52.560]  尋求政治庇護
[00:04:52.560 --> 00:04:53.840]  我們看見有些選手
[00:04:53.840 --> 00:04:56.680]  她表現未如國民所想像的理想
[00:04:56.680 --> 00:04:59.480]  而受到網絡的欺凌和攻擊
[00:04:59.480 --> 00:05:01.800]  我們看見有跨性別人士的參與
[00:05:01.800 --> 00:05:03.920]  以至一些真正的女選手
[00:05:03.920 --> 00:05:07.040]  她們參與奧運的機會被剝奪
[00:05:07.040 --> 00:05:11.720]  我們看見在火炬傳送的路線圖上面
[00:05:11.720 --> 00:05:13.440]  韓國和日本
[00:05:13.440 --> 00:05:16.680]  在爭取誰擁有獨島的主權而爭拗
[00:05:16.680 --> 00:05:19.040]  日本也在和俄國爭拗
[00:05:19.040 --> 00:05:23.680]  誰擁有南千島群島
[00:05:23.680 --> 00:05:25.040]  一場簡單的奧運
