
[00:00:00.000 --> 00:00:05.000]  早安 打個招呼 好久沒見了
[00:00:05.000 --> 00:00:08.400]  因為我最近9月開始下了兒童部
[00:00:08.400 --> 00:00:11.400]  所以星期天都不在這裡和大家一起
[00:00:11.400 --> 00:00:14.000]  剛才多謝敬拜隊和我們一起敬拜
[00:00:14.000 --> 00:00:16.000]  剛才那一隊敬拜隊
[00:00:16.000 --> 00:00:19.600]  我今早他們預備的時候坐在那裡看著他們
[00:00:19.600 --> 00:00:21.800]  我發覺原來他們全部都是
[00:00:21.800 --> 00:00:25.400]  他們高中的時候是我的叔叔
[00:00:25.400 --> 00:00:27.600]  大哥你遲一點你就明白了
[00:00:27.600 --> 00:00:31.000]  總之我好像全部他們的組都進去過
[00:00:31.000 --> 00:00:32.000]  我記得他們
[00:00:32.000 --> 00:00:33.400]  剛才敬拜裡面
[00:00:33.400 --> 00:00:35.000]  師哥帶我們去回想
[00:00:35.000 --> 00:00:38.000]  我們有沒有避開過上帝
[00:00:38.000 --> 00:00:40.000]  我們帶上帝去找我們
[00:00:40.000 --> 00:00:42.600]  我們回轉的時候 神就在我們背後
[00:00:42.600 --> 00:00:45.200]  我又記得他們那一班人
[00:00:45.200 --> 00:00:47.000]  他們都進去了 我先講一下他們
[00:00:47.000 --> 00:00:49.000]  他們每個都是
[00:00:49.000 --> 00:00:51.600]  我記得他們每個其實他們信仰和你們一樣
[00:00:51.600 --> 00:00:53.200]  他們都是因福長大的
[00:00:53.200 --> 00:00:54.800]  他們生命信仰裡面
[00:00:54.800 --> 00:00:57.400]  其實都有躲起來不讓上帝找到
[00:00:57.400 --> 00:00:59.800]  但是今天他們每個都在台上
[00:00:59.800 --> 00:01:02.800]  帶我們一起去敬拜
[00:01:02.800 --> 00:01:06.000]  我相信他們就是這樣經歷這個信仰
[00:01:06.000 --> 00:01:07.200]  神會找回你們
[00:01:07.200 --> 00:01:10.000]  所以今天就算你想走開
[00:01:10.000 --> 00:01:12.000]  有時候你想逃避信仰
[00:01:12.000 --> 00:01:15.600]  我很想繼續看著你們長大
[00:01:15.600 --> 00:01:17.400]  到時候你們都是侍奉的一班
[00:01:17.400 --> 00:01:20.000]  你們都在神裡面經歷祂的愛的一班
[00:01:20.000 --> 00:01:21.600]  期待你們的成長
[00:01:21.600 --> 00:01:23.200]  好 進入今天的講道
[00:01:23.200 --> 00:01:25.600]  有沒有人知道這個叉燒是什麼來的?
[00:01:26.600 --> 00:01:30.400]  不知道你們有沒有看這個叉燒
[00:01:30.400 --> 00:01:34.400]  那個本身是一個小小粗口的潮語
[00:01:34.400 --> 00:01:35.600]  我改了它
[00:01:35.600 --> 00:01:38.200]  就是"It's another level shape"
[00:01:38.200 --> 00:01:39.600]  講一下一個形狀
[00:01:39.600 --> 00:01:41.400]  一個不同層次的形狀
[00:01:41.400 --> 00:01:43.000]  這個字是這個意思
[00:01:43.000 --> 00:01:45.000]  問下一個大家的問題
[00:01:45.000 --> 00:01:49.000]  我想問大家覺得基督徒有型嗎?
[00:01:49.000 --> 00:01:51.400]  做基督徒是不是型仔?
[00:01:51.400 --> 00:01:53.400]  出來包包餵幣的那些嗎?
[00:01:55.400 --> 00:01:57.400]  我中學的時候
[00:01:57.400 --> 00:01:59.800]  我剛上中學的時候
[00:01:59.800 --> 00:02:02.000]  就認識到一些同學
[00:02:02.000 --> 00:02:04.200]  同學邀請我回教會
[00:02:04.200 --> 00:02:05.600]  我很乖的
[00:02:05.600 --> 00:02:06.600]  終於別人邀請我
[00:02:06.600 --> 00:02:07.400]  我就回去了
[00:02:07.400 --> 00:02:08.800]  我就回到教會
[00:02:08.800 --> 00:02:11.200]  不過我回教會的時候
[00:02:11.200 --> 00:02:13.600]  沒多久我就缺自信主了
[00:02:13.600 --> 00:02:15.800]  我就覺得自己是基督徒
[00:02:15.800 --> 00:02:16.800]  做了基督徒之後
