
[00:00:00.000 --> 00:00:08.000]  近來有一部港產電影《九龍城寨之圍城》
[00:00:08.000 --> 00:00:12.000]  不知道大家有沒有聽聞過,沒有看過也聽聞吧
[00:00:12.000 --> 00:00:21.000]  大家都非常賣座,竟然是一個我們闊別很久的九龍城寨
[00:00:21.000 --> 00:00:35.000]  成為城中佳話,這部電影傳媒也有很多報導,上網看YouTube也有很多不同的短片介紹
[00:00:35.000 --> 00:00:46.000]  城寨一直以來被視為三不管的地帶,由於歷史因素和地理環境
[00:00:46.000 --> 00:00:55.000]  當年如果大家知道一些歷史,滿清政府割讓香港島和九龍半島給英國政府的時候
[00:00:55.000 --> 00:01:05.000]  保留了九龍城寨的地方給中國政府來管治,繼續有當時大清的律例
[00:01:05.000 --> 00:01:12.000]  但是過了這麼多年,清朝也過去了,時移易逝,種種政治因素
[00:01:12.000 --> 00:01:23.000]  城寨成為三不管的地帶,港英年代的殖民地政府,中國政府和英國政府都不願意去管理
[00:01:23.000 --> 00:01:32.000]  塑造了城寨成為龍蛇混雜的犯罪天堂,黃賭毒很猖獗
[00:01:32.000 --> 00:01:42.000]  加上城寨裡面的錯綜複雜,看到城寨的地方,錯綜複雜,懷舊一下大家
[00:01:42.000 --> 00:01:50.000]  錯綜複雜的街道小巷,很多非法僭建,建的墓都是僭建的
[00:01:50.000 --> 00:01:55.000]  建的墓就會產生很多衛生問題等等
[00:01:55.000 --> 00:02:02.000]  城寨成為了一個不見天日的黑暗地方,因為遮住陽光
[00:02:02.000 --> 00:02:14.000]  其中很震撼九龍城寨之圍城這部電影的導演,是一段真實的宣家歷史
[00:02:14.000 --> 00:02:25.000]  原來當年有一位22歲的英國女子,潘寧卓,她在1966年隻身來到香港
[00:02:25.000 --> 00:02:33.000]  蒙上膚色就進了九龍城寨,之後20多年,直到九龍城被拆了,她一直都在這裡
[00:02:33.000 --> 00:02:40.000]  很多年用了福音幫助很多人,解毒和離開黑社會
[00:02:40.000 --> 00:02:48.000]  潘寧卓的事跡成為我們被譽為東方之珠最黑暗地方的明燈
[00:02:48.000 --> 00:02:56.000]  香港最污穢最污糟的地方,聖潔主耶穌的一個標記
[00:02:56.000 --> 00:03:07.000]  保羅亦向提摩太,說到如何建立門徒,聖潔是攸關重要
[00:03:07.000 --> 00:03:15.000]  讓我們一起讀提摩太後書二章十四到二十六節
[00:03:15.000 --> 00:03:23.000]  你要向眾人提醒這件事,在神面前祝福他們不可在言語上爭辯
[00:03:23.000 --> 00:03:28.000]  這是沒有益處的,只能傷害聽的人
[00:03:28.000 --> 00:03:34.000]  你當竭力在神面前做一個經得起考驗、無愧的工人
[00:03:34.000 --> 00:03:40.000]  按著正義講解真理的話,要遠避世俗的空談
[00:03:40.000 --> 00:03:45.000]  因為這等空談,會使人進到更不敬虔的地步
[00:03:45.000 --> 00:03:53.000]  他們的話如同毒瘡,越爛越大,其中有許米奶和肥里濤
[00:03:53.000 --> 00:04:00.000]  他們離真理復活的事已過去,敗壞了好些人的信心
[00:04:00.000 --> 00:04:04.000]  然而神堅固的根基屹立不移
[00:04:04.000 --> 00:04:09.000]  上面有者印記說:主認得他自己的人
[00:04:09.000 --> 00:04:14.000]  有說:凡稱呼主名的人,總要離開不移
[00:04:14.000 --> 00:04:19.000]  大戶人家不但有金器銀器,是有木器瓦器
[00:04:19.000 --> 00:04:24.000]  有作為貴重之用的,有作為卑賤之用的
[00:04:24.000 --> 00:04:30.000]  人若自潔,脫離卑賤的事,必成為貴重的器命
[00:04:30.000 --> 00:04:35.000]  成為聖潔,合乎主用,預備行各樣的善事
[00:04:35.000 --> 00:04:42.000]  你要逃避年輕人的私慾,用那以純潔的心求告主的人
[00:04:42.000 --> 00:04:46.000]  追求公義,求人愛和平
[00:04:46.000 --> 00:04:50.000]  但要棄絕那如厥無知的辯論
[00:04:50.000 --> 00:04:54.000]  因為你知道這等事,只會引起不爭辯
[00:04:54.000 --> 00:04:58.000]  主的僕人不可爭辯,只要溫和待人
[00:04:58.000 --> 00:05:01.000]  善於教導,恆心忍耐
[00:05:01.000 --> 00:05:04.000]  讓溫柔勸導反對的人
[00:05:04.000 --> 00:05:09.000]  也許神會給他們悔改的心,能明白真理
[00:05:09.000 --> 00:05:15.000]  讓他們這些已被魔鬼腦去信從他詭計的人
[00:05:15.000 --> 00:05:19.000]  能醒悟過來,脫離他的惡夢
[00:05:19.000 --> 00:05:26.000]  在214字提醒是命令語氣動詞
[00:05:26.000 --> 00:05:33.000]  表示保羅很鄭重地要求提摩提提醒回眾
[00:05:33.000 --> 00:05:35.000]  提醒人們這些事
[00:05:35.000 --> 00:05:37.000]  這些事是指甚麼呢?
[00:05:37.000 --> 00:05:41.000]  可以指前文所說的211-113節
[00:05:41.000 --> 00:05:45.000]  復活的主耶穌,基督是可信靠的
[00:05:45.000 --> 00:05:54.000]  也可以指後文是言語上的聖潔
[00:05:54.000 --> 00:06:03.000]  言語上的聖潔,由於語言會引起爭辯爭執
[00:06:03.000 --> 00:06:07.000]  甚至很多罪案,或者犯官非
[00:06:07.000 --> 00:06:11.000]  都是語言上可以引起的
[00:06:11.000 --> 00:06:14.000]  而且種類層出不窮
[00:06:14.000 --> 00:06:21.000]  言語可以引起爭論爭端比任何行為都容易
[00:06:21.000 --> 00:06:25.000]  在信向圈子裡也不例外
[00:06:25.000 --> 00:06:28.000]  所以門徒學習聖潔
[00:06:28.000 --> 00:06:31.000]  首先在言語上要知所進退
[00:06:31.000 --> 00:06:36.000]  退的就是要避免言談一些錯謬
[00:06:36.000 --> 00:06:41.000]  在214-23節提到
[00:06:41.000 --> 00:06:48.000]  言語上的爭辯與愚蠢無知的辯論
[00:06:48.000 --> 00:06:56.000]  有些人為爭論而爭論,有試過嗎?
[00:06:56.000 --> 00:06:58.000]  在小組有試過嗎?
[00:06:58.000 --> 00:07:00.000]  有些人都合透了
[00:07:00.000 --> 00:07:03.000]  如果小組有一個人是這樣,你都很煩,很辛苦
[00:07:03.000 --> 00:07:07.000]  為爭論而爭論,不會幫助人認識真理
[00:07:07.000 --> 00:07:10.000]  也不會鼓勵增加信心
[00:07:10.000 --> 00:07:12.000]  也沒有建設性
[00:07:12.000 --> 00:07:17.000]  教會也很容易發生這些問題
[00:07:17.000 --> 00:07:20.000]  教會內部處事要避免這種情況
[00:07:20.000 --> 00:07:23.000]  因為會破壞信徒的信心
[00:07:23.000 --> 00:07:27.000]  還有另一種討論
[00:07:27.000 --> 00:07:31.000]  表面上好像是信仰的討論
[00:07:31.000 --> 00:07:34.000]  如果爭辯者為爭論而爭論
[00:07:34.000 --> 00:07:38.000]  會浪費很多時間,破壞信徒的信心
[00:07:38.000 --> 00:07:41.000]  例如有一個問題,不少人問
[00:07:41.000 --> 00:07:45.000]  神可否做一塊石頭,自己舉不起?
[00:07:45.000 --> 00:07:47.000]  有人聽過嗎?
[00:07:47.000 --> 00:07:49.000]  有聽過吧?
[00:07:49.000 --> 00:07:54.000]  初次聽,覺得很有趣,很高深
[00:07:54.000 --> 00:07:56.000]  有些信仰問題
[00:07:56.000 --> 00:07:59.000]  原來這個問題是邏輯謬誤的問題
[00:07:59.000 --> 00:08:04.000]  這個問題本身不應該成立
[00:08:04.000 --> 00:08:07.000]  不應該浪費時間去爭辯
[00:08:07.000 --> 00:08:10.000]  在《白樓書》一章三節說
[00:08:10.000 --> 00:08:14.000]  祂是神榮耀的光輝,是神本體的真相
[00:08:14.000 --> 00:08:17.000]  常用祂大能的命令托住萬有
[00:08:17.000 --> 00:08:20.000]  祂洗淨了人的罪
[00:08:20.000 --> 00:08:23.000]  就坐在高天至大者的右邊
[00:08:23.000 --> 00:08:29.000]  這裡說到耶穌也在創造萬有當中參與
[00:08:29.000 --> 00:08:33.000]  因為祂也是神,三位一體的神也有創造萬有
[00:08:33.000 --> 00:08:38.000]  創造萬有後,神不會扔掉我們
[00:08:38.000 --> 00:08:41.000]  不理會的,原來神一直托住萬有
[00:08:41.000 --> 00:08:43.000]  祂用權能托住萬有
