
[00:00:00.000 --> 00:00:03.520]  各位現場及網上的頂姐妹主內平安
[00:00:03.520 --> 00:00:09.560]  今天我們是「與神相遇」系列的專題講道
[00:00:09.560 --> 00:00:12.640]  而今天的主題就是「與神獨處」
[00:00:12.640 --> 00:00:15.800]  我首先請大家跟我一起祈禱
[00:00:15.800 --> 00:00:19.520]  今天是五旬節
[00:00:19.520 --> 00:00:23.240]  我們很感謝天父祢賜下了聖靈
[00:00:23.240 --> 00:00:27.520]  我們在這一刻就懇求聖靈打開我們每一個人的心
[00:00:27.840 --> 00:00:33.640]  能夠很專心的聆聽主耶穌跟我們每一個人所說的話
[00:00:33.640 --> 00:00:39.160]  經歷到天父與你相遇所帶來的滿足和更新
[00:00:39.160 --> 00:00:42.840]  我們同心的禱告奉賴主耶穌聖名而求
[00:00:42.840 --> 00:00:43.840]  阿們
[00:00:43.840 --> 00:00:48.480]  情侶很需要單獨約會
[00:00:48.480 --> 00:00:50.840]  我想問一下夫妻需不需要?
[00:00:50.840 --> 00:00:53.440]  很多人都噩頭
[00:00:53.440 --> 00:00:54.640]  感恩
[00:00:55.000 --> 00:00:59.840]  其實連親子個別單獨的時間都非常重要的
[00:00:59.840 --> 00:01:00.560]  是不是?
[00:01:00.560 --> 00:01:04.800]  花時間單獨跟所愛的人一起
[00:01:04.800 --> 00:01:06.920]  不單加深大家的了解
[00:01:06.920 --> 00:01:09.120]  建立一個更加親密的關係
[00:01:09.120 --> 00:01:13.960]  以致我們才能夠共同去面對生命的挑戰
[00:01:13.960 --> 00:01:17.040]  同樣大家有沒有想過
[00:01:17.040 --> 00:01:20.520]  我們都很需要單獨跟神獨處
[00:01:20.520 --> 00:01:23.680]  跟神建立更親密的關係
[00:01:24.000 --> 00:01:28.160]  更深的體會跟神在我們人生的路上
[00:01:28.160 --> 00:01:31.000]  那個同在、同行和同工
[00:01:31.000 --> 00:01:37.520]  神的兒子主耶穌在世的時候經常跟神獨處的
[00:01:37.520 --> 00:01:39.920]  在公開傳道之先
[00:01:39.920 --> 00:01:43.360]  他在曠野跟神多久在一起?
[00:01:43.360 --> 00:01:45.360]  四十天
[00:01:45.360 --> 00:01:50.640]  他下山之後去揀選門徒的時候
[00:01:51.560 --> 00:01:55.640]  他又獨自整夜來祈禱
[00:01:55.640 --> 00:01:58.960]  他比我們的服侍更加忙碌
[00:01:58.960 --> 00:02:00.840]  但是忙碌過後
[00:02:00.840 --> 00:02:06.560]  他經常退到山上、曠野、海邊獨自跟神對話
[00:02:06.560 --> 00:02:10.760]  當然還有當耶穌上十字架之先
[00:02:10.760 --> 00:02:14.360]  在黑山瑪麗園那個很深切的禱告
[00:02:14.360 --> 00:02:19.840]  獨處就是主耶穌教導我們要進入內室關上門
[00:02:19.920 --> 00:02:24.760]  禱告你在暗中的父的一個真實的版
