
[00:00:00.000 --> 00:00:02.560]  今晚能夠來到大家當中
[00:00:02.560 --> 00:00:04.400]  是很期望跟大家分享
[00:00:04.400 --> 00:00:07.040]  《二佛所書》其中的一段
[00:00:07.040 --> 00:00:09.600]  在這一段裡面
[00:00:09.600 --> 00:00:12.400]  很想跟大家分享到
[00:00:12.400 --> 00:00:14.800]  整個《二佛所書》的一些想法
[00:00:14.800 --> 00:00:18.200]  但是其實都是在回答一個問題
[00:00:18.200 --> 00:00:21.200]  就是到底我們的生命的意義
[00:00:21.200 --> 00:00:22.600]  在哪裡呢?
[00:00:22.600 --> 00:00:26.000]  今天經文就在《二佛所書》三章十到十三節
[00:00:26.000 --> 00:00:28.000]  我們有的時候一起讀出來好嗎?
[00:00:28.000 --> 00:00:29.000]  我們一起讀出來
[00:00:29.000 --> 00:00:31.000]  我們來讀一二三
[00:00:31.000 --> 00:00:33.000]  (廣東話)
[00:00:33.000 --> 00:00:35.000]  (廣東話)
[00:00:35.000 --> 00:00:37.000]  (廣東話)
[00:00:37.000 --> 00:00:40.000]  「全的知道神百般的智慧」
[00:00:40.000 --> 00:00:44.680]  「這是照著神在我們主基督耶穌裡」
[00:00:44.680 --> 00:00:47.760]  「所完成的永恆的計劃」
[00:00:47.760 --> 00:00:53.260]  「我們因信耶穌就在他裡面放膽無懼」
[00:00:53.260 --> 00:00:56.740]  「滿有自信地進到神面前」
[00:00:56.740 --> 00:00:58.900]  「所以我求你們」
[00:00:58.900 --> 00:01:03.600]  「不要因我為你們所受的患難喪膽」
[00:01:03.600 --> 00:01:06.600]  「這原是你們的光榮」
[00:01:07.600 --> 00:01:10.600]  在想到這段經文的時候
[00:01:10.600 --> 00:01:15.200]  我想起最近有一間華潤堂結業了
[00:01:15.200 --> 00:01:17.700]  這個結業可能對大家
[00:01:17.700 --> 00:01:18.800]  大家都不會光顧的
[00:01:18.800 --> 00:01:22.400]  我估計沒有人光顧這些中性弱的群體
[00:01:22.400 --> 00:01:26.000]  但其實這個結業也在折射
