
[00:00:00.000 --> 00:00:10.000]  再次多謝敬拜隊帶領我們透過詩歌去敬拜、讚美我們的天父上帝
[00:00:10.000 --> 00:00:13.000]  今天不需要我多說,大家知道是甚麼日子
[00:00:13.000 --> 00:00:18.000]  其實我們今天這個日子,就介乎死亡和復活之間
[00:00:18.000 --> 00:00:23.000]  不知道我們的人生會否介乎死亡和復活之間
[00:00:23.000 --> 00:00:27.000]  即是說不生不死,會不會呢?
[00:00:27.000 --> 00:00:31.000]  我們的生命有時真的會去到這個地步
[00:00:31.000 --> 00:00:33.000]  有時我們會覺得很難受
[00:00:33.000 --> 00:00:37.000]  在我們人生裏面,我們會發覺好像沒有出路
[00:00:37.000 --> 00:00:41.000]  感恩,我們每個人都已信得住
[00:00:41.000 --> 00:00:44.000]  當然在座當中,可能有些是在冒著的朋友
[00:00:44.000 --> 00:00:47.000]  很想今天藉著這段經文
[00:00:47.000 --> 00:00:50.000]  讓大家思考這個信仰
[00:00:50.000 --> 00:00:59.000]  特別我很想從羅馬軍官的角度去看耶穌釘死這件事
[00:00:59.000 --> 00:01:03.000]  這是一個很特別的角度,我們很少想到
[00:01:03.000 --> 00:01:06.000]  其實當我們面對十字架的時候
[00:01:06.000 --> 00:01:11.000]  這個十字架,第一,那洞代表我們向上帝
[00:01:11.000 --> 00:01:15.000]  那橫代表人的相交,我們整個信仰就是這樣
[00:01:15.000 --> 00:01:18.000]  不過當我們看著十字架的時候
[00:01:18.000 --> 00:01:21.000]  我們可以從不同的角度去看
[00:01:21.000 --> 00:01:23.000]  上面的人看著的時候,這個角度
[00:01:23.000 --> 00:01:25.000]  在那邊看是另一個角度
[00:01:25.000 --> 00:01:29.000]  即是猶如昔日耶穌基督釘十字架的時候
[00:01:29.000 --> 00:01:32.000]  下面有羅馬兵丁
[00:01:32.000 --> 00:01:34.000]  有一班哭著的婦女
[00:01:34.000 --> 00:01:39.000]  有他的門徒,有釘了十字架的囚犯
[00:01:39.000 --> 00:01:43.000]  同樣,當然有二千年後的我們
[00:01:43.000 --> 00:01:46.000]  所以我們可以從不同的角度去看這個信仰
[00:01:46.000 --> 00:01:49.000]  我們有不同的切入點
[00:01:49.000 --> 00:01:56.000]  不過今天很想藉著一位羅馬軍官的切身見證
[00:01:56.000 --> 00:02:00.000]  去分享耶穌受苦受死的意義
[00:02:00.000 --> 00:02:04.000]  還有透過這一切的時候,他看到了甚麼
[00:02:04.000 --> 00:02:09.000]  在預備的過程中,我不知道自己是否太投入了
[00:02:09.000 --> 00:02:11.000]  我發覺自己在說的時候
[00:02:11.000 --> 00:02:13.000]  好像覺得自己是羅馬軍官
[00:02:13.000 --> 00:02:14.000]  所以待會說的時候
[00:02:14.000 --> 00:02:17.000]  有機會時空轉移倉
[00:02:17.000 --> 00:02:19.000]  我用了第一身說,知道嗎
[00:02:19.000 --> 00:02:21.000]  所以不要見怪
[00:02:21.000 --> 00:02:23.000]  不過當我們說
[00:02:23.000 --> 00:02:26.000]  要像羅馬軍官一樣在現場去說的時候
[00:02:26.000 --> 00:02:31.000]  你不能夠不回到二千年前的場景
[00:02:31.000 --> 00:02:34.000]  我們才能夠透徹明白
[00:02:34.000 --> 00:02:36.000]  因為相隔二千年的時候
[00:02:36.000 --> 00:02:40.000]  我們在時間、空間、文化裡面有一個差距
[00:02:40.000 --> 00:02:44.000]  我們很難完全明白耶穌的受苦是怎麼回事
[00:02:44.000 --> 00:02:48.000]  祂的死意何在
[00:02:48.000 --> 00:02:50.000]  當我們在這裡提到的時候
[00:02:50.000 --> 00:02:52.000]  提到羅馬軍官的時候
[00:02:52.000 --> 00:02:54.000]  我們先一起讀一讀這段經文,好嗎
[00:02:54.000 --> 00:02:58.000]  請聽我讀出來
[00:02:58.000 --> 00:03:06.000]  《馬太報》第27章50至54節說
[00:03:06.000 --> 00:03:11.000]  耶穌大聲喊叫,氣就斷了
[00:03:11.000 --> 00:03:17.000]  忽然,電裡的萬子從天和上到下裂為兩半
[00:03:17.000 --> 00:03:24.000]  地也震動,盤石也崩裂,墳墓也開了
[00:03:24.000 --> 00:03:28.000]  以瑞聖徒的身體多有起來
[00:03:28.000 --> 00:03:30.000]  到耶穌復活以後
[00:03:30.000 --> 00:03:32.000]  他們從墳墓裡出來
[00:03:32.000 --> 00:03:36.000]  進了聖城,向許多人顯現
[00:03:36.000 --> 00:03:40.000]  伯夫長回憶和看守耶穌的人
[00:03:40.000 --> 00:03:43.000]  看見地震並所經歷的事
[00:03:43.000 --> 00:03:46.000]  就極其害怕
[00:03:46.000 --> 00:03:50.000]  說,這真是神的意旨了
[00:03:50.000 --> 00:03:54.000]  這段經文當然在科幻書裡面
[00:03:54.000 --> 00:03:58.000]  在路加和馬赫福音都有同樣的記載
[00:03:58.000 --> 00:04:01.000]  不過大家有些重點稍微不同
[00:04:01.000 --> 00:04:03.000]  有個有趣的地方就是
[00:04:03.000 --> 00:04:05.000]  在路加和馬赫福音23章
[00:04:05.000 --> 00:04:07.000]  講到兵丁的時候
[00:04:07.000 --> 00:04:09.000]  講到伯夫長就是第47節
[00:04:09.000 --> 00:04:11.000]  他說伯夫長所看見所成的事
[00:04:11.000 --> 00:04:13.000]  歸榮耀於神
[00:04:13.000 --> 00:04:17.000]  說,這真是個疑人
