
[00:00:00.000 --> 00:00:02.000]  (教育局局長)
[00:00:02.000 --> 00:00:06.680]  (教育局局長) 弟兄姊妹平安
[00:00:06.680 --> 00:00:07.680]  (弟兄姊妹) 平安
[00:00:07.680 --> 00:00:10.080]  (教育局局長) 多謝建亮牧師的邀請
[00:00:10.080 --> 00:00:14.520]  (教育局局長) 今天可以和弟兄姊妹一起去同心敬拜
[00:00:14.520 --> 00:00:17.200]  (教育局局長) 剛才的詩歌很好
[00:00:17.200 --> 00:00:19.480]  (教育局局長) 有沒有留意剛才唱了甚麼
[00:00:19.480 --> 00:00:21.240]  (教育局局長) 剛才富哥的那首歌
[00:00:21.240 --> 00:00:23.760]  (教育局局長) 猜險我到四面八方
[00:00:23.760 --> 00:00:25.760]  (教育局局長) 全眾主的愛
[00:00:25.760 --> 00:00:28.720]  (教育局局長) 並能加諭拯救
[00:00:28.720 --> 00:00:30.240]  (教育局局長) 借使命交給我
[00:00:30.240 --> 00:00:32.720]  (教育局局長) 我相信都是大家的心聲
[00:00:32.720 --> 00:00:34.960]  (教育局局長) 大家今天在這裡敬拜
[00:00:34.960 --> 00:00:39.400]  (教育局局長) 很快有一天使命交給我
[00:00:39.400 --> 00:00:43.560]  (教育局局長) 去搭上北區開始服侍
[00:00:43.560 --> 00:00:49.240]  (教育局局長) 我也知道很感恩北區堂已經有堂子
[00:00:49.240 --> 00:00:52.240]  (教育局局長) 正在設計預備裝修
[00:00:52.240 --> 00:00:55.880]  (教育局局長) 雖然你們未必有份參與設計
[00:00:55.880 --> 00:00:58.120]  (教育局局長) 但相信你們都很興奮
[00:00:58.120 --> 00:00:59.880]  (教育局局長) 我聽到這一點都覺得
[00:00:59.880 --> 00:01:02.240]  (教育局局長) 真是好,應該不久的將來
[00:01:02.240 --> 00:01:07.080]  (教育局局長) 北區堂可以正式在北區開始行常聚會
[00:01:07.080 --> 00:01:09.080]  (教育局局長) 指日可待
[00:01:09.080 --> 00:01:11.920]  (教育局局長) 所以在這個蓄勢待發
[00:01:11.920 --> 00:01:14.200]  (教育局局長) 御戰在焉的階段
[00:01:14.200 --> 00:01:16.200]  (教育局局長) 我們都是這個階段
[00:01:16.200 --> 00:01:17.960]  (教育局局長) 是脈絡緊箍的時候
[00:01:17.960 --> 00:01:19.000]  (教育局局長) 弟兄姊妹
[00:01:19.000 --> 00:01:22.320]  (教育局局長) 我們又可以如何預備我們的生命
[00:01:22.320 --> 00:01:24.560]  (教育局局長) 到有一天真的去邁步
[00:01:24.560 --> 00:01:27.640]  (教育局局長) 去開展新的階段的侍奉呢?
[00:01:27.640 --> 00:01:31.440]  (教育局局長) 今天我就要和大家分享一個新的領袖
[00:01:31.440 --> 00:01:34.680]  (教育局局長) 他在一個充滿挑戰的時代
[00:01:34.680 --> 00:01:37.960]  (教育局局長) 他做出一個偉大的創舉
[00:01:37.960 --> 00:01:41.560]  (教育局局長) 偉大創舉背後是一個偉大的心靈
[00:01:41.560 --> 00:01:43.760]  (教育局局長) 就算我們沒有偉大創舉
[00:01:43.760 --> 00:01:47.320]  (教育局局長) 我們都可以效法這個偉大的心靈
[00:01:47.320 --> 00:01:49.800]  (教育局局長) 這種心靈很值得我們
[00:01:49.800 --> 00:01:52.560]  (教育局局長) 準備去北區開始侍奉的時候
[00:01:52.560 --> 00:01:55.040]  (教育局局長) 去到很好的效法
[00:01:55.040 --> 00:01:57.800]  (教育局局長) 讓我一起同心祈禱
[00:01:57.800 --> 00:02:01.280]  (教育局局長) 真愛天父
[00:02:01.280 --> 00:02:02.680]  (教育局局長) 我們來到祢的面前
[00:02:02.680 --> 00:02:05.120]  (教育局局長) 要聆聽祢的說話
[00:02:05.120 --> 00:02:06.480]  (教育局局長) 求真理的聖靈
[00:02:06.480 --> 00:02:09.480]  (教育局局長) 帶領我們進入祢的真理當中
[00:02:09.480 --> 00:02:11.920]  (教育局局長) 求祢拆亮我們的心
[00:02:11.920 --> 00:02:14.680]  (教育局局長) 禱告奉耶穌基督聖名求
[00:02:14.680 --> 00:02:16.560]  (教育局局長) 阿門
[00:02:16.560 --> 00:02:18.320]  (教育局局長) 讓我簡單交代一下
[00:02:18.320 --> 00:02:20.640]  (教育局局長) 今天的經文背景
[00:02:20.640 --> 00:02:21.560]  (教育局局長) 在歷代之下
[00:02:21.560 --> 00:02:24.960]  (教育局局長) 二十九章是一個新的大段落
[00:02:24.960 --> 00:02:29.000]  (教育局局長) 因為那裏記載了一個新的王登基
[00:02:29.000 --> 00:02:30.920]  (教育局局長) 就是希西加王
[00:02:30.920 --> 00:02:34.480]  (教育局局長) 當他接手王國的時候
[00:02:34.480 --> 00:02:38.960]  (教育局局長) 其實早已經不是一個統一而強大的以色列國
[00:02:38.960 --> 00:02:42.560]  (教育局局長) 而是一個充滿內憂外患的國家
