
[00:00:00.000 --> 00:00:03.320]  我想問問有多少位今早回到神禱會?
[00:00:03.320 --> 00:00:04.800]  很大部分
[00:00:04.800 --> 00:00:06.880]  也有很多是剛剛回來
[00:00:06.880 --> 00:00:11.840]  我們有不同的群體聚集
[00:00:11.840 --> 00:00:16.760]  在新的一年能夠一開始跟大家分享神的話
[00:00:16.760 --> 00:00:19.320]  是一件無盡感恩的事情
[00:00:19.320 --> 00:00:20.520]  我預備這篇講道
[00:00:20.520 --> 00:00:22.480]  我覺得自己很開心
[00:00:22.480 --> 00:00:24.720]  希望你聽的時候也同樣開心
[00:00:24.720 --> 00:00:25.920]  我們一起祈禱
[00:00:26.640 --> 00:00:29.840]  主耶穌我求主祢的靈在我們當中
[00:00:29.840 --> 00:00:32.040]  讓我們在祢自己的話語
[00:00:32.040 --> 00:00:33.360]  就是每一年的開始
[00:00:33.360 --> 00:00:34.360]  每一天的開始
[00:00:34.360 --> 00:00:36.720]  在我們一生的裏面充斥著我們
[00:00:36.720 --> 00:00:41.000]  以致我們憑著祢自己的話走我們每一步
[00:00:41.000 --> 00:00:43.280]  我們求主祢幫助在2021年
[00:00:43.280 --> 00:00:46.560]  在香港面對其他的挑戰前的路的時候
[00:00:46.560 --> 00:00:47.800]  我們不是看人
[00:00:47.800 --> 00:00:49.200]  我們繼續是看著神
[00:00:49.200 --> 00:00:51.080]  祢自己怎樣帶著教會
[00:00:51.080 --> 00:00:52.880]  怎樣帶著眾聖徒一起在這裡
[00:00:52.880 --> 00:00:54.240]  會出美好的見證
[00:00:54.240 --> 00:00:55.880]  成為城市的祝福
[00:00:55.880 --> 00:00:57.400]  也成為遍地的祝福
[00:00:57.400 --> 00:00:59.280]  願主祢就是這樣看顧我們
[00:00:59.280 --> 00:01:01.840]  我們這樣禱告奉耶穌基督的名而求
[00:01:01.840 --> 00:01:02.560]  阿們
[00:01:02.560 --> 00:01:06.120]  我不知道大家是否喜歡看戰爭片
[00:01:06.120 --> 00:01:07.920]  有多少人喜歡看戰爭片
[00:01:07.920 --> 00:01:09.160]  都是
[00:01:09.160 --> 00:01:10.720]  很好笑
