
[00:00:00.000 --> 00:00:03.000]  很開心在白天見到大家
[00:00:03.000 --> 00:00:07.000]  因為我在星期六晚的晚堂當值
[00:00:07.000 --> 00:00:09.000]  很開心今天大清早
[00:00:09.000 --> 00:00:12.000]  不知道你出門的時候有沒有覺得
[00:00:12.000 --> 00:00:15.000]  嘩 今天天朗氣清
[00:00:15.000 --> 00:00:17.000]  雖然之前都下過些毛毛雨
[00:00:17.000 --> 00:00:21.000]  雨後陽光都有一種盼望在裏頭
[00:00:21.000 --> 00:00:27.000]  剛才唱的那首詩歌
[00:00:27.000 --> 00:00:30.000]  不知道大家有沒有想起甚麼
[00:00:30.000 --> 00:00:32.000]  很多腳步
[00:00:32.000 --> 00:00:36.000]  我們今天看文素記33章
[00:00:36.000 --> 00:00:38.000]  都關於很多腳步
[00:00:38.000 --> 00:00:42.000]  去到以色列人要出埃及的紅海
[00:00:42.000 --> 00:00:49.000]  在曠野裏漂流了40年的屬靈旅遊記
[00:00:49.000 --> 00:00:53.000]  我們先思想一些經文
[00:00:53.000 --> 00:00:57.000]  很想和大家讀一讀經文
[00:00:57.000 --> 00:01:00.000]  我會分三個部分
[00:01:00.000 --> 00:01:09.000]  第一個部分我想邀請弟兄和我一起讀文素記33章第1至第4節
[00:01:09.000 --> 00:01:12.000]  在左上角都標示了
[00:01:12.000 --> 00:01:14.000]  藍色部分就是弟兄讀的
[00:01:14.000 --> 00:01:16.000]  留意著
[00:01:16.000 --> 00:01:24.000]  姐妹幫我們讀第5至第15節
[00:01:24.000 --> 00:01:26.000]  我會和大家一起讀
[00:01:26.000 --> 00:01:29.000]  最後我會讀最後一段
[00:01:29.000 --> 00:01:31.000]  OK嗎?
[00:01:31.000 --> 00:01:33.000]  大家很精神
[00:01:33.000 --> 00:01:35.000]  弟兄 預備
[00:01:35.000 --> 00:01:38.000]  1 2 3
[00:01:38.000 --> 00:01:44.000]  這是以色列人按著隊伍在摩西亞倫的手下
[00:01:44.000 --> 00:01:47.000]  出埃及地的行程
[00:01:47.000 --> 00:01:50.000]  摩西遵照耶和華的指示
[00:01:50.000 --> 00:01:54.000]  記錄他們每段行程的起點
[00:01:54.000 --> 00:01:57.000]  這些行程的起點如下
[00:01:57.000 --> 00:02:01.000]  第一個月就是正月十五日
[00:02:01.000 --> 00:02:03.000]  如月節的第二天
[00:02:03.000 --> 00:02:05.000]  他們從蘭塞起行
[00:02:05.000 --> 00:02:10.000]  在所有埃及人的眼前抬起頭來出去了
[00:02:10.000 --> 00:02:15.000]  那時埃及人正埋葬他們的長子
[00:02:15.000 --> 00:02:19.000]  就是耶和華在他們中間所擊殺的
[00:02:19.000 --> 00:02:23.000]  耶和華也懲治他們的眾神明
[00:02:23.000 --> 00:02:27.000]  以色列從蘭塞起行
[00:02:27.000 --> 00:02:29.000]  安營在疏閣
