
[00:00:00.000 --> 00:00:04.600]  我今天說到開始的時候
[00:00:04.600 --> 00:00:07.600]  我有一個調查想看看
[00:00:07.600 --> 00:00:09.400]  大家可以看下一張
[00:00:09.400 --> 00:00:18.200]  其實原來這裡有一個全世界最受歡迎的社交媒體平台
[00:00:18.200 --> 00:00:19.400]  我想問問大家
[00:00:19.400 --> 00:00:23.400]  有多少個在這些社交媒體平台裡面
[00:00:23.400 --> 00:00:26.000]  擁有多於五個或以上?
[00:00:26.000 --> 00:00:28.000]  可不可以舉手?
[00:00:28.000 --> 00:00:32.600]  我絕對相信我們這個群體有很多人擁有五個或以上
[00:00:32.600 --> 00:00:35.200]  甚至應該是很多的
[00:00:35.200 --> 00:00:38.000]  其實這裡有很多我自己也擁有的
[00:00:38.000 --> 00:00:42.000]  但我又想問問大家
[00:00:42.000 --> 00:00:45.400]  大家先不要看有些什麼
[00:00:45.400 --> 00:00:47.000]  總之下一個才是重要的
[00:00:47.000 --> 00:00:50.600]  我又想問大家四樣特徵
[00:00:50.600 --> 00:00:53.600]  你有沒有出現過這些特徵?
[00:00:53.600 --> 00:00:57.000]  首先你一有空就會忍不住拿手機出來
[00:00:57.000 --> 00:01:00.000]  不斷地掃描看看有沒有新的訊息
[00:01:00.000 --> 00:01:01.600]  有沒有?
[00:01:01.600 --> 00:01:04.800]  無論坐下來一沒事做就拿手機出來
[00:01:04.800 --> 00:01:06.600]  站著等車等東西
[00:01:06.600 --> 00:01:08.400]  又在掃描
[00:01:08.400 --> 00:01:09.600]  這是第一個
[00:01:09.600 --> 00:01:12.200]  大家有的就記住了
[00:01:12.200 --> 00:01:13.400]  第二個
[00:01:13.400 --> 00:01:16.400]  你跟朋友吃飯或聊天的時候
[00:01:16.400 --> 00:01:20.000]  你會不會也很不由自主地
[00:01:20.000 --> 00:01:22.200]  看一下電話有訊息彈出來
[00:01:22.200 --> 00:01:23.400]  先看一下這個
[00:01:23.400 --> 00:01:27.000]  再看一下會不會有這樣的狀況出現
[00:01:27.000 --> 00:01:28.600]  我覺得應該也有的
[00:01:28.600 --> 00:01:30.400]  第三個
[00:01:30.400 --> 00:01:33.200]  大家在發帖文之前
[00:01:33.200 --> 00:01:36.800]  會不會也要反覆修改
[00:01:36.800 --> 00:01:40.400]  然後很想找一張我拍得最好看的照片
[00:01:40.400 --> 00:01:45.400]  務求發這個帖文是呈現最完美的一刻
[00:01:45.400 --> 00:01:46.600]  我看到大家笑
[00:01:46.600 --> 00:01:51.200]  我相信很多人也是這樣選擇照片的
[00:01:51.200 --> 00:01:52.400]  最後一個
[00:01:52.400 --> 00:01:55.400]  你有沒有試過在IG的Story
[00:01:55.400 --> 00:01:58.200]  你見到我認識的朋友
[00:01:58.200 --> 00:02:00.000]  約了出來吃飯
[00:02:00.000 --> 00:02:01.400]  沒有我
[00:02:01.400 --> 00:02:03.200]  你那一刻會覺得
[00:02:03.200 --> 00:02:04.600]  我是不是被忽略了
[00:02:04.600 --> 00:02:06.000]  我是不是被人排了
[00:02:06.000 --> 00:02:07.600]  你有沒有這個想法出現
[00:02:07.600 --> 00:02:09.600]  也有人笑
[00:02:09.600 --> 00:02:15.000]  如果你們有這些症狀出現的話
[00:02:15.000 --> 00:02:16.800]  我也想告訴大家
[00:02:16.800 --> 00:02:19.600]  你應該可能已經陷入了一個
[00:02:19.600 --> 00:02:22.400]  叫做社會比較焦慮
[00:02:22.400 --> 00:02:27.600]  以及錯失恐懼症這個漩渦當中
[00:02:27.600 --> 00:02:30.800]  其實智能手機和社交媒體的設計
[00:02:30.800 --> 00:02:32.600]  本來就是想吸引我們
[00:02:32.600 --> 00:02:35.600]  去不斷地停留在手機上
[00:02:35.600 --> 00:02:37.400]  還有那些演算法
[00:02:37.400 --> 00:02:38.400]  大家知道的
[00:02:38.400 --> 00:02:41.600]  它不斷餵那些你很喜歡看的東西
[00:02:41.600 --> 00:02:42.800]  餵給你
