
[00:00:00.000 --> 00:00:05.000]  今年比較特別
[00:00:05.000 --> 00:00:08.000]  今年我按摩
[00:00:08.000 --> 00:00:09.000]  感謝上帝
[00:00:09.000 --> 00:00:12.000]  按摩完之後就正婚了
[00:00:12.000 --> 00:00:16.000]  幫了兩對弟兄姊妹正婚
[00:00:16.000 --> 00:00:17.000]  也很開心的
[00:00:17.000 --> 00:00:18.000]  其實不只是正婚
[00:00:18.000 --> 00:00:22.000]  今年也參加過幾對弟兄姊妹的婚禮
[00:00:22.000 --> 00:00:23.000]  其實很開心的婚禮
[00:00:23.000 --> 00:00:27.000]  因為見證大家的人生進入另一個階段
[00:00:27.000 --> 00:00:28.000]  很開心
[00:00:28.000 --> 00:00:31.000]  但到了另一個階段
[00:00:31.000 --> 00:00:33.000]  其實你又多了很多身份
[00:00:33.000 --> 00:00:35.000]  已經結婚的弟兄姊妹
[00:00:35.000 --> 00:00:39.000]  你不再是父母的兒子或女兒
[00:00:39.000 --> 00:00:42.000]  你是別人的老公或老婆
[00:00:42.000 --> 00:00:45.000]  你是媳婦或女婿
[00:00:45.000 --> 00:00:47.000]  如果你生了小朋友
[00:00:47.000 --> 00:00:52.000]  你就是別人的爸爸或媽媽
[00:00:52.000 --> 00:00:54.000]  很多這些身份
[00:00:54.000 --> 00:00:56.000]  就算你還未結婚
[00:00:56.000 --> 00:00:59.000]  你拍拖的時候已經多了身份
[00:00:59.000 --> 00:01:02.000]  你是別人的男朋友或女朋友
[00:01:02.000 --> 00:01:03.000]  出來工作的時候
[00:01:03.000 --> 00:01:05.000]  你也多了身份
[00:01:05.000 --> 00:01:07.000]  你可能是別人的下屬
[00:01:07.000 --> 00:01:09.000]  或是別人的上司
[00:01:09.000 --> 00:01:13.000]  我見很多弟兄姊妹都很厲害
[00:01:13.000 --> 00:01:15.000]  做兩三年就已經升職
[00:01:15.000 --> 00:01:18.000]  我覺得你們很厲害
[00:01:18.000 --> 00:01:21.000]  這些身份有時候也會混淆
[00:01:21.000 --> 00:01:25.000]  一個人身上有很多身份
[00:01:25.000 --> 00:01:27.000]  你可能是上司
[00:01:27.000 --> 00:01:30.000]  但你又可能是下屬
[00:01:30.000 --> 00:01:32.000]  有時候未必每一個身份
[00:01:32.000 --> 00:01:35.000]  每一個角色都做得很好
[00:01:35.000 --> 00:01:39.000]  就好像做兒子的就要孝順媽媽
[00:01:39.000 --> 00:01:43.000]  做老公的就要愛惜老婆
[00:01:43.000 --> 00:01:45.000]  很正常吧
[00:01:45.000 --> 00:01:48.000]  但有時候做老公的
[00:01:48.000 --> 00:01:51.000]  經常會被老婆問一條問題
[00:01:52.000 --> 00:01:56.000]  如果我和你媽媽掉進水裡
[00:01:56.000 --> 00:01:58.000]  你會先救誰?
[00:01:58.000 --> 00:02:01.000]  當然不一定是老公才會遇到這個問題
[00:02:01.000 --> 00:02:04.000]  可能男朋友也會遇到這個問題
[00:02:04.000 --> 00:02:06.000]  有時候很難回答
[00:02:06.000 --> 00:02:10.000]  我不會挑戰在座的老公和男朋友
[00:02:10.000 --> 00:02:13.000]  我不會叫你身邊的老婆或女朋友
[00:02:13.000 --> 00:02:15.000]  現在問一問他
[00:02:15.000 --> 00:02:17.000]  我不會這樣挑戰你
[00:02:17.000 --> 00:02:19.000]  不過有時候很難回答
[00:02:19.000 --> 00:02:21.000]  手掌又是肉 手背又是肉
[00:02:21.000 --> 00:02:23.000]  怎樣回答都會死
[00:02:23.000 --> 00:02:27.000]  不過現在的老公和男朋友很厲害
[00:02:27.000 --> 00:02:29.000]  他們會這樣回答
[00:02:29.000 --> 00:02:33.000]  老婆你這麼厲害 用不著我救嗎?
[00:02:33.000 --> 00:02:37.000]  這就是我老公的答案
[00:02:37.000 --> 00:02:41.000]  我心想 你真厲害 又被你趕了
[00:02:41.000 --> 00:02:44.000]  真的
[00:02:44.000 --> 00:02:45.000]  怎樣?
[00:02:45.000 --> 00:02:47.000]  是不是有其他答案更好?
[00:02:47.000 --> 00:02:49.000]  Alonso 你有其他答案嗎?
[00:02:49.000 --> 00:02:53.000]  Brian說話
[00:02:53.000 --> 00:02:57.000]  我太容易說話
[00:02:57.000 --> 00:02:59.000]  我會容易哄他
[00:02:59.000 --> 00:03:01.000]  OK
[00:03:01.000 --> 00:03:04.000]  有時候一個人有很多身份
[00:03:04.000 --> 00:03:06.000]  有時候身份也很混淆
[00:03:06.000 --> 00:03:09.000]  怎樣在不同身份裡都做得好呢?
[00:03:09.000 --> 00:03:11.000]  作為一個信徒
[00:03:11.000 --> 00:03:15.000]  我們也有地上的角色和身份
[00:03:15.000 --> 00:03:18.000]  但我們也有一個屬天的身份
[00:03:18.000 --> 00:03:23.000]  怎樣可以做到在地又不屬世呢?
[00:03:23.000 --> 00:03:27.000]  怎樣可以將屬天和屬世的身份都做得很好呢?
[00:03:27.000 --> 00:03:30.000]  今天很想透過尼希米這個人物
[00:03:30.000 --> 00:03:31.000]  他的生命
[00:03:31.000 --> 00:03:35.000]  讓我們都得到一些啟示和學習
[00:03:35.000 --> 00:03:39.000]  經文是尼希米記四章的15到23節
[00:03:39.000 --> 00:03:42.000]  我們一起讀吧 好嗎?
[00:03:42.000 --> 00:03:43.000]  預備起
[00:03:43.000 --> 00:03:47.000]  受敵聽見我們知道了他們的計謀
[00:03:47.000 --> 00:03:50.000]  神也破壞他們的計謀
[00:03:50.000 --> 00:03:53.000]  我們就都回到城牆那裡
[00:03:53.000 --> 00:03:55.000]  各做各的工
[00:03:55.000 --> 00:03:56.000]  從那天起
[00:03:56.000 --> 00:03:59.000]  我的僕人一半做工
[00:03:59.000 --> 00:04:04.000]  一半拿槍、拿盾牌、拿弓、穿海甲
[00:04:04.000 --> 00:04:08.000]  官長都站在猶大全家的後面
[00:04:08.000 --> 00:04:10.000]  他們建造城牆
[00:04:10.000 --> 00:04:13.000]  材料的人
[00:04:13.000 --> 00:04:14.000]  崗台的時候
[00:04:14.000 --> 00:04:16.000]  一手做工
[00:04:16.000 --> 00:04:18.000]  一手拿兵器
[00:04:18.000 --> 00:04:22.000]  建造的人都要間配都建造
[00:04:22.000 --> 00:04:24.000]  摧國的人在我身邊
[00:04:24.000 --> 00:04:28.000]  我對貴族、官長和其餘的百姓說
[00:04:28.000 --> 00:04:30.000]  這工程浩大
[00:04:30.000 --> 00:04:32.000]  範圍遼闊
[00:04:32.000 --> 00:04:36.000]  我們在城牆上彼此相離很遠
[00:04:36.000 --> 00:04:39.000]  你們一聽見國聲在那裡
[00:04:39.000 --> 00:04:41.000]  就聚集到我們那裡去
[00:04:41.000 --> 00:04:45.000]  我們的神必為我們增賤
[00:04:45.000 --> 00:04:48.000]  於是我們做這工程
[00:04:48.000 --> 00:04:50.000]  一半的人拿槍
[00:04:50.000 --> 00:04:54.000]  從天亮直到星屬出現的時候
[00:04:54.000 --> 00:04:57.000]  那時我又對百姓說
[00:04:57.000 --> 00:05:01.000]  各人和他的僕人當在耶路撒冷過夜
[00:05:01.000 --> 00:05:04.000]  好為我們夜間守衛
[00:05:04.000 --> 00:05:06.000]  白晝做工
[00:05:06.000 --> 00:05:08.000]  這樣我和我僕人
[00:05:08.000 --> 00:05:12.000]  以及跟從我的衛兵都不脫衣服
[00:05:12.000 --> 00:05:16.000]  各人打水時也拿著自己的兵器
[00:05:16.000 --> 00:05:19.000]  好我們低頭禱告
[00:05:19.000 --> 00:05:22.000]  天護上帝我們去禱告祢
[00:05:22.000 --> 00:05:26.000]  我們知道祢給了一個屬天的身份給我們
[00:05:26.000 --> 00:05:27.000]  但有時在地上的時候
[00:05:27.000 --> 00:05:29.000]  我們很難展現這個身份
[00:05:29.000 --> 00:05:32.000]  求祢透過經文去提醒我們
[00:05:32.000 --> 00:05:34.000]  亦給力量我們
[00:05:34.000 --> 00:05:37.000]  能夠去明白真理並且實踐真理
[00:05:37.000 --> 00:05:39.000]  我們這樣禱告奉耶穌基督的名
[00:05:39.000 --> 00:05:41.000]  祈求阿們
[00:05:41.000 --> 00:05:44.000]  好說一點黎希米的背景
[00:05:44.000 --> 00:05:48.000]  當時以色列國已經亡國
[00:05:48.000 --> 00:05:52.000]  當時是波斯王亞達薩西統治的底下
[00:05:52.000 --> 00:05:54.000]  神感動波斯王
[00:05:54.000 --> 00:05:58.000]  讓以色列人可以回歸耶路撒冷重建家園
[00:05:58.000 --> 00:06:02.000]  第一批回歸的人是索羅巴達帶領的
[00:06:02.000 --> 00:06:03.000]  接著是以色列
[00:06:03.000 --> 00:06:06.000]  不過他們回到耶路撒冷的時候
[00:06:06.000 --> 00:06:09.000]  受到很多敵人的攻擊和攔阻
[00:06:09.000 --> 00:06:15.000]  令重建聖殿建城的工程停滯
[00:06:15.000 --> 00:06:17.000]  後來大概又過了十多年
[00:06:17.000 --> 00:06:19.000]  到了黎希米
[00:06:19.000 --> 00:06:25.000]  當時黎希米是波斯王身邊做酒政的
[00:06:25.000 --> 00:06:28.000]  當黎希米知道耶路撒冷受攻擊
[00:06:28.000 --> 00:06:30.000]  建城的事受到破壞
[00:06:30.000 --> 00:06:31.000]  他很心痛
[00:06:31.000 --> 00:06:33.000]  就去為這件事祈禱
[00:06:33.000 --> 00:06:35.000]  當他祈禱的時候
[00:06:35.000 --> 00:06:37.000]  如果你看第一章就知道
[00:06:37.000 --> 00:06:38.000]  神感動他
[00:06:38.000 --> 00:06:39.000]  當他祈禱的時候
[00:06:39.000 --> 00:06:46.000]  神感動他帶領一批人回到耶路撒冷重建城牆
[00:06:46.000 --> 00:06:48.000]  黎希米很厲害
[00:06:48.000 --> 00:06:50.000]  有感動還有感動
[00:06:50.000 --> 00:06:53.000]  竟然波斯王又恩准他回去
[00:06:53.000 --> 00:06:56.000]  亦給他材料
[00:06:56.000 --> 00:06:59.000]  甚至乎給他詔書
[00:06:59.000 --> 00:07:01.000]  簡單來說就是拿了許可證
[00:07:01.000 --> 00:07:02.000]  有通行證
[00:07:02.000 --> 00:07:03.000]  去哪裡呢?
[00:07:03.000 --> 00:07:05.000]  是沒有了
[00:07:05.000 --> 00:07:07.000]  當我們以為這次一定成功
[00:07:07.000 --> 00:07:09.000]  有皇帝撐腰
[00:07:09.000 --> 00:07:12.000]  誰知黎希米去到耶路撒冷的時候
[00:07:12.000 --> 00:07:14.000]  同樣面對很多困難
[00:07:14.000 --> 00:07:16.000]  很多挑戰
[00:07:16.000 --> 00:07:19.000]  雖然敵人有攻擊有破壞
[00:07:19.000 --> 00:07:21.000]  但第十五節有提到
[00:07:21.000 --> 00:07:26.000]  神卻是怎樣保守了黎希米和他一班的百姓
[00:07:26.000 --> 00:07:30.000]  以致他們各人仍然可以繼續在他們崗位裏面
[00:07:30.000 --> 00:07:32.000]  很好的工作
