
[00:00:00.000 --> 00:00:02.180]  相信今時今日
[00:00:02.180 --> 00:00:05.340]  如果大家聽到病毒這兩個字
[00:00:05.340 --> 00:00:06.440]  有什麼感覺?
[00:00:06.440 --> 00:00:09.360]  可能都有點害怕吧?
[00:00:09.360 --> 00:00:11.540]  我有一個體驗就是
[00:00:11.540 --> 00:00:13.540]  我搭地鐵的時候
[00:00:13.540 --> 00:00:16.340]  可能那天早上不太舒服
[00:00:16.340 --> 00:00:17.480]  咳嗽兩聲
[00:00:17.480 --> 00:00:20.140]  或者被敏感打了個噴嚏
[00:00:20.140 --> 00:00:21.380]  我就發現
[00:00:21.380 --> 00:00:24.180]  在你身邊方圓不知多遠的人
[00:00:24.180 --> 00:00:25.780]  就開始四散了
[00:00:25.780 --> 00:00:27.480]  退後了兩步
[00:00:27.480 --> 00:00:28.980]  大家有沒有試過?
[00:00:29.660 --> 00:00:30.500]  有沒有試過?
[00:00:30.500 --> 00:00:32.900]  你是退後兩步還是打一次?
[00:00:32.900 --> 00:00:33.900]  (笑)
[00:00:33.900 --> 00:00:34.580]  是的
[00:00:34.580 --> 00:00:35.820]  可能我們也有
[00:00:35.820 --> 00:00:36.700]  哇!好害怕
[00:00:36.700 --> 00:00:38.580]  所以退後了兩步
[00:00:38.580 --> 00:00:43.140]  沒想到新型冠狀病毒持續了這麼久
[00:00:43.140 --> 00:00:46.660]  而且影響全球所有地方
[00:00:46.660 --> 00:00:48.020]  所有的人
[00:00:48.020 --> 00:00:50.460]  如果感染了之後
[00:00:50.460 --> 00:00:53.820]  也有可能因此喪命
[00:00:53.820 --> 00:00:57.100]  但是在冥冥中
[00:00:57.100 --> 00:01:00.260]  如果我們感染了一種病毒
[00:01:00.260 --> 00:01:02.260]  也一樣致命的
[00:01:02.260 --> 00:01:03.380]  是什麼呢?
[00:01:03.380 --> 00:01:06.820]  那種病毒潛伏力很強
[00:01:06.820 --> 00:01:08.820]  殺傷力又大
[00:01:08.820 --> 00:01:11.660]  病徵有時候又不明顯
[00:01:11.660 --> 00:01:13.660]  感染了之後
[00:01:13.660 --> 00:01:16.260]  又不覺得自己感染了
[00:01:16.260 --> 00:01:19.100]  帶了病毒就會高度傳染
[00:01:19.100 --> 00:01:21.300]  然後痊癒之後
[00:01:21.300 --> 00:01:25.580]  也不確保自己以後不會再受感染
[00:01:26.140 --> 00:01:29.780]  大家猜到這種靈命的病毒是什麼嗎?
[00:01:29.780 --> 00:01:31.540]  是的
[00:01:31.540 --> 00:01:33.900]  是假冒為善
[00:01:33.900 --> 00:01:37.180]  假冒為善是什麼呢?
[00:01:37.180 --> 00:01:40.380]  假冒就是裝模作樣
[00:01:40.380 --> 00:01:42.100]  裝好人
[00:01:42.100 --> 00:01:44.980]  比較複雜一點來說
[00:01:44.980 --> 00:01:47.580]  假裝自己在道德上
