
[00:00:00.000 --> 00:00:06.200]  大家晚安,上一次來都是早上,現在是晚上
[00:00:06.200 --> 00:00:09.000]  很感恩能夠再次見到大家
[00:00:09.000 --> 00:00:11.760]  今天的經文是在加拿大書的
[00:00:11.760 --> 00:00:18.480]  有三張投影帖,我們可以一起讀
[00:00:26.360 --> 00:00:32.880]  我想請弟兄讀第一章,姐妹讀第二章
[00:00:32.880 --> 00:00:36.440]  我們一起讀第三章,讀完這幾段經文
[00:00:36.440 --> 00:00:38.960]  我們請弟兄先,1,2,3
[00:00:38.960 --> 00:00:44.120]  我保羅告訴你們,你們若受割禮
[00:00:44.120 --> 00:00:47.120]  基督就對你們無益了
[00:00:47.120 --> 00:00:51.600]  我再指著凡受割禮的人確實地說
[00:00:51.600 --> 00:00:55.200]  他有義務進行全部的律法
[00:00:55.200 --> 00:01:00.200]  你們者要靠律法清義的是與基督隔絕
[00:01:00.200 --> 00:01:02.880]  從恩典中墜落了
[00:01:02.880 --> 00:01:06.360]  至於我們,我們是靠著聖靈
[00:01:06.360 --> 00:01:10.440]  憑著信心等候所盼望的兒
[00:01:10.440 --> 00:01:12.960]  因為在基督耶穌裡
[00:01:12.960 --> 00:01:17.360]  受割禮不受割禮都沒有功效
[00:01:17.360 --> 00:01:22.120]  唯獨使人發出仁愛的信心才有功效
[00:01:22.120 --> 00:01:24.640]  我們請姐妹讀,1,2,3
[00:01:24.640 --> 00:01:29.440]  你們向來跑得好,誰攔阻了你們
[00:01:29.440 --> 00:01:32.280]  使你們不信從真理呢?
[00:01:32.280 --> 00:01:36.640]  這樣的勸導不是出於那召你們的
[00:01:36.640 --> 00:01:40.720]  一點面教能使全團都發起來
[00:01:40.720 --> 00:01:45.680]  我再主裡深信你們必不懷別樣的心
[00:01:45.680 --> 00:01:51.600]  但騷擾你們的,無論是誰,必須承受懲罰
[00:01:51.600 --> 00:01:55.240]  弟兄們,我若營救全割禮
[00:01:55.240 --> 00:01:57.800]  為什麼還受迫害呢?
[00:01:57.800 --> 00:02:03.600]  若是這樣,十字架叛倒人的地方就沒有了
[00:02:03.600 --> 00:02:08.600]  恨不得那騷擾你們的人把自己閹割了
[00:02:08.600 --> 00:02:11.280]  我們一起讀,我們弟兄姐妹來
[00:02:11.280 --> 00:02:12.440]  1,2,3
[00:02:12.440 --> 00:02:16.600]  弟兄們,你們蒙召是要得自由
[00:02:16.600 --> 00:02:22.040]  只是不可把這自由當作放縱情慾的機會
[00:02:22.040 --> 00:02:25.240]  總要用愛心互相服侍
[00:02:25.240 --> 00:02:31.800]  因為全部律法都包括在愛倫如己這一句話之內
[00:02:31.800 --> 00:02:36.160]  你們要謹慎,你們若相咬相吞
[00:02:36.160 --> 00:02:39.560]  恐怕要彼此消滅了
[00:02:39.560 --> 00:02:42.680]  我們一起禱告,一起祈禱
[00:02:42.680 --> 00:02:46.160]  主耶穌,我們感謝祢讓我們有美好的夜晚
[00:02:46.160 --> 00:02:49.760]  可以一起來到祢面前相聚
[00:02:49.760 --> 00:02:52.880]  思想祢的說話,敬拜祢
[00:02:52.880 --> 00:02:56.960]  求主祝福這段時間成為祢自己在我們當中的祝福
[00:02:56.960 --> 00:03:00.960]  我們這樣禱告,奉耶穌基督的名,阿們
[00:03:00.960 --> 00:03:04.440]  早前有一天打八號風球,不知道大家記不記得
[00:03:04.440 --> 00:03:08.840]  打八號風球那天,原先我晚上要在神學院教書
[00:03:08.840 --> 00:03:12.280]  那天晚上,我心想,真是好了,不用在神學院教書了
[00:03:12.280 --> 00:03:14.360]  誰知神學院打電話跟我說
[00:03:14.360 --> 00:03:16.960]  我們今晚網課繼續教
[00:03:16.960 --> 00:03:19.480]  那我就想,為什麼世界變得這麼快
[00:03:19.480 --> 00:03:23.520]  以前在我任何打八號風球的日子
[00:03:23.520 --> 00:03:25.280]  都是立刻休息的
[00:03:25.280 --> 00:03:28.920]  小時候大家正在上學,多麼盼望打八號風球
[00:03:28.920 --> 00:03:30.520]  等到他來,我算著他來
[00:03:30.520 --> 00:03:33.960]  我小時候的數學,三角計算風球什麼時候來
[00:03:33.960 --> 00:03:36.840]  我唯一用數學,就是那時候用的
[00:03:36.840 --> 00:03:38.840]  之後都忘記怎麼用了
[00:03:38.840 --> 00:03:42.160]  但現在世界變得很快
[00:03:42.840 --> 00:03:47.120]  原來在家工作也未必是好事
[00:03:47.120 --> 00:03:49.520]  剛剛日本調查了一百多個國家
[00:03:49.520 --> 00:03:52.400]  問人們,你喜不喜歡在家工作
