
[00:00:00.000 --> 00:00:03.640]  謝謝敬拜隊和今天的侍奉團隊
[00:00:03.640 --> 00:00:06.840]  我們給點掌聲給獅士隊、AV Team
[00:00:06.840 --> 00:00:08.600]  還有敬拜隊的弟兄姊妹
[00:00:08.600 --> 00:00:11.880]  多謝他們為我們預備敬拜
[00:00:11.880 --> 00:00:16.840]  剛才最後一首歌
[00:00:16.840 --> 00:00:19.400]  提到神向我們避難所
[00:00:19.400 --> 00:00:20.680]  我們不用害怕
[00:00:20.680 --> 00:00:22.480]  我不知道你是否也這樣體會
[00:00:22.480 --> 00:00:26.600]  當很多恐懼、害怕的時候
[00:00:26.600 --> 00:00:27.960]  能夠回到神面前
[00:00:27.960 --> 00:00:29.080]  我們能夠安穩
[00:00:29.080 --> 00:00:31.680]  這是一件很真實的事情
[00:00:31.680 --> 00:00:33.920]  希望我們也能夠這樣體會
[00:00:33.920 --> 00:00:36.880]  畢竟現在是新年
[00:00:36.880 --> 00:00:39.480]  我先跟大家賀賀年
[00:00:39.480 --> 00:00:41.320]  新年快樂
[00:00:41.320 --> 00:00:42.640]  新年快樂
[00:00:42.640 --> 00:00:43.640]  很好啊
[00:00:43.640 --> 00:00:45.520]  有反應
[00:00:45.520 --> 00:00:48.600]  這份已經是很大份的新年禮物
[00:00:48.600 --> 00:00:51.600]  我恭祝大家福杯滿日
[00:00:51.600 --> 00:00:53.080]  心靈強健
[00:00:53.080 --> 00:00:55.920]  還有經歷著恩典更多
[00:00:55.920 --> 00:00:59.680]  我今天提到的題目是
[00:00:59.680 --> 00:01:01.560]  「經歷信仰的群體」
[00:01:01.560 --> 00:01:03.480]  我也希望大家能夠經歷這個信仰
[00:01:03.480 --> 00:01:06.520]  如何經歷這麼多
[00:01:06.520 --> 00:01:08.360]  我小時候
[00:01:08.360 --> 00:01:09.000]  也不是小時候
[00:01:09.000 --> 00:01:10.480]  長大後也聽過這句話
[00:01:10.480 --> 00:01:11.600]  不知道大家有沒有聽過
[00:01:11.600 --> 00:01:15.600]  這句話叫「近朱者赤,近麥者黑」
[00:01:15.600 --> 00:01:16.880]  有沒有聽過
[00:01:16.880 --> 00:01:19.920]  我恐防你們讀英文
