
[00:00:00.000 --> 00:00:03.000]  好 感謝劍拜隊在唱詩歌的時候
[00:00:03.000 --> 00:00:06.000]  真的感受到上大的陪伴
[00:00:06.000 --> 00:00:08.000]  感受到上大的愛
[00:00:08.000 --> 00:00:11.000]  想再一次跟大家打聲招呼
[00:00:11.000 --> 00:00:13.000]  或者大家跟身邊的人說聲
[00:00:13.000 --> 00:00:16.000]  好開心 再一次見到你 好不好
[00:00:16.000 --> 00:00:29.000]  我很開心好在新年之後的崇拜
[00:00:29.000 --> 00:00:32.000]  跟大家分享上大華語
[00:00:32.000 --> 00:00:35.000]  不知道你這個新年過得如何
[00:00:35.000 --> 00:00:39.000]  有沒有跟家人或者朋友一起出去玩吃飯
[00:00:39.000 --> 00:00:42.000]  我在IG上見到很多人
[00:00:42.000 --> 00:00:47.000]  跟朋友一起去吃飯、吃buffet、去行山、去吃好東西等等
[00:00:47.000 --> 00:00:50.000]  這幾天我在Facebook上見到一張圖片
[00:00:50.000 --> 00:00:52.000]  它是這樣的
[00:00:52.000 --> 00:00:55.000]  過年吃太多所以吃完粗糙之後
[00:00:55.000 --> 00:00:58.000]  調度要放鬆一下
[00:00:58.000 --> 00:01:00.000]  很多人跟我一樣
[00:01:00.000 --> 00:01:04.000]  過完年之後的第一個目標就是要減肥
[00:01:04.000 --> 00:01:05.000]  我一個
[00:01:05.000 --> 00:01:06.000]  竟然
[00:01:06.000 --> 00:01:09.000]  真的好誠實 好好 非常好
[00:01:09.000 --> 00:01:12.000]  我自己覺得減肥這件事
[00:01:12.000 --> 00:01:17.000]  真的要找朋友一起減肥才會成功
[00:01:17.000 --> 00:01:19.000]  如果我們自己一個人去減肥
[00:01:19.000 --> 00:01:24.000]  通常我自己到最後都會跟自己說
[00:01:24.000 --> 00:01:29.000]  減肥這件事慢慢說 吃飽一點再減肥
[00:01:29.000 --> 00:01:34.000]  通常最後都是嘴巴做運動 不斷地吃東西
[00:01:34.000 --> 00:01:37.000]  通常有人點頭
[00:01:37.000 --> 00:01:43.000]  通常我覺得最好減肥的方法就是要玩朋友一起去行山
[00:01:43.000 --> 00:01:46.000]  一起去踢球 一起去做運動
[00:01:46.000 --> 00:01:48.000]  這樣才會成功
[00:01:48.000 --> 00:01:53.000]  一起減肥 一起玩 一起去做運動
[00:01:53.000 --> 00:01:56.000]  這是很多人的經驗
[00:01:56.000 --> 00:01:58.000]  都是很多人的回憶
[00:01:58.000 --> 00:02:05.000]  但都是很多人今年可能有了不同經驗的一次
[00:02:05.000 --> 00:02:07.000]  對於很多人來說
[00:02:07.000 --> 00:02:11.000]  今年新年 一起慶祝新年的朋友
[00:02:11.000 --> 00:02:13.000]  是跟去年不同組
[00:02:13.000 --> 00:02:15.000]  今年慶祝新年的朋友
[00:02:15.000 --> 00:02:18.000]  是跟去年完全不同組的
[00:02:18.000 --> 00:02:22.000]  以前的朋友可能因為意見不同
[00:02:22.000 --> 00:02:24.000]  或者有些事情發生
[00:02:24.000 --> 00:02:28.000]  所以就沒辦法繼續同行彼此守夢
[00:02:28.000 --> 00:02:30.000]  大英姐妹 你還記不記得你之前
[00:02:30.000 --> 00:02:35.000]  或者去年兩年前跟你一起慶祝新年的那個群組的朋友呢?
[00:02:35.000 --> 00:02:39.000]  你還記不記得你當年那位你曾經很重視
[00:02:39.000 --> 00:02:43.000]  但沒辦法繼續做朋友的那個朋友呢?
[00:02:43.000 --> 00:02:49.000]  你心中有沒有很想挽回這個關係呢?
[00:02:49.000 --> 00:02:52.000]  但我知道就算你很想
[00:02:52.000 --> 00:02:56.000]  你可能也很有困難去面對這段關係
[00:02:56.000 --> 00:02:58.000]  你很難有鼓起勇氣去面對這段關係
[00:02:58.000 --> 00:03:02.000]  因為你知道當你想去面對這段關係的時候
[00:03:02.000 --> 00:03:05.000]  你還要面對你心中那個傷口
[00:03:05.000 --> 00:03:07.000]  你沒辦法處理
[00:03:07.000 --> 00:03:10.000]  因為對你來說是太痛了
[00:03:10.000 --> 00:03:11.000]  這個傷口太痛
[00:03:11.000 --> 00:03:12.000]  你回想起這個回憶
[00:03:12.000 --> 00:03:15.000]  你就覺得很痛很辛苦
[00:03:15.000 --> 00:03:19.000]  今天我的主題叫做「經歷神的生命」
[00:03:19.000 --> 00:03:23.000]  我們將會透過一個聖經裡面兩兄弟
[00:03:23.000 --> 00:03:25.000]  他們的紛爭和結果
[00:03:25.000 --> 00:03:27.000]  來幫助我們學到
[00:03:27.000 --> 00:03:30.000]  透過敬拜神這個動作
[00:03:30.000 --> 00:03:33.000]  去經歷到上帝的醫治
[00:03:33.000 --> 00:03:36.000]  上帝去醫治一段的關係
