
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,各位朋友,晚安!
[00:00:03.000 --> 00:00:07.000]  很感恩在…明天甚麼日子?
[00:00:07.000 --> 00:00:10.000]  嘩,大家記得好,我今天才提醒我的兒子,明天甚麼日子?
[00:00:10.000 --> 00:00:13.000]  好像他們都不太知道,我有點害怕
[00:00:13.000 --> 00:00:16.000]  大家記得非常之好,我們開心的時候一起禱告
[00:00:16.000 --> 00:00:20.000]  七夕天父,我們來到你的面前
[00:00:20.000 --> 00:00:25.000]  我們紀念很多,我們每一個都有母親
[00:00:25.000 --> 00:00:31.000]  這些女士,這些媽媽,這些母親
[00:00:31.000 --> 00:00:38.000]  在她們很有限的資源,在她們很沒能力的環境
[00:00:38.000 --> 00:00:43.000]  在一個可能完全不可能的環境,將我們養育成人
[00:00:43.000 --> 00:00:49.000]  這份愛正在反映著天父你自己那份堅韌的愛
[00:00:49.000 --> 00:00:54.000]  七夕我求你幫助我們,如果我們媽媽還在
[00:00:54.000 --> 00:00:59.000]  我們帶到她們,亦都求你自己帶她們來到你的面前
[00:00:59.000 --> 00:01:03.000]  如果你媽媽不在,我們多謝你之餘
[00:01:03.000 --> 00:01:08.000]  亦都讓我們能夠學習活出這份堅韌的愛
[00:01:08.000 --> 00:01:13.000]  在人世間的裏面,我們能夠再一次感謝你
[00:01:13.000 --> 00:01:19.000]  賜下我們一個這麼美好的設置
[00:01:19.000 --> 00:01:24.000]  一個這麼美好的安全的環境,讓我們走到今天
[00:01:24.000 --> 00:01:28.000]  還有明天的母親節,願你都祝福我們當中每一個的母親
[00:01:28.000 --> 00:01:32.000]  在你裏面緊緊的抓住你,得著從神而來的真光
[00:01:32.000 --> 00:01:37.000]  我們禱告奉耶穌基督的名義而求
[00:01:37.000 --> 00:01:42.000]  很感恩今天能夠和大家分享上帝的說話
[00:01:42.000 --> 00:01:47.000]  我可能首先講一個故事,才讀聖經給大家聽
[00:01:47.000 --> 00:01:53.000]  這個故事是在上個月,那天是復活節的主日
[00:01:53.000 --> 00:01:58.000]  在復活節的主日裏面,在一片漆黑的宇宙裏面
[00:01:58.000 --> 00:02:03.000]  有一個對話,我想看看Lily能否幫我拿到這張出來
[00:02:03.000 --> 00:02:07.000]  當時在復活節的主日,哥倫比亞廣播公司的記者
[00:02:07.000 --> 00:02:12.000]  向這幾位阿米提斯二號的宇航員
[00:02:12.000 --> 00:02:16.000]  他們正在航向月球的另一邊
[00:02:16.000 --> 00:02:21.000]  就問他們,你在飛天繞月的裏面
[00:02:21.000 --> 00:02:24.000]  有什麼訊息想告訴他們
[00:02:24.000 --> 00:02:28.000]  我們看到這位有識人種的飛行官
[00:02:28.000 --> 00:02:30.000]  他叫做Victor Grover
[00:02:30.000 --> 00:02:33.000]  Victor Grover說他沒有準備怎樣回答
[00:02:33.000 --> 00:02:35.000]  不過他這樣回答
[00:02:35.000 --> 00:02:37.000]  他說沒有特別準備,沒有想到有這樣的問題
[00:02:37.000 --> 00:02:40.000]  不過他說,但我們離開地球如此的遙遠
[00:02:40.000 --> 00:02:43.000]  但能夠欣賞到創造的美麗
[00:02:43.000 --> 00:02:48.000]  對我來說,在地球的另一邊,我真正感受到地球作為一個整體
[00:02:48.000 --> 00:02:51.000]  所以我回想,當我看聖經的時候
[00:02:51.000 --> 00:02:55.000]  神為我們被造的人所做的一切奇妙之事
[00:02:55.000 --> 00:02:59.000]  現在我們身處一個遠離地球的太空船
[00:02:59.000 --> 00:03:05.000]  而你們同樣身處在另一艘太空船上,叫做地球
[00:03:05.000 --> 00:03:10.000]  地球是神創造出來,讓我們在浩瀚的宇宙裏面棲身的地方
[00:03:10.000 --> 00:03:13.000]  在我們一望無際,虛無浩瀚,無痕的宇宙裏面
[00:03:13.000 --> 00:03:17.000]  上帝設置了這一片綠洲,這個美麗的地方
[00:03:17.000 --> 00:03:20.000]  讓我們能夠得以共同生存
[00:03:20.000 --> 00:03:23.000]  所以跟著他說,我認為即將來到的復活節主日
[00:03:23.000 --> 00:03:26.000]  正是機會讓我們一起聚集
[00:03:26.000 --> 00:03:31.000]  去思想我們身在何處,和我們是什麼樣的人
[00:03:31.000 --> 00:03:34.000]  我覺得很特別,他能夠抓住這麼簡單的機會
[00:03:34.000 --> 00:03:36.000]  叫人回崇拜
[00:03:36.000 --> 00:03:38.000]  能夠叫人回復活節的主日
[00:03:38.000 --> 00:03:41.000]  因為他的信仰深深植根在他裏面
[00:03:41.000 --> 00:03:44.000]  太空船在另一個觀察點
[00:03:44.000 --> 00:03:49.000]  給我們思想、聖經、創造和復活
[00:03:49.000 --> 00:03:53.000]  在月球的另一邊,重新定義我們在地球生活的本質
[00:03:53.000 --> 00:03:57.000]  宇宙中,浩瀚我們無痕的宇宙望過去
[00:03:57.000 --> 00:04:01.000]  是唯有這個星球,是有生命,是有光
[00:04:01.000 --> 00:04:05.000]  能夠反射出來,顯示著上帝的作為
[00:04:05.000 --> 00:04:08.000]  可能今天你活在城市,活在你的人生
[00:04:08.000 --> 00:04:10.000]  甚至在你的世界裏面
[00:04:10.000 --> 00:04:13.000]  你被很多的困局,或很多的世界衝突困住你
[00:04:13.000 --> 00:04:15.000]  你都覺得自己漆黑一片
