
[00:00:00.000 --> 00:00:03.300]  鼎姐妹早晨 不如給點掌聲敬拜隊好嗎
[00:00:03.300 --> 00:00:08.000]  好像掌聲不夠 不如大聲一點好嗎
[00:00:08.000 --> 00:00:11.900]  多謝他們 多謝他們為我們敬拜
[00:00:11.900 --> 00:00:14.000]  帶我們一齊同心去敬拜主
[00:00:14.000 --> 00:00:17.000]  他們是屬於兒童部基督少年軍
[00:00:17.000 --> 00:00:20.000]  感謝他們 多謝他們帶我們一齊去敬拜神
[00:00:20.000 --> 00:00:22.000]  鼎姐妹早晨
[00:00:22.000 --> 00:00:24.000]  早晨
[00:00:24.000 --> 00:00:29.000]  我是陳沛浩傳道 英文名叫阿Ho
[00:00:29.000 --> 00:00:32.000]  2016年我在恩福神學院畢業
[00:00:32.000 --> 00:00:34.000]  差不多四年時間了
[00:00:34.000 --> 00:00:37.000]  現在在青少部做童工
[00:00:37.000 --> 00:00:40.000]  星期六我會在兒童部基督少年軍作隊伍
[00:00:40.000 --> 00:00:43.000]  星期日也會在初中神拜團契
[00:00:43.000 --> 00:00:45.000]  牧養一班年青人
[00:00:45.000 --> 00:00:50.000]  感謝神 今天是我第一次代表兒童部去分享訊息
[00:00:50.000 --> 00:00:52.000]  我自己家裏也有兩個小朋友
[00:00:52.000 --> 00:00:55.000]  大女兒是七歲小一
[00:00:55.000 --> 00:00:57.000]  小兒子是五歲K2
[00:00:57.000 --> 00:01:01.000]  這年來整段時間都沒有學習
[00:01:01.000 --> 00:01:04.000]  大部分時間都是在Zoom進行
[00:01:04.000 --> 00:01:10.000]  我心裏很期待 希望最好的 最快的 早日復課
[00:01:10.000 --> 00:01:16.000]  另外也是教會的 希望快一點 早一點的 實體神拜
[00:01:16.000 --> 00:01:20.000]  讓姐妹可以一齊回來敬拜主 一齊彼此相交
[00:01:20.000 --> 00:01:22.000]  開始我們今天講道
[00:01:22.000 --> 00:01:24.000]  相信大家聽過一句話
[00:01:24.000 --> 00:01:26.000]  有仔襯聯生
