
[00:00:00.000 --> 00:00:02.760]  我不知道剛才在《勁快》有什麼體會
[00:00:02.760 --> 00:00:05.320]  我亦感受到一個體會
[00:00:05.320 --> 00:00:08.120]  剛才主席Leo所說
[00:00:08.120 --> 00:00:12.600]  在神的裏面很能夠經歷到平安
[00:00:12.600 --> 00:00:16.640]  我不知道大家是否正面對忙碌的工作
[00:00:16.640 --> 00:00:18.200]  或忙碌的學業
[00:00:18.200 --> 00:00:20.600]  會否這段時間都是考試週期
[00:00:20.600 --> 00:00:22.200]  很忙碌
[00:00:22.200 --> 00:00:24.200]  但我相信在神的裏面
[00:00:24.200 --> 00:00:24.920]  在天父的裏面
[00:00:24.920 --> 00:00:29.080]  能夠再次經歷到從他而來的平安和安穩
[00:00:29.560 --> 00:00:31.960]  今天進入講道
[00:00:31.960 --> 00:00:33.760]  今天講道的題目是
[00:00:33.760 --> 00:00:36.480]  「在世而不屬世的身份」
[00:00:36.480 --> 00:00:40.280]  我們每個人都有不同的身份
[00:00:40.280 --> 00:00:42.280]  你有多少個身份?
[00:00:42.280 --> 00:00:45.680]  你是你媽媽的女兒
[00:00:45.680 --> 00:00:48.080]  爸爸的兒子
[00:00:48.080 --> 00:00:50.760]  可能你是別人的姐姐
[00:00:50.760 --> 00:00:51.960]  或者是別人的哥哥
[00:00:51.960 --> 00:00:54.960]  或者是別人的弟弟、妹妹
[00:00:54.960 --> 00:00:57.400]  或者是別人的爸爸
[00:00:57.400 --> 00:00:58.400]  我不是說你們
[00:00:58.400 --> 00:01:00.120]  我是指導師
[00:01:00.120 --> 00:01:02.360]  你們應該還未結婚
[00:01:02.360 --> 00:01:03.840]  不要嚇我
[00:01:03.840 --> 00:01:04.960]  初中你結婚了
[00:01:04.960 --> 00:01:06.160]  我是別人的爸爸
[00:01:06.160 --> 00:01:07.960]  我已經成為別人的媽媽
[00:01:07.960 --> 00:01:09.160]  不要嚇我
[00:01:09.160 --> 00:01:10.160]  我只是指導師
[00:01:10.160 --> 00:01:12.560]  可能是爸爸、媽媽
[00:01:12.560 --> 00:01:14.560]  老公、老婆
[00:01:14.560 --> 00:01:16.280]  可能你們是學生
[00:01:16.280 --> 00:01:18.080]  在學校裏面是學生的身份
[00:01:18.080 --> 00:01:19.000]  但不止這樣
[00:01:19.000 --> 00:01:21.400]  可能你是學校的班長
[00:01:21.400 --> 00:01:26.480]  或者是班代表、校隊
[00:01:26.480 --> 00:01:28.160]  甚至是港隊
[00:01:28.160 --> 00:01:30.680]  有沒有港隊的代表?
[00:01:30.680 --> 00:01:31.680]  可能有
[00:01:31.680 --> 00:01:32.680]  我不知道
[00:01:32.680 --> 00:01:35.400]  或者是你們拍拖了嗎?
[00:01:35.400 --> 00:01:36.920]  我希望你們還未
[00:01:36.920 --> 00:01:38.920]  初中就已經拍拖了
[00:01:38.920 --> 00:01:39.720]  如果拍拖
[00:01:39.720 --> 00:01:41.720]  可能是男朋友、女朋友
[00:01:41.720 --> 00:01:43.160]  有很多個身份
[00:01:43.160 --> 00:01:44.680]  我聽到有人在笑
[00:01:44.680 --> 00:01:46.680]  「拍拖了嗎?」
[00:01:46.680 --> 00:01:50.680]  通常男朋友經常被問這條問題
[00:01:50.680 --> 00:01:51.680]  我不知道
[00:01:51.680 --> 00:01:53.680]  可能丈夫、老公都被問過這條問題
[00:01:53.680 --> 00:01:54.680]  這條問題是甚麼?
[00:01:54.680 --> 00:01:56.680]  就是「下個泡泡」
[00:01:56.680 --> 00:02:00.400]  「我和你媽媽掉進水裏」
[00:02:00.400 --> 00:02:02.400]  「先救誰?」
[00:02:02.400 --> 00:02:04.400]  經常都被人問這條問題
[00:02:04.400 --> 00:02:06.400]  男朋友或丈夫
[00:02:06.400 --> 00:02:08.400]  有時都很難回答這條問題
[00:02:08.400 --> 00:02:10.400]  手掌又是肉,手背又是肉
[00:02:10.400 --> 00:02:12.400]  先救誰?
[00:02:12.400 --> 00:02:14.400]  都不太清楚
[00:02:14.400 --> 00:02:16.400]  真的
[00:02:16.400 --> 00:02:17.400]  有時我們一個人
[00:02:17.400 --> 00:02:19.400]  可能有很多不同的身份
[00:02:19.400 --> 00:02:21.400]  有時身份都很混合
[00:02:21.400 --> 00:02:24.400]  怎樣可以每個身份都做得好?
[00:02:24.400 --> 00:02:26.400]  作為信徒的我們
[00:02:26.400 --> 00:02:28.400]  地上我們有一個屬地的身份
[00:02:28.400 --> 00:02:30.400]  好像剛才說的那些
[00:02:30.400 --> 00:02:34.400]  有學生、有兒子、有弟弟、有哥哥
[00:02:34.400 --> 00:02:37.400]  但我們都同樣有一個屬天的身份
