
[00:00:00.000 --> 00:00:01.540]  今晚的講題是
[00:00:01.540 --> 00:00:05.240]  「基督徒穿上屬靈的新衣靶」
[00:00:05.240 --> 00:00:07.580]  是一個呼喚
[00:00:07.580 --> 00:00:10.640]  「基督徒穿上屬靈的新衣靶」
[00:00:10.640 --> 00:00:12.140]  我們今天講到的經文是
[00:00:12.140 --> 00:00:16.220]  《哥羅西書》三章十二至十四節
[00:00:16.220 --> 00:00:20.380]  我們邀請會眾一同讀出
[00:00:20.380 --> 00:00:23.260]  《哥羅西書》三章十二至十四節
[00:00:23.260 --> 00:00:24.600]  請讀
[00:00:24.600 --> 00:00:30.020]  所以,你們既是神的選民,聖潔蒙愛的人,
[00:00:30.020 --> 00:00:35.820]  要穿上憐憫、恩慈、謙虛、溫柔和忍耐。
[00:00:35.820 --> 00:00:38.980]  倘若這人與那人有嫌隙,
[00:00:38.980 --> 00:00:42.980]  總要彼此容忍,彼此饒恕。
[00:00:42.980 --> 00:00:48.600]  主怎樣饒恕了你們,你們也要怎樣饒恕人。
[00:00:48.600 --> 00:00:56.020]  除此以外,還要穿上愛心,因為愛是貫通全得的。
[00:00:56.020 --> 00:00:59.040]  保羅在寫信給哥羅西教會時
[00:00:59.040 --> 00:01:04.420]  教導他們要活出與基督徒身份相稱的新生活
[00:01:04.420 --> 00:01:08.780]  就是要「脫去舊人,穿上新人」
[00:01:08.780 --> 00:01:12.500]  保羅用了一個詞「穿上」來做比喻
[00:01:12.500 --> 00:01:16.420]  當我們信耶穌時,我們得到這份永生的禮物
[00:01:16.420 --> 00:01:20.460]  就要認定自己是基督徒的新身份
[00:01:20.460 --> 00:01:23.760]  也要穿上屬靈的新衣
[00:01:23.760 --> 00:01:28.560]  今天我來為大家介紹一下屬靈的新衣
[00:01:28.560 --> 00:01:32.860]  並且我們一同穿上
[00:01:32.860 --> 00:01:37.500]  說到穿新衣,我媽媽最拿手
[00:01:37.500 --> 00:01:43.500]  我媽媽是一個很懂得按場合穿合適新衣的人
[00:01:43.500 --> 00:01:47.040]  她的新衣是一個很環保的人
[00:01:47.040 --> 00:01:48.620]  什麼叫環保呢?
[00:01:48.620 --> 00:01:51.380]  當有些衣服已經穿夠了
