
[00:00:00.000 --> 00:00:04.800]  我今天的講題叫做「不一樣的王」
[00:00:04.800 --> 00:00:07.400]  為什麼有這個主題呢?
[00:00:07.400 --> 00:00:13.200]  因為耶穌這位王跟人的期望真的毫不相同
[00:00:13.200 --> 00:00:19.700]  特別是當時第一世紀的人對王的期望毫不相同
[00:00:19.700 --> 00:00:27.100]  相信我們對很多人或事都會存著一些期望
[00:00:27.100 --> 00:00:29.200]  人總會帶著一些期望
[00:00:29.200 --> 00:00:35.400]  但有時期望會令我們很失望
[00:00:35.400 --> 00:00:41.700]  就好像你期望的生日蛋糕應該是這樣的
[00:00:41.700 --> 00:00:46.000]  但誰知你收到的是這樣的
[00:00:46.000 --> 00:00:49.100]  又或者呢?
[00:00:49.100 --> 00:00:56.700]  你期望的圖案 特別是淘寶訂的圖案是這樣的
[00:00:56.700 --> 00:00:59.700]  對 通常淘寶的圖案是這樣的
[00:00:59.700 --> 00:01:04.500]  但當你收到的圖本就是這樣的
[00:01:04.500 --> 00:01:12.500]  最近令香港很多球迷失望的人就是這個樣子
[00:01:12.500 --> 00:01:17.100]  有時真的有期望但又帶給我們失望
[00:01:17.100 --> 00:01:19.300]  耶穌這位猶太人的王
[00:01:19.300 --> 00:01:24.100]  他的遭遇都令當時的人很失望
[00:01:24.100 --> 00:01:28.900]  但今天我也想透過耶穌基督釘十字架的過程
[00:01:28.900 --> 00:01:33.500]  讓大家思考一下這位不一樣的王
[00:01:33.500 --> 00:01:37.900]  究竟他的生命對我們有什麼提醒和學習呢?
[00:01:37.900 --> 00:01:40.700]  今天篇經文很長
[00:01:40.700 --> 00:01:44.900]  差不多有15章
[00:01:44.900 --> 00:01:47.500]  為了大家不要讀得太辛苦
[00:01:47.500 --> 00:01:51.100]  我打算把它剪開四次
[00:01:51.100 --> 00:01:53.300]  十節十節讀
[00:01:53.300 --> 00:01:56.300]  第一章頭十節我會讀
[00:01:56.300 --> 00:01:59.500]  11到20節我想邀請弟兄
[00:01:59.500 --> 00:02:03.700]  21到30節我想邀請姐妹
[00:02:03.700 --> 00:02:08.700]  最後一章邀請全部人一起讀
[00:02:08.700 --> 00:02:11.700]  我先讀吧 我不用邀請了
[00:02:11.700 --> 00:02:14.300]  我自己讀吧
[00:02:14.300 --> 00:02:15.300]  第一節
[00:02:15.300 --> 00:02:16.500]  一到早晨
[00:02:16.500 --> 00:02:21.900]  眾祭司長、長老、文士和全會眾的人
[00:02:21.900 --> 00:02:23.100]  大家相宜
[00:02:23.100 --> 00:02:25.500]  就把耶穌捆著
[00:02:25.500 --> 00:02:28.300]  解去交給彼拉多
[00:02:28.300 --> 00:02:29.300]  彼拉多問祂
[00:02:29.300 --> 00:02:31.500]  祢是猶太人的王嗎?
[00:02:31.500 --> 00:02:32.700]  耶穌回答
[00:02:32.700 --> 00:02:35.500]  是,你說的
[00:02:35.500 --> 00:02:38.500]  祭司長告祂許多的事
[00:02:38.500 --> 00:02:40.100]  彼拉多又問祂
[00:02:40.100 --> 00:02:42.500]  你看他們告祢這麼多的事
[00:02:42.500 --> 00:02:44.500]  祢什麼都不回答嗎?
[00:02:44.500 --> 00:02:46.300]  耶穌仍不回答
[00:02:46.300 --> 00:02:48.700]  以致彼拉多覺得驚訝
[00:02:48.700 --> 00:02:50.100]  每逢這節期
[00:02:50.100 --> 00:02:51.900]  彼拉多照眾人所求的
[00:02:51.900 --> 00:02:54.500]  釋放一個囚犯給他們
[00:02:54.500 --> 00:02:56.300]  有一個人名叫巴拉巴
[00:02:56.300 --> 00:02:59.100]  和作亂的人監禁在一起
[00:02:59.100 --> 00:03:02.500]  他們作亂的時候曾殺過人
[00:03:02.500 --> 00:03:05.700]  眾人上去求彼拉多照常例
[00:03:05.700 --> 00:03:07.500]  給他們辦理
[00:03:07.500 --> 00:03:08.700]  彼拉多說
[00:03:08.700 --> 00:03:12.700]  你們要我釋放猶太人的王給你們嗎?
[00:03:12.700 --> 00:03:15.700]  他原知道祭司長們是嫉妒
[00:03:15.700 --> 00:03:17.700]  才把耶穌解了來
[00:03:17.700 --> 00:03:19.500]  好,我們邀請弟兄讀
[00:03:19.500 --> 00:03:21.500]  預備起
[00:03:21.500 --> 00:03:24.100]  好,我們邀請大家一起讀
[00:03:24.100 --> 00:03:25.700]  好,預備起
[00:03:25.700 --> 00:03:29.900]  眾祭司長和文士也這樣嘲笑他
[00:03:29.900 --> 00:03:30.900]  彼此說
[00:03:30.900 --> 00:03:33.900]  他救了別人,不能救自己
[00:03:33.900 --> 00:03:35.700]  以色列的王基督
[00:03:35.700 --> 00:03:38.300]  現在從十字架上下來
[00:03:38.300 --> 00:03:41.300]  好讓我們看見就信了
