
[00:00:00.000 --> 00:00:02.480]  各位兄弟姐妹 各位朋友 早安
[00:00:02.480 --> 00:00:05.040]  在此恭祝大家新年快樂
[00:00:05.040 --> 00:00:08.320]  剛才是Kenneth夫婦帶領我們敬拜
[00:00:08.320 --> 00:00:12.160]  真的沒有什麼比在情人節
[00:00:12.160 --> 00:00:14.320]  一對夫婦一起侍奉神好
[00:00:14.320 --> 00:00:17.200]  這是上帝的一個很美好的恩典
[00:00:17.200 --> 00:00:20.640]  在新的一年
[00:00:20.640 --> 00:00:23.520]  很想恭祝大家身心靈健康
[00:00:23.520 --> 00:00:24.880]  能夠在神的面前
[00:00:24.880 --> 00:00:27.440]  好像剛才詩歌所說 領受異象
[00:00:27.440 --> 00:00:30.080]  也能夠得人如得魚
[00:00:30.080 --> 00:00:30.880]  在新的一年
[00:00:30.880 --> 00:00:34.960]  我們思考到底要分享什麼聖經的時候
[00:00:34.960 --> 00:00:37.200]  我自己就想起
[00:00:37.200 --> 00:00:38.960]  既然有新的一年
[00:00:38.960 --> 00:00:40.480]  也有新的異象
[00:00:40.480 --> 00:00:42.800]  我就想用《迦拉太書》
[00:00:42.800 --> 00:00:44.640]  這是新約第一卷
[00:00:44.640 --> 00:00:45.360]  也是新的
[00:00:45.360 --> 00:00:48.720]  差不多是最早成書的一卷書
[00:00:48.720 --> 00:00:50.160]  是和大家分享
[00:00:50.160 --> 00:00:52.400]  前面我們一起要走的路
[00:00:52.400 --> 00:00:55.760]  所以我今天特別選了《迦拉太書》第一章
[00:00:55.760 --> 00:00:58.640]  11節到24節
[00:00:58.640 --> 00:00:59.920]  和大家分享
[00:00:59.920 --> 00:01:01.920]  我們讀經的時候
[00:01:01.920 --> 00:01:04.240]  可以有一個投影片
[00:01:04.240 --> 00:01:05.360]  如果做得到的話
[00:01:05.360 --> 00:01:06.400]  不知道今天能否做到
[00:01:06.400 --> 00:01:08.720]  經文是在下面
[00:01:08.720 --> 00:01:09.840]  是可以出的
[00:01:09.840 --> 00:01:14.240]  我也想大家打開你家的聖經
[00:01:14.240 --> 00:01:15.920]  如果你現在還沒有聖經
[00:01:15.920 --> 00:01:17.120]  坐在家中沒有聖經
[00:01:17.120 --> 00:01:17.840]  快點去拿
[00:01:17.840 --> 00:01:19.440]  可以打開一起讀
[00:01:19.440 --> 00:01:20.560]  同樣地
[00:01:20.560 --> 00:01:23.680]  如果你在地球世界各地
[00:01:23.680 --> 00:01:24.800]  看著今天的崇拜
[00:01:24.800 --> 00:01:27.600]  也鼓勵你打開聖經一起看
[00:01:27.600 --> 00:01:29.600]  剛才也有弟兄姊妹跟我說
[00:01:29.600 --> 00:01:31.200]  萬一你不懂廣東話
[00:01:31.200 --> 00:01:33.360]  Youtube可以有一個即時翻譯的按鈕
[00:01:33.360 --> 00:01:34.160]  你可以找找
[00:01:34.160 --> 00:01:35.200]  一起去聽
[00:01:35.200 --> 00:01:38.720]  我現在就讀出今天的聖經
[00:01:38.720 --> 00:01:40.160]  《迦拉太書》第一章
[00:01:40.160 --> 00:01:40.880]  第十一節
[00:01:40.880 --> 00:01:42.720]  弟兄們 我要你們知道
[00:01:42.720 --> 00:01:44.080]  我所傳的福音
[00:01:44.080 --> 00:01:46.000]  不是按照人的意思
[00:01:46.000 --> 00:01:48.880]  因為我不是從人領受的
[00:01:48.880 --> 00:01:50.800]  也不是人教導我的
