
[00:00:00.000 --> 00:00:03.200]  好,鄧英姐妹,早安
[00:00:03.200 --> 00:00:06.720]  今天本人的狀態很睏
[00:00:06.720 --> 00:00:09.160]  因為昨天由早上九時半開會
[00:00:09.160 --> 00:00:10.520]  開到晚上十時
[00:00:10.520 --> 00:00:14.440]  開會、見人、崇拜、見人
[00:00:14.440 --> 00:00:16.440]  不過我今早吃早餐的時候
[00:00:16.440 --> 00:00:19.040]  我在長江吃早餐的時候
[00:00:19.040 --> 00:00:21.320]  我都嘗試祈禱
[00:00:21.320 --> 00:00:22.920]  「哎呀,上帝,我好累」
[00:00:22.920 --> 00:00:26.840]  今天要講道,待會還要講家長會
[00:00:26.840 --> 00:00:28.280]  都覺得累
[00:00:28.280 --> 00:00:30.960]  不過我祈禱的時候,我覺得有力
[00:00:30.960 --> 00:00:33.080]  但剛才在敬拜裡面
[00:00:33.080 --> 00:00:35.560]  剛才在敬拜裡面有一句說話
[00:00:35.560 --> 00:00:40.480]  它說上帝應許我們的說話能驅走黑暗
[00:00:40.480 --> 00:00:41.440]  我覺得也是
[00:00:41.440 --> 00:00:43.840]  我剛才沒有想太多
[00:00:43.840 --> 00:00:45.480]  在敬拜唱歌
[00:00:45.480 --> 00:00:47.360]  但看到的時候,我又想一下
[00:00:47.360 --> 00:00:49.400]  我現在的狀態是不是很累
[00:00:49.400 --> 00:00:50.720]  我又覺得真的不是
[00:00:50.720 --> 00:00:53.920]  當我開聲去禱告、開聲去讚美的時候
[00:00:53.920 --> 00:00:56.840]  我發覺力量真的從心裡面出來
[00:00:56.840 --> 00:00:59.280]  所以我想真的很想多謝敬拜
[00:00:59.280 --> 00:01:01.160]  帶我們一起去敬拜
[00:01:01.160 --> 00:01:02.680]  也多謝上帝讓我們
[00:01:02.680 --> 00:01:04.120]  透過我們敬拜的時候
[00:01:04.120 --> 00:01:06.640]  我們生命會得著能力
[00:01:06.640 --> 00:01:08.560]  今天進入講道的時候
[00:01:08.560 --> 00:01:11.560]  我給大家的講題叫做「嚴選庇護家園」
[00:01:11.560 --> 00:01:13.640]  庇護,我們一起很想找一下
[00:01:13.640 --> 00:01:17.840]  我們生命裡面可以保障我們的是什麼
[00:01:17.840 --> 00:01:20.240]  話說中一的你可能不知道
[00:01:20.240 --> 00:01:21.600]  因為你九月才開始來
[00:01:21.600 --> 00:01:23.600]  但其實中二、中三的你們
[00:01:23.600 --> 00:01:26.400]  應該大概知道我去年做了一個手術
[00:01:26.400 --> 00:01:28.120]  有些印象
[00:01:28.120 --> 00:01:30.360]  因為做了手術,跛了腳
[00:01:30.360 --> 00:01:33.680]  要進醫院兩、三天
[00:01:33.680 --> 00:01:35.200]  不過要戴石膏
[00:01:35.200 --> 00:01:39.040]  然後有三個月沒有上班
[00:01:39.040 --> 00:01:42.680]  不過我想說那段階段
[00:01:42.680 --> 00:01:43.600]  有一個狀況
