
[00:00:00.000 --> 00:00:09.160]  不知道大家知道最近熱門的話題
[00:00:09.160 --> 00:00:12.480]  你覺得最近最熱門的話題是什麼呢?
[00:00:12.480 --> 00:00:14.720]  你最近留意什麼?
[00:00:14.720 --> 00:00:16.560]  或者看電視出現的什麼?
[00:00:16.560 --> 00:00:18.000]  不是看電視,你們不看電視的
[00:00:18.000 --> 00:00:22.840]  IG啊,輸出的什麼出現多在你的IG裡面?
[00:00:22.840 --> 00:00:25.320]  鄭秀文拿影后?
[00:00:25.320 --> 00:00:31.160]  我就覺得林婆婆在IG裡面經常出現
[00:00:31.160 --> 00:00:33.640]  是嗎?有沒有看?
[00:00:33.640 --> 00:00:36.720]  我還特意上YouTube看
[00:00:36.720 --> 00:00:40.000]  她不單在IG出現,我還特意上YouTube看
[00:00:40.000 --> 00:00:42.800]  被人瘋傳,很多人留意
[00:00:42.800 --> 00:00:45.040]  有人稱讚婆婆很可愛
[00:00:45.040 --> 00:00:48.800]  真的,你試試15秒說出菜名吧
[00:00:48.800 --> 00:00:51.880]  我猜你應該沒有說林婆婆那麼多
[00:00:51.880 --> 00:00:58.880]  我在想,一個不經意的節目卻被人瘋傳
[00:00:58.880 --> 00:01:01.400]  每個人都提及她,每個人都說她
[00:01:01.400 --> 00:01:04.040]  每個人都知道這件事發生什麼事
[00:01:04.040 --> 00:01:08.720]  但是耶穌基督寫幾個人那麼感人的事
[00:01:08.720 --> 00:01:13.080]  人聽到卻很冷淡,沒有什麼反應
[00:01:13.080 --> 00:01:15.360]  而作為基督徒的我們
[00:01:15.360 --> 00:01:18.760]  我們又可以怎樣堅持去傳福音呢?
[00:01:18.760 --> 00:01:22.680]  人聽到卻很冷淡,不受歡迎的訊息
[00:01:22.680 --> 00:01:24.320]  我們作為基督徒
[00:01:24.320 --> 00:01:28.760]  怎樣可以堅持傳下去,繼續告訴別人呢?
[00:01:28.760 --> 00:01:31.800]  這是很值得我們思考的事情
[00:01:31.800 --> 00:01:36.520]  今天我想和大家分享一段聖經
[00:01:36.520 --> 00:01:39.000]  是以塞亞書的,53章
[00:01:39.000 --> 00:01:44.600]  是聖經裡的一段叫「獨人之歌」的其中一段
[00:01:44.600 --> 00:01:48.480]  提及到耶穌基督,這位尼塞亞,這位救主
[00:01:48.480 --> 00:01:50.080]  以色列人期待的救主
[00:01:50.080 --> 00:01:54.080]  跟他們期望的差很遠
[00:01:54.080 --> 00:01:56.200]  不是他們想像中那樣
[00:01:56.200 --> 00:01:59.120]  看來也不太受歡迎
[00:01:59.120 --> 00:02:03.920]  但是當耶穌基督真是親身來到這個世界的時候
[00:02:03.920 --> 00:02:06.680]  他怎樣可以繼續堅持到
[00:02:06.680 --> 00:02:09.680]  完成到天上給他的旨意呢?
[00:02:09.680 --> 00:02:13.080]  我們希望在經文裡一同學習一下
[00:02:13.080 --> 00:02:15.680]  看看當中有甚麼教導
[00:02:15.680 --> 00:02:19.840]  經文是以塞亞書,53章的一至六節
[00:02:19.840 --> 00:02:21.640]  邀請大家一起讀
[00:02:21.640 --> 00:02:23.080]  好,預備起
[00:02:23.080 --> 00:02:26.840]  「我們所傳的有誰信呢?」
[00:02:26.840 --> 00:02:30.320]  「耶和華的蚌被向誰顯露呢?」
[00:02:30.320 --> 00:02:33.920]  「他在耶和華面前生長如嫩芽」
[00:02:33.920 --> 00:02:36.200]  「橡根出於乾地」
[00:02:36.200 --> 00:02:39.960]  「他無階型美容使我們注視他」
[00:02:39.960 --> 00:02:43.360]  「也無美貌使我們仰慕他」
[00:02:43.360 --> 00:02:49.080]  「他被藐視,被人厭棄,多受痛苦,常經憂患」
[00:02:49.080 --> 00:02:53.560]  「他被藐視,好像被人掩面不看的一樣」
[00:02:53.560 --> 00:02:56.280]  「我們也不尊重他」
[00:02:56.280 --> 00:03:01.280]  「他承認擔當我們的憂患,背負我們的痛苦」
[00:03:01.280 --> 00:03:06.480]  「我們卻以為他受責罰,是被神擊打附帶」
[00:03:06.480 --> 00:03:11.600]  「他為我們的過犯受害,為我們的罪孽被壓傷」
[00:03:11.600 --> 00:03:15.000]  「因他受的應罰,我們得平安」
[00:03:15.000 --> 00:03:18.440]  「因他受的鞭傷,我們得醫治」
[00:03:18.440 --> 00:03:22.440]  「我們都與羊走迷,各人偏行幾路」
[00:03:22.440 --> 00:03:26.720]  「而話使我們眾人的罪孽都歸在他身上」
[00:03:26.720 --> 00:03:28.720]  「讓我們在同地投禱告」
[00:03:28.720 --> 00:03:32.880]  這位上帝願祢和我們同在
[00:03:32.880 --> 00:03:35.960]  聖靈也願祢在我們生命裏工作
[00:03:35.960 --> 00:03:37.680]  開通我們的眼睛
[00:03:37.680 --> 00:03:39.160]  開通我們的眼睛
[00:03:39.160 --> 00:03:41.640]  讓我們看見一個很大的真相
[00:03:41.640 --> 00:03:44.640]  就是耶穌基督的救恩是多麼的強大
[00:03:44.640 --> 00:03:47.040]  耶穌的生命是多麼值得我們學習
[00:03:47.040 --> 00:03:49.160]  和值得我們去跟從
[00:03:49.160 --> 00:03:50.960]  願祢親自與我們說話
[00:03:50.960 --> 00:03:52.600]  我們這樣的祈禱交托
[00:03:52.600 --> 00:03:55.360]  奉耶穌基督的名祈求,阿們
[00:03:55.360 --> 00:03:59.240]  「以塞亞書」
[00:03:59.240 --> 00:04:01.120]  其實「以塞亞」是一個先知
[00:04:01.120 --> 00:04:03.560]  「以塞亞」這個名字有一個意思
[00:04:03.560 --> 00:04:06.520]  是「耶和華」是拯救的意思
[00:04:06.520 --> 00:04:09.080]  在先知「以塞亞」的時代
[00:04:09.080 --> 00:04:11.640]  其實北角都將近亡國
