
[00:00:00.000 --> 00:00:03.200]  大家今年是2025年
[00:00:03.200 --> 00:00:06.000]  新的一年,見到大家都很開心
[00:00:06.000 --> 00:00:10.600]  剛剛過了1月1日的新年
[00:00:10.600 --> 00:00:14.000]  但是很快,原來兩個禮拜後
[00:00:14.000 --> 00:00:17.400]  又是農曆新年
[00:00:17.400 --> 00:00:20.400]  所以其實好像整個月都是新年一樣
[00:00:20.400 --> 00:00:24.600]  在這裡我現在很適合再次祝福大家
[00:00:24.600 --> 00:00:26.800]  在這裡祝福大家新年快樂
[00:00:26.800 --> 00:00:29.400]  新年蒙福,身體健康
[00:00:30.400 --> 00:00:33.400]  感謝主
[00:00:33.400 --> 00:00:38.400]  2025年原來又是一個很特別的一年
[00:00:38.400 --> 00:00:42.000]  和數學有關的,不知道大家知不知道
[00:00:42.000 --> 00:00:46.800]  2025年是一個很有趣的數學年
[00:00:46.800 --> 00:00:51.400]  2025年原來是可以成為45的平方
[00:00:51.400 --> 00:00:54.600]  是一個很整全的平方
[00:00:54.600 --> 00:00:58.400]  對上一次原來是1936年,44的平方
[00:00:58.400 --> 00:01:02.400]  有沒有人經歷過1936年?
[00:01:02.400 --> 00:01:04.000]  有沒有?
[00:01:04.000 --> 00:01:05.800]  可能有
[00:01:05.800 --> 00:01:09.400]  下一個是2116年
[00:01:09.400 --> 00:01:14.800]  大家想不想都經歷一下
[00:01:14.800 --> 00:01:20.400]  同時其實2025除了整全之外
[00:01:20.400 --> 00:01:25.400]  又可以很工整有條理的數字組合出來
[00:01:25.400 --> 00:01:27.600]  我們可以看下一張
[00:01:27.600 --> 00:01:30.400]  20加25的平方
[00:01:30.400 --> 00:01:33.800]  又可以由1加到9的平方
[00:01:33.800 --> 00:01:38.000]  又可以1加到9各自的三次方
[00:01:38.000 --> 00:01:42.600]  原來真的很有條理,很工整
[00:01:42.600 --> 00:01:45.400]  看到2025年真的很多的組合
[00:01:45.400 --> 00:01:48.400]  我去想其實都好像我們的生活
[00:01:48.400 --> 00:01:50.800]  我們時間的分配
[00:01:50.800 --> 00:01:52.800]  又有不同的活動
[00:01:52.800 --> 00:01:54.800]  和不同的人一起
[00:01:54.800 --> 00:01:57.000]  都可以有很多的組合
[00:01:57.000 --> 00:01:58.400]  我們作為門徒
[00:01:58.400 --> 00:02:00.600]  應該怎樣的生活組合
[00:02:00.600 --> 00:02:02.000]  怎樣的安排
[00:02:02.000 --> 00:02:05.200]  可以令到我們的信仰生活更加整全
[00:02:05.200 --> 00:02:07.200]  而不是支離破碎
[00:02:07.200 --> 00:02:09.000]  亦都可以整整有條
[00:02:09.000 --> 00:02:12.000]  怎樣可以調整我們的信仰生活
[00:02:12.000 --> 00:02:16.600]  可以在新的一年裏面有新的氣象
[00:02:16.600 --> 00:02:18.800]  在《士農行展》的第二章
[00:02:18.800 --> 00:02:23.000]  一開始就記載在五順節裏面
[00:02:23.000 --> 00:02:24.200]  聖靈降臨
[00:02:24.200 --> 00:02:28.000]  聚集的門徒都被聖靈充滿
[00:02:28.000 --> 00:02:31.000]  很多很虔誠的猶太人都來到
[00:02:31.000 --> 00:02:33.200]  彼得向他們宣講
[00:02:33.200 --> 00:02:35.200]  主耶穌成就的救恩
[00:02:35.200 --> 00:02:38.600]  和祂叫眾人都要悔改
[00:02:38.600 --> 00:02:40.400]  而領受祂的話的人
[00:02:40.400 --> 00:02:41.800]  那天都受了洗
[00:02:41.800 --> 00:02:45.200]  那天門徒增添了三千人
[00:02:45.200 --> 00:02:47.000]  接著就是今天的經文
[00:02:47.000 --> 00:02:49.400]  在42至47節
[00:02:49.400 --> 00:02:52.200]  神要我們很完美地去複製
[00:02:52.200 --> 00:02:55.200]  當時門徒的生活每個細節
[00:02:55.200 --> 00:02:57.400]  然後給我們一幅遠像
[00:02:57.400 --> 00:02:58.200]  一個願景
[00:02:58.200 --> 00:02:59.600]  很美好的願景
[00:02:59.600 --> 00:03:03.000]  一個門徒新生活的新氣象
[00:03:03.000 --> 00:03:05.600]  令到我們可以在今天的社會裏面
[00:03:05.600 --> 00:03:08.000]  繼續活出基督的樣式
[00:03:08.000 --> 00:03:09.600]  更加像基督
[00:03:09.600 --> 00:03:11.000]  來和我們一起讀
[00:03:11.000 --> 00:03:14.600]  《士農行展》二章42至47節
[00:03:14.600 --> 00:03:20.000]  他們都專注於使徒的教導和彼此的團契
[00:03:20.000 --> 00:03:21.800]  抹餅和祈禱
[00:03:21.800 --> 00:03:24.200]  眾人都心存敬畏
[00:03:24.200 --> 00:03:28.000]  使徒們又行了許多奇事神蹟
[00:03:28.000 --> 00:03:30.600]  信的人都聚在一處
[00:03:30.600 --> 00:03:32.200]  繁物公用
[00:03:32.200 --> 00:03:34.800]  又賣了田產和家業
[00:03:34.800 --> 00:03:38.800]  照每一個人所需要的分給他們
[00:03:38.800 --> 00:03:41.600]  他們天天合同心合意
[00:03:41.600 --> 00:03:44.600]  行徹地在聖殿裏敬拜
[00:03:44.600 --> 00:03:46.800]  且在家中抹餅
[00:03:46.800 --> 00:03:50.000]  傳著歡喜坦誠的心用法
[00:03:50.000 --> 00:03:53.800]  讚美神得全體百姓的喜愛
[00:03:53.800 --> 00:03:58.600]  主張得救的人天天加給他們
[00:03:58.600 --> 00:04:01.400]  在42至43節的經文裏面
[00:04:01.400 --> 00:04:06.400]  我們首先見到門徒他們個人生活的重心
[00:04:06.400 --> 00:04:08.200]  他們專注於使徒的教導
[00:04:08.200 --> 00:04:09.800]  即是神的教導
[00:04:09.800 --> 00:04:11.400]  和團契裏面
[00:04:11.400 --> 00:04:13.600]  亦都懷著敬畏的心
[00:04:13.600 --> 00:04:17.200]  這兩節都描繪了早期基督徒
[00:04:17.200 --> 00:04:19.200]  他們的生活方式
[00:04:19.200 --> 00:04:20.800]  他們亦都幫助我們了解
[00:04:20.800 --> 00:04:24.600]  原來我們門徒生活有甚麼特質特徵
[00:04:24.600 --> 00:04:26.600]  以致我們的生活
[00:04:26.600 --> 00:04:28.800]  我們門徒生活可以信仰化
[00:04:28.800 --> 00:04:31.600]  而第一個特徵就是我們以神為首
[00:04:31.600 --> 00:04:34.600]  我們一起再仔細看看經文
[00:04:34.600 --> 00:04:37.000]  在42節裏面
[00:04:37.000 --> 00:04:42.200]  經文強調門徒是專注於使徒的教導
[00:04:42.200 --> 00:04:45.800]  這個專注不是一個短暫的行動
[00:04:45.800 --> 00:04:52.200]  而是一個很有恆心、持續、堅持、長時間的生活態度
[00:04:52.200 --> 00:04:58.200]  即是說門徒他們持續認真地學習神的話語
[00:04:58.200 --> 00:04:59.000]  不單止學習
[00:04:59.000 --> 00:05:02.400]  還要實踐在自己生活裏面
[00:05:02.400 --> 00:05:04.600]  而他們專注於神的教導
[00:05:04.600 --> 00:05:07.800]  經文同樣強調他們很專注
[00:05:07.800 --> 00:05:12.600]  行設在團契、在一個群體的生活
[00:05:12.600 --> 00:05:15.800]  當時團契他們是做甚麼的呢?
[00:05:15.800 --> 00:05:18.400]  經文接著就說「抹餅」和「禱告」
[00:05:18.400 --> 00:05:21.600]  這個就是他們團契的內容
[00:05:21.600 --> 00:05:26.600]  「抹餅」可以是他們紀念主的主餐
[00:05:26.600 --> 00:05:31.200]  亦都可以是門徒當中的聚餐
[00:05:31.200 --> 00:05:34.600]  「抹餅」都是猶太人的主食
[00:05:34.600 --> 00:05:37.400]  門徒將團契融入生活裏面
[00:05:37.400 --> 00:05:42.000]  亦都花時間彼此相交、彼此代禱、紀念
[00:05:42.000 --> 00:05:46.400]  這種互相關懷、支持是他們生活的一部分
[00:05:46.400 --> 00:05:48.400]  他們專注於這兩件事
[00:05:48.400 --> 00:05:50.400]  使徒的教導和團契
[00:05:50.400 --> 00:05:53.800]  是他們的生活方式、他們的生活風格
[00:05:53.800 --> 00:05:56.200]  就好像現代人的生活方式
[00:05:56.200 --> 00:05:57.800]  都是專注於兩件事
[00:05:57.800 --> 00:06:00.800]  不知道大家知不知道專注於哪兩件事
[00:06:00.800 --> 00:06:03.600]  第一件就是這樣的
[00:06:03.600 --> 00:06:06.800]  低頭在滾手機
[00:06:06.800 --> 00:06:10.200]  這個是現代人的生活方式
[00:06:10.200 --> 00:06:14.000]  第二個就是經常加班工作
[00:06:14.000 --> 00:06:15.800]  都是很常見的
[00:06:15.800 --> 00:06:19.000]  但我們為何要專注於這兩件事呢?
[00:06:19.000 --> 00:06:22.200]  主耶穌的教導和團契呢?
[00:06:22.200 --> 00:06:25.400]  其實認識神的話對我們都很重要
[00:06:25.400 --> 00:06:28.600]  我們這個時代都是資訊爆炸的時代
[00:06:28.600 --> 00:06:33.800]  我們其實有些事情不明不知通常會怎樣做?
[00:06:33.800 --> 00:06:35.600]  上網查
[00:06:35.600 --> 00:06:37.400]  現在有多了一個工具
[00:06:37.400 --> 00:06:40.400]  就是有人會問AI
[00:06:40.400 --> 00:06:42.400]  很多聲音告訴我們
[00:06:42.400 --> 00:06:45.400]  影響了我們的思想、價值觀
[00:06:45.400 --> 00:06:47.200]  甚麼是成功?
[00:06:47.200 --> 00:06:49.000]  怎樣才能賺錢?
[00:06:49.000 --> 00:06:50.400]  怎樣才是漂亮?
[00:06:50.400 --> 00:06:53.400]  人生裏面有些甚麼是必做必去
[00:06:53.400 --> 00:06:57.000]  必看的、必吃的?
[00:06:57.000 --> 00:06:59.600]  但神的話,唯有神的話
[00:06:59.600 --> 00:07:03.200]  才是我們腳前的燈、路上的光
[00:07:03.200 --> 00:07:06.200]  是真理、是我們的智慧
[00:07:06.200 --> 00:07:08.400]  所以我們專注於神的話裏面
[00:07:08.400 --> 00:07:10.400]  我們讀經、靈修
[00:07:10.400 --> 00:07:12.800]  用我們的焦點都是對準神的
[00:07:12.800 --> 00:07:14.000]  以神為首
[00:07:14.000 --> 00:07:18.600]  不要被世俗的聲音或者異端帶走我們
[00:07:18.600 --> 00:07:20.600]  而這層次在團契裏面
[00:07:20.600 --> 00:07:24.400]  團契的都是希臘文Kolonia
[00:07:24.400 --> 00:07:26.600]  它就是說我們一起生活
[00:07:26.600 --> 00:07:29.400]  很強調我們共同的信仰和生命
[00:07:29.400 --> 00:07:31.400]  其實在現代社會
[00:07:31.400 --> 00:07:36.000]  真的很多人都覺得孤單和疏離
[00:07:36.000 --> 00:07:40.600]  近年美國有個波士頓大學的醫學院研究
[00:07:40.600 --> 00:07:44.000]  它指出孤獨感原來是現今中年人
[00:07:44.000 --> 00:07:49.200]  45至64歲的健康隱形殺手
[00:07:49.200 --> 00:07:52.000]  糟了,我也是這個範疇裏面
[00:07:52.000 --> 00:07:56.200]  如果持續在這個孤獨和憂鬱裏面
[00:07:56.200 --> 00:07:58.000]  可能會影響精神健康
[00:07:58.000 --> 00:08:02.600]  甚至會提高患上腦退化的風險
[00:08:02.600 --> 00:08:07.000]  所以我們更加要珍惜有得回團契的時間
[00:08:07.000 --> 00:08:09.400]  團契令到它更加有價值
[00:08:09.400 --> 00:08:13.600]  我們很需要在群體生活裏面彼此去支持
[00:08:13.600 --> 00:08:18.400]  分享生活裏面有些開心、不開心、喜怒哀樂
[00:08:18.400 --> 00:08:21.600]  讓我們才可以在信仰裏面繼續去成長
[00:08:21.600 --> 00:08:25.000]  可能我們有些生活上遇到的挑戰
[00:08:25.000 --> 00:08:28.400]  或者好像有些聖經我們不是很實踐到的
[00:08:28.400 --> 00:08:33.000]  在團契裏面我們可以分享、可以給予支持
[00:08:33.000 --> 00:08:36.800]  但回團契有沒有難處?
[00:08:36.800 --> 00:08:39.600]  很好,有人說沒有難處
[00:08:39.600 --> 00:08:42.200]  我聽到弟兄姊妹也有些難處
[00:08:42.200 --> 00:08:44.800]  就是很忙,沒有時間
[00:08:44.800 --> 00:08:48.600]  或者已經很累了,那天上班一整天
[00:08:48.600 --> 00:08:53.000]  沒有甚麼力量回來
[00:08:53.000 --> 00:08:57.000]  這個真是事實,我們生活真的很忙碌
[00:08:57.000 --> 00:09:01.400]  但如果你認同團契生活對你的屬靈生命很重要
[00:09:01.400 --> 00:09:06.000]  不妨將你的團契時間畫出來
[00:09:06.000 --> 00:09:08.400]  我很欣賞有弟兄姊妹分享過
[00:09:08.400 --> 00:09:10.200]  他很重視團契的生活
[00:09:10.200 --> 00:09:14.800]  他刻意將團契時間寫在他的行事曆裏面
[00:09:14.800 --> 00:09:18.800]  就好像和耶穌有約那樣,那個時間畫了
[00:09:18.800 --> 00:09:23.600]  如果有朋友約他吃飯、看戲、醉醫、打球
[00:09:23.600 --> 00:09:26.600]  你猜他會怎樣做?
