
[00:00:00.000 --> 00:00:02.000]  (主席) 各位早安
[00:00:02.000 --> 00:00:05.000]  在我們領受神話之先
[00:00:05.000 --> 00:00:07.000]  讓我們一起低頭禱告
[00:00:07.000 --> 00:00:10.000]  榮耀天父我們何等的真誠
[00:00:10.000 --> 00:00:14.000]  要向您吐露我們心中的受苦、憂慮
[00:00:14.000 --> 00:00:18.000]  但我們同樣知道您容許疫情的發生
[00:00:18.000 --> 00:00:22.000]  是向普世宣告您自己拯救的大恩
[00:00:22.000 --> 00:00:26.000]  有人快快的迴轉進入您自己拯救的方舟裡
[00:00:26.000 --> 00:00:28.000]  我們願意與您
[00:00:28.000 --> 00:00:32.000]  並且知道您在疫情風暴的水上行走
[00:00:32.000 --> 00:00:36.000]  您周圍的要去拯救、凡呼求
[00:00:36.000 --> 00:00:39.000]  要您去拯救的人
[00:00:39.000 --> 00:00:41.000]  您都一一伸手將他們救上來
[00:00:41.000 --> 00:00:44.000]  進入拯救的方舟裡
[00:00:44.000 --> 00:00:48.000]  我們做正待您自己將疫情親身的退去
[00:00:48.000 --> 00:00:50.000]  回過頭來的時候
[00:00:50.000 --> 00:00:53.000]  我們做敬畏和敬拜您自己
[00:00:53.000 --> 00:00:55.000]  將我們的心交給您
[00:00:55.000 --> 00:00:57.000]  您知道我們眾人的需要
[00:00:57.000 --> 00:00:59.000]  將以下信息的時間交託
[00:00:59.000 --> 00:01:00.000]  禱告奉主的名
[00:01:00.000 --> 00:01:01.000]  阿門
[00:01:01.000 --> 00:01:03.000]  大家午安
[00:01:03.000 --> 00:01:05.000]  今天雖然是年初十三
[00:01:05.000 --> 00:01:08.000]  不過仍然祝福眾人在苦年能夠堅毅
[00:01:08.000 --> 00:01:10.000]  主因滿日
[00:01:10.000 --> 00:01:12.000]  都差不多過了兩年新冠疫情
[00:01:12.000 --> 00:01:14.000]  惡夢都未過去
[00:01:14.000 --> 00:01:16.000]  變幻仍未可測
[00:01:16.000 --> 00:01:18.000]  歷年推塵出新
[00:01:18.000 --> 00:01:21.000]  我不知道你和我會不會已經過度疲勞
[00:01:21.000 --> 00:01:23.000]  寧情停滯不前
[00:01:23.000 --> 00:01:25.000]  甚或是退步中
[00:01:25.000 --> 00:01:27.000]  困乏到不能自拔
[00:01:27.000 --> 00:01:29.000]  還是我們已經經一事長一智
[00:01:29.000 --> 00:01:32.000]  更加預備好面對未知的將來
[00:01:32.000 --> 00:01:34.000]  正正是預備好
[00:01:34.000 --> 00:01:36.000]  重拾過往靠著跨性的日子
[00:01:36.000 --> 00:01:39.000]  新心靈已經操練到另一個層次
[00:01:39.000 --> 00:01:40.000]  再接再厲
[00:01:40.000 --> 00:01:42.000]  靠著衝破風浪
[00:01:42.000 --> 00:01:44.000]  恢復主前
[00:01:44.000 --> 00:01:46.000]  信望愛聰明的狀態
[00:01:46.000 --> 00:01:51.000]  前一陣子新曆新年的時候
[00:01:51.000 --> 00:01:53.000]  我一次的家序分享裡面
[00:01:53.000 --> 00:01:56.000]  大家都用一至兩個漢字
[00:01:56.000 --> 00:01:59.000]  來總結自己在2021年的日子
[00:01:59.000 --> 00:02:01.000]  出現了單字
[00:02:01.000 --> 00:02:03.000]  出現了兩個字
[00:02:03.000 --> 00:02:05.000]  出現了四個字
[00:02:05.000 --> 00:02:06.000]  出現了恩典
[00:02:06.000 --> 00:02:07.000]  珍惜
[00:02:07.000 --> 00:02:09.000]  甚至出現了恩福
[00:02:09.000 --> 00:02:12.000]  給你們現在有五秒鐘的回顧
[00:02:12.000 --> 00:02:14.000]  你覺得能夠代表你自己
[00:02:14.000 --> 00:02:17.000]  2021年的漢字是什麼呢?
[00:02:17.000 --> 00:02:19.000]  五秒鐘時間
[00:02:19.000 --> 00:02:30.000]  五秒
[00:02:30.000 --> 00:02:32.000]  是和?
[00:02:32.000 --> 00:02:33.000]  是混亂?
[00:02:33.000 --> 00:02:35.000]  是平安?
[00:02:35.000 --> 00:02:37.000]  是逆向思維?
[00:02:37.000 --> 00:02:39.000]  是求生?
[00:02:39.000 --> 00:02:40.000]  還是復興呢?
[00:02:40.000 --> 00:02:42.000]  迎向未知的疫情變化
[00:02:42.000 --> 00:02:44.000]  背向艱難不堪的過去
[00:02:44.000 --> 00:02:47.000]  你我在神前有什麼的討求和心願
[00:02:47.000 --> 00:02:49.000]  立志要幫自己重整旗鼓
[00:02:49.000 --> 00:02:50.000]  重塑生命
[00:02:50.000 --> 00:02:52.000]  跨越這個疫情的風暴呢?
[00:02:52.000 --> 00:02:54.000]  前幾個月開始
[00:02:54.000 --> 00:02:55.000]  我就圍到今天的訊息
[00:02:55.000 --> 00:02:56.000]  討告神
[00:02:56.000 --> 00:02:58.000]  信眾究竟需要從神來的
[00:02:58.000 --> 00:02:59.000]  怎樣的訊息
[00:02:59.000 --> 00:03:01.000]  去迎向未來的挑戰呢?
[00:03:01.000 --> 00:03:02.000]  當時我都不知道
