
[00:00:00.000 --> 00:00:04.280]  昨晚在這裡跟標青講道
[00:00:04.280 --> 00:00:08.360]  今早回來跟我們這個美好的群體分享
[00:00:08.360 --> 00:00:10.600]  是相當感恩的事
[00:00:10.600 --> 00:00:13.280]  接下來會有大會
[00:00:13.280 --> 00:00:14.800]  也鼓勵大家預留時間
[00:00:14.800 --> 00:00:16.000]  9月17日
[00:00:16.000 --> 00:00:18.080]  當時我會用一個題目
[00:00:18.080 --> 00:00:21.880]  就是講復常、復和和復興
[00:00:21.880 --> 00:00:27.560]  我見過在世界不同地方的目者
[00:00:27.560 --> 00:00:30.120]  他們都說在這一刻在全世界
[00:00:30.120 --> 00:00:30.840]  不單是香港
[00:00:30.840 --> 00:00:34.520]  全世界兩極化的概念是非常之嚴重
[00:00:34.520 --> 00:00:35.960]  無論任何的議題
[00:00:35.960 --> 00:00:40.920]  都引起兩邊很極端的人士的衝擊
[00:00:40.920 --> 00:00:42.720]  大家如果看美國就知道
[00:00:42.720 --> 00:00:45.920]  選舉或者他們的墮胎和性戀的法案
[00:00:45.920 --> 00:00:48.440]  這些都引起一個很兩極化的挑戰
[00:00:48.440 --> 00:00:51.400]  這是全世界很多地方都在發生的事情
[00:00:51.400 --> 00:00:53.120]  跟政權的關係
[00:00:53.120 --> 00:00:56.240]  是我們在復和復常的路上
[00:00:56.240 --> 00:00:58.560]  一個很緊張的心情
[00:00:58.560 --> 00:01:00.240]  這也是中國人幾十年來
[00:01:00.240 --> 00:01:02.320]  或者幾百年甚至幾千年來
[00:01:02.320 --> 00:01:05.360]  都是一個很艱難的焦慮
[00:01:05.360 --> 00:01:06.480]  所以你是開線之先
[00:01:06.480 --> 00:01:09.920]  不如今天我們再多走一步的時候
[00:01:09.920 --> 00:01:11.160]  教會我們一起祈禱
[00:01:11.160 --> 00:01:12.520]  我們一起禱告
[00:01:12.520 --> 00:01:15.200]  就著我們再一次肯定耶穌基督為王
[00:01:15.200 --> 00:01:17.360]  也肯定你自己的慈愛
[00:01:17.360 --> 00:01:20.680]  求主你幫助我們今天在我們腹中
[00:01:20.680 --> 00:01:22.160]  在這個這麼美好的地方
[00:01:22.160 --> 00:01:23.920]  一起聆聽上帝你自己的話的時候
[00:01:23.920 --> 00:01:25.360]  求你的補血遮蓋
[00:01:25.360 --> 00:01:26.840]  也用讓你自己的話語
[00:01:26.840 --> 00:01:28.760]  臨到我們眾人的心中
[00:01:28.760 --> 00:01:30.080]  我們這樣禱告交託
[00:01:30.080 --> 00:01:31.760]  奉耶穌基督的名義求
[00:01:31.760 --> 00:01:32.760]  阿們
[00:01:32.760 --> 00:01:35.080]  我在出生之前的幾年
[00:01:35.080 --> 00:01:37.920]  剛剛是文化大革命的期間
[00:01:37.920 --> 00:01:40.800]  當時很多人是被迫害致死的
[00:01:40.800 --> 00:01:43.000]  包括可能大家很熟悉的傅雷
[00:01:43.000 --> 00:01:45.160]  寫傅雷家書《父聰的爸爸》
[00:01:45.160 --> 00:01:47.200]  甚至是國歌
[00:01:47.200 --> 00:01:49.880]  就是義勇軍進行曲的作者田漢
[00:01:49.880 --> 00:01:51.360]  甚至我們可能認識的
[00:01:51.360 --> 00:01:53.840]  譬如樂陀祥子的作者魯舍
[00:01:53.840 --> 00:01:56.080]  也是在那段時間離世
[00:01:56.080 --> 00:01:58.760]  被迫害或者自殺自死
[00:01:58.760 --> 00:02:00.840]  那時候我媽媽剛剛懷了我
[00:02:00.840 --> 00:02:02.360]  我媽媽就很認真考慮
[00:02:02.360 --> 00:02:03.600]  是不是應該生我下來
[00:02:03.600 --> 00:02:05.280]  她也用了一些措施
[00:02:05.280 --> 00:02:08.840]  令到我不能夠生在這個世界上
[00:02:08.840 --> 00:02:10.200]  上帝有祂的恩典
[00:02:10.200 --> 00:02:12.000]  我知道當時周恩來有一份
[00:02:12.000 --> 00:02:15.160]  保護一些幹部的名單
[00:02:15.160 --> 00:02:17.760]  包括一些以前國民黨投降的將領
[00:02:17.760 --> 00:02:19.560]  一份很大的名單
[00:02:19.560 --> 00:02:20.760]  大概百多二百人左右
[00:02:20.760 --> 00:02:22.240]  就不可以迫害這班人
[00:02:22.240 --> 00:02:24.520]  當時我不在這份名單上
[00:02:24.520 --> 00:02:25.800]  因為我還沒有出生
[00:02:25.800 --> 00:02:27.560]  但是上帝也保護了我
[00:02:27.560 --> 00:02:29.880]  能夠生下來
[00:02:29.880 --> 00:02:31.360]  但是回想起來
[00:02:31.360 --> 00:02:32.920]  我有時候也覺得怪媽媽
[00:02:32.920 --> 00:02:33.880]  為什麼要做這樣的決定
[00:02:33.880 --> 00:02:35.360]  但是想深一層
[00:02:35.360 --> 00:02:39.960]  也很明白媽媽當時的艱難選擇
[00:02:39.960 --> 00:02:43.680]  她看到在珠江上有很多浮屍
[00:02:43.680 --> 00:02:45.880]  她看到有很多人自殺
[00:02:45.880 --> 00:02:46.800]  她在想這個社會
[00:02:46.800 --> 00:02:49.480]  是否再適合另一個孩子的生存
[00:02:49.480 --> 00:02:50.920]  我不是說墮胎是好
[00:02:50.920 --> 00:02:53.680]  我只是說人世間有時候有很多的抉擇
[00:02:53.680 --> 00:02:55.400]  是政權帶來的
[00:02:55.400 --> 00:02:57.600]  跟公民有一個很大的焦慮
