
[00:00:00.000 --> 00:00:03.000]  但在聖誕節我們也有些心急
[00:00:03.000 --> 00:00:04.640]  耶穌出生的地方
[00:00:04.640 --> 00:00:08.000]  今天依然是戰火連天
[00:00:08.000 --> 00:00:12.000]  我們在今天打開一段舊約經文的時候
[00:00:12.000 --> 00:00:14.000]  我們一起祈禱
[00:00:14.000 --> 00:00:19.000]  「主,我們知道祢降生是和平的君王
[00:00:19.000 --> 00:00:22.000]  但我們回望二千年來
[00:00:22.000 --> 00:00:26.000]  祂見到一波未平一波猶豫的世界衝突
[00:00:26.000 --> 00:00:28.000]  正如祢親自向我們說過
[00:00:28.000 --> 00:00:31.000]  要攻打民,國要攻打國」
[00:00:31.000 --> 00:00:34.000]  很多人自稱「我就是,我就是基督」
[00:00:34.000 --> 00:00:38.000]  可以若果能行的連信徒也迷惑
[00:00:38.000 --> 00:00:43.000]  我們看到很多的屬靈群體都在迷惑的裡面
[00:00:43.000 --> 00:00:46.000]  不知道怎樣去看世界所走的事情
[00:00:46.000 --> 00:00:48.000]  就求主祢今天幫助我們
[00:00:48.000 --> 00:00:50.000]  重新認定在裡面的身份
[00:00:50.000 --> 00:00:53.000]  藉著舊約先知的宣講
[00:00:53.000 --> 00:00:55.000]  我們做一次的
[00:00:55.000 --> 00:00:58.000]  在世代陷入難分難解的時候
[00:00:58.000 --> 00:01:02.000]  我們宣揚耶穌基督祢自己降生的真理
[00:01:02.000 --> 00:01:03.000]  求主就與我們同在
[00:01:03.000 --> 00:01:06.000]  我們這樣土高奉耶穌基督的名而求
[00:01:06.000 --> 00:01:10.000]  在國際戰事裡
[00:01:10.000 --> 00:01:16.000]  俄烏戰爭都未能夠分出一個解決方法
[00:01:16.000 --> 00:01:19.000]  其實大家已經在很多的天災裡
[00:01:19.000 --> 00:01:21.000]  開始變得很麻木
[00:01:21.000 --> 00:01:22.000]  如果大家還記得
[00:01:22.000 --> 00:01:25.000]  教會曾經在早兩個月
[00:01:25.000 --> 00:01:28.000]  用了幾十萬去支持重建
[00:01:28.000 --> 00:01:32.000]  在摩洛哥和阿富汗出現的天災
[00:01:32.000 --> 00:01:34.000]  但好像事情還沒過
[00:01:34.000 --> 00:01:37.000]  在十月份我們又看到
[00:01:37.000 --> 00:01:40.000]  加沙地區哈馬斯組織一個恐怖襲擊
[00:01:40.000 --> 00:01:43.000]  電視和實時的互聯網
[00:01:43.000 --> 00:01:45.000]  將那些殘酷的殺戮現場
[00:01:45.000 --> 00:01:48.000]  老人將女孩子拖上摩托車
[00:01:48.000 --> 00:01:54.000]  拖上皮卡車的景象呈現在我們面前
[00:01:54.000 --> 00:01:56.000]  看完這些新聞
[00:01:56.000 --> 00:02:00.000]  我們心裡都很震驚和不安
[00:02:00.000 --> 00:02:02.000]  甚至我們都會想
[00:02:02.000 --> 00:02:05.000]  其實在主祢自己出生的地方發生這些事情
[00:02:05.000 --> 00:02:07.000]  代表著什麼呢?
[00:02:07.000 --> 00:02:11.000]  事件本身是一個很可怕的恐怖襲擊
[00:02:11.000 --> 00:02:13.000]  我想大家看見的時候
