
[00:00:00.000 --> 00:00:03.420]  今天的經文是《若書雅記》二十三章
[00:00:03.420 --> 00:00:06.020]  我們的題目就是《神人戰記》
[00:00:06.020 --> 00:00:09.420]  今天我們會講三個部分
[00:00:09.420 --> 00:00:11.960]  首先我們會反思一下現在的光景
[00:00:11.960 --> 00:00:14.220]  無論是當時神的指明光景
[00:00:14.220 --> 00:00:16.060]  我們生命的狀態
[00:00:16.060 --> 00:00:19.520]  然後我們會進入我們的主題
[00:00:19.520 --> 00:00:20.600]  就是會說
[00:00:20.600 --> 00:00:23.760]  當我們在人生好像一個征戰的時候
[00:00:23.760 --> 00:00:25.060]  我們要選擇
[00:00:25.060 --> 00:00:29.220]  或者整個群體一起去追隨神的時候
[00:00:29.220 --> 00:00:31.260]  我們有什麼基礎
[00:00:31.260 --> 00:00:32.760]  有什麼防線和策略
[00:00:32.760 --> 00:00:37.760]  最後我們會由一段大家一起反思去回應神的時間
[00:00:37.760 --> 00:00:42.400]  不知道我們在再下一章的時候
[00:00:42.400 --> 00:00:46.020]  我們突然間的腦袋就回到我們以前讀書的時間
[00:00:46.020 --> 00:00:47.960]  有沒有試過跟隔壁玩錯
[00:00:47.960 --> 00:00:50.060]  或者一分鐘錯誤的時間呢
[00:00:50.060 --> 00:00:51.200]  你就會
[00:00:51.200 --> 00:00:52.120]  隔壁的人
[00:00:52.120 --> 00:00:55.800]  Edith你的筆袋過界了
[00:00:55.800 --> 00:00:56.900]  或者他會說
[00:00:57.760 --> 00:01:00.420]  你的擦紙膠過了一點
[00:01:00.420 --> 00:01:03.900]  然後又說你的衣服不知如何飛到那邊
[00:01:03.900 --> 00:01:05.660]  或者在職場的時候
[00:01:05.660 --> 00:01:06.660]  因為我們都長大了
[00:01:06.660 --> 00:01:08.860]  我們都工作了一段時間
[00:01:08.860 --> 00:01:09.960]  有沒有聽過一句
[00:01:09.960 --> 00:01:11.760]  同行踩過界
[00:01:11.760 --> 00:01:12.720]  這件事呢
[00:01:12.720 --> 00:01:14.860]  我記得有一個同事回來
[00:01:14.860 --> 00:01:16.400]  就是他去完一個展覽
[00:01:16.400 --> 00:01:17.720]  那個人很壞
[00:01:17.720 --> 00:01:19.100]  同行踩過界
[00:01:19.100 --> 00:01:20.900]  也不懂得行規的
[00:01:20.900 --> 00:01:23.160]  如果大家聰明的你
[00:01:23.160 --> 00:01:25.020]  你會聽到過界什麼的
[00:01:25.020 --> 00:01:26.700]  今天在《藥書雅技》
[00:01:26.700 --> 00:01:30.020]  進入到我們尾二那一章的時候
[00:01:30.020 --> 00:01:31.160]  我們就會看到
[00:01:31.160 --> 00:01:34.700]  哇!原來神已經帶他的子民進入了英許地
[00:01:34.700 --> 00:01:36.700]  而且他們已經分了地
[00:01:36.700 --> 00:01:38.420]  已經住在裡面
[00:01:38.420 --> 00:01:41.660]  在掌握神的英許地的時候
[00:01:41.660 --> 00:01:42.660]  神的子民
[00:01:42.660 --> 00:01:45.720]  暫時還沒有100%得到
