
[00:00:00.000 --> 00:00:01.340]  好啊 好開心啊
[00:00:01.340 --> 00:00:04.180]  聖誕節是很令人開心的日子
[00:00:04.180 --> 00:00:05.680]  通常都會去街上
[00:00:05.680 --> 00:00:07.380]  為什麼今天你們回來了
[00:00:07.380 --> 00:00:10.400]  因為你們敬拜神啊 是吧
[00:00:10.400 --> 00:00:10.900]  哈哈
[00:00:10.900 --> 00:00:13.700]  那通常怎樣慶祝聖誕節呢
[00:00:13.700 --> 00:00:15.100]  大家說一下
[00:00:15.100 --> 00:00:17.560]  一群人最重要 是吧
[00:00:17.560 --> 00:00:19.040]  去哪裡都好 一群人
[00:00:19.040 --> 00:00:19.700]  是吧
[00:00:19.700 --> 00:00:22.260]  去街上 買點東西吃
[00:00:22.260 --> 00:00:24.700]  看電影 是吧
[00:00:24.700 --> 00:00:27.680]  開派對 交換禮物
[00:00:28.000 --> 00:00:31.840]  你們有沒有覺得聖誕節最近一定要看電影
[00:00:31.840 --> 00:00:33.380]  你們會選哪一套
[00:00:33.380 --> 00:00:36.420]  是吧 之前有一套叫做
[00:00:36.420 --> 00:00:38.160]  No Time To Die 是吧
[00:00:38.160 --> 00:00:39.840]  最近有一套 哪一套
[00:00:39.840 --> 00:00:43.220]  沒錯 No Way Home 是吧
[00:00:43.220 --> 00:00:47.200]  就是那樣的蜘蛛俠 是吧
[00:00:47.200 --> 00:00:49.200]  是啊 其實呢
[00:00:49.200 --> 00:00:50.600]  聖誕節呢
[00:00:50.600 --> 00:00:53.560]  真的是一個很多人都很喜歡的節日
[00:00:53.560 --> 00:00:56.360]  有信用卡在2019年做了一個報告
[00:00:56.360 --> 00:00:57.680]  就是統計調查
[00:00:57.680 --> 00:01:01.000]  他說香港人消費最多的是哪個節日呢
[00:01:01.000 --> 00:01:02.840]  就是這個
[00:01:02.840 --> 00:01:04.400]  就是這個聖誕和這個
[00:01:04.400 --> 00:01:06.160]  就是聖誕節
[00:01:06.160 --> 00:01:08.960]  他說進行了調查的時候
[00:01:08.960 --> 00:01:11.960]  信用卡最多的金額就是聖誕節
[00:01:11.960 --> 00:01:12.460]  第一
[00:01:12.460 --> 00:01:13.880]  然後就是新年
[00:01:13.880 --> 00:01:15.960]  然後就是復活節
[00:01:15.960 --> 00:01:17.400]  然後回歸日
[00:01:17.400 --> 00:01:18.760]  這樣 這樣 這樣
[00:01:18.760 --> 00:01:19.720]  哇
[00:01:19.720 --> 00:01:22.840]  所以聖誕節有沒有人不喜歡的呢
[00:01:22.840 --> 00:01:24.600]  有不喜歡的舉手來看看
