
[00:00:00.000 --> 00:00:02.640]  去做繳試
[00:00:02.640 --> 00:00:05.600]  中間有一個距離
[00:00:05.600 --> 00:00:07.600]  就是我想不想
[00:00:07.600 --> 00:00:09.200]  我很想
[00:00:09.200 --> 00:00:11.200]  但信得多少
[00:00:11.200 --> 00:00:13.200]  行不行出來
[00:00:13.200 --> 00:00:15.700]  這些就要看時間
[00:00:15.700 --> 00:00:17.700]  看科技
[00:00:17.700 --> 00:00:19.700]  但有些東西
[00:00:19.700 --> 00:00:21.700]  信行出來和想不想
[00:00:21.700 --> 00:00:23.700]  是很直接的
[00:00:23.700 --> 00:00:25.700]  我們一起看今天的經文
[00:00:25.700 --> 00:00:27.700]  今天的經文
[00:00:27.700 --> 00:00:33.200]  我們教會的指定經文
[00:00:33.200 --> 00:00:35.700]  我們一起看亞國書
[00:00:35.700 --> 00:00:37.700]  亞國書
[00:00:37.700 --> 00:00:39.700]  上次鄭牧師已經講了
[00:00:39.700 --> 00:00:42.700]  一章二至十二節
[00:00:42.700 --> 00:00:44.700]  今天我們會看一章
[00:00:44.700 --> 00:00:46.700]  十二到十八節
[00:00:46.700 --> 00:00:48.700]  十九至二十七節
[00:00:48.700 --> 00:00:50.700]  是備份的
[00:00:50.700 --> 00:00:52.700]  我今天給他的主題
[00:00:52.700 --> 00:00:55.700]  就是試探到底是什麼事
[00:00:55.700 --> 00:00:58.700]  試探到底是什麼事
[00:00:58.700 --> 00:01:02.700]  亞國書的作者是誰呢?
[00:01:02.700 --> 00:01:04.700]  就是亞國
[00:01:04.700 --> 00:01:07.700]  他不是十二門徒的亞國
[00:01:07.700 --> 00:01:10.700]  而是耶穌的兄弟亞國
[00:01:10.700 --> 00:01:12.700]  雖然他不是十二使徒
[00:01:12.700 --> 00:01:17.700]  但他在使徒行傳中
[00:01:17.700 --> 00:01:19.700]  我們看到他也是一個很公認的領袖
[00:01:19.700 --> 00:01:22.700]  並且他在耶路撒冷的會議中
[00:01:22.700 --> 00:01:24.700]  也是一個核心人物
[00:01:24.700 --> 00:01:27.700]  亞國書是寫給什麼人呢?
[00:01:27.700 --> 00:01:32.700]  亞國書是寫給第一世紀的猶太信徒
[00:01:32.700 --> 00:01:34.700]  即是一群基督徒
