
[00:00:00.000 --> 00:00:02.000]  領之會晚安
[00:00:02.000 --> 00:00:05.120]  2013年新的一年
[00:00:05.120 --> 00:00:07.120]  先祝大家新年快樂
[00:00:07.120 --> 00:00:12.240]  在主裡面大家繼續經歷上帝的恩典
[00:00:12.240 --> 00:00:15.760]  不知道大家記不記得
[00:00:15.760 --> 00:00:17.760]  在2023年
[00:00:17.760 --> 00:00:21.200]  我們教會仍然有講道的主題
[00:00:21.200 --> 00:00:25.360]  不知道大家知不知道講哪一卷經卷
[00:00:25.360 --> 00:00:26.640]  《以西傑書》
[00:00:26.640 --> 00:00:30.480]  《以西傑書》今年四月就講完了
[00:00:30.480 --> 00:00:34.240]  接著講什麼經卷大家知不知道
[00:00:34.240 --> 00:00:36.960]  大家真的有留意
[00:00:36.960 --> 00:00:39.280]  是馬可福音的
[00:00:39.280 --> 00:00:44.960]  四月之後教會就會按照馬可福音去宣講
[00:00:44.960 --> 00:00:48.480]  今年裡面我們晚堂的崇拜
[00:00:48.480 --> 00:00:51.200]  也會有些改變在講道上面
[00:00:51.200 --> 00:00:52.880]  如果大家翻開晚堂
[00:00:52.880 --> 00:00:53.920]  大家應該留意到
[00:00:53.920 --> 00:00:59.040]  我們每個童工都會按他感動去宣講不同的經文
[00:00:59.040 --> 00:01:00.720]  但是我們今年
[00:01:00.720 --> 00:01:05.920]  接下來會嘗試一下用一個經卷去宣講
[00:01:05.920 --> 00:01:09.840]  我們接下來會用以斯拉記和尼希米記
[00:01:09.840 --> 00:01:12.000]  作為講道的經卷
[00:01:12.000 --> 00:01:15.920]  我們的主題就叫做「重建的恩典」
[00:01:15.920 --> 00:01:17.920]  「重建之恩」
[00:01:17.920 --> 00:01:19.600]  因為這兩卷書
[00:01:19.600 --> 00:01:23.040]  其實重建是一個很重要的題目
[00:01:23.040 --> 00:01:25.280]  在這兩卷書裡面
[00:01:25.280 --> 00:01:28.800]  我們看到其實上帝在當中
[00:01:28.800 --> 00:01:32.320]  如何去重建以色列這個群體
[00:01:32.320 --> 00:01:35.440]  他們呼召他的百姓回到耶路撒冷
