
[00:00:00.000 --> 00:00:04.720]  首先第一次來到北區堂的港島
[00:00:04.720 --> 00:00:06.880]  但北區堂我從來沒有來過
[00:00:06.880 --> 00:00:10.200]  因為我和我的敬拜隊一起在這裡領唱
[00:00:10.200 --> 00:00:12.200]  我幫忙彈結他
[00:00:12.200 --> 00:00:17.920]  我不知道大家對開北區堂有什麼期望
[00:00:17.920 --> 00:00:21.520]  或者在座開始北區堂的時候
[00:00:21.520 --> 00:00:23.520]  你有什麼要預備的呢?
[00:00:23.520 --> 00:00:27.920]  小弟在90年就在慈雲山開始募會
[00:00:27.920 --> 00:00:29.920]  在募會的時候
[00:00:29.920 --> 00:00:32.920]  剛剛在90年代整個慈雲山拆了
[00:00:32.920 --> 00:00:34.120]  重建了
[00:00:34.120 --> 00:00:37.120]  因為我們教會有些自修室的緣故
[00:00:37.120 --> 00:00:39.720]  失驚無神連續兩年
[00:00:39.720 --> 00:00:43.720]  91和92年政府給了兩個地方我們開分堂
[00:00:43.720 --> 00:00:48.520]  於是我們在91年開分堂的時候
[00:00:48.520 --> 00:00:49.520]  怎麼開呢?
[00:00:49.520 --> 00:00:52.120]  那時候人們怕不夠腳
[00:00:52.120 --> 00:00:54.120]  就說斬兩個團契下去
[00:00:54.120 --> 00:00:57.520]  無論你願不願意照樣開分堂
[00:00:57.520 --> 00:00:59.520]  那兩個團契
[00:00:59.520 --> 00:01:01.520]  你知道外面的教會團契
[00:01:01.520 --> 00:01:03.520]  小於恩福小組的
[00:01:03.520 --> 00:01:05.520]  你一組人家的團契是浪費的
[00:01:05.520 --> 00:01:07.520]  斬了兩個團契
[00:01:07.520 --> 00:01:09.920]  大約五六十人左右第一個分堂
[00:01:09.920 --> 00:01:12.920]  第二年政府又給了地我們
[00:01:12.920 --> 00:01:15.920]  那沒理由不要的
[00:01:15.920 --> 00:01:17.920]  我們開第二個分堂
[00:01:17.920 --> 00:01:19.920]  沒有人教會
[00:01:19.920 --> 00:01:21.920]  又加上90年代
[00:01:21.920 --> 00:01:23.920]  90年代很多移民潮
[00:01:24.320 --> 00:01:28.320]  於是我們最後派了七個人開分堂
[00:01:28.320 --> 00:01:33.320]  後來過了十年之後
[00:01:33.320 --> 00:01:36.320]  你猜哪間分堂做得好一點?
[00:01:36.320 --> 00:01:38.320]  七個
[00:01:38.320 --> 00:01:40.320]  七個,為什麼?
[00:01:40.320 --> 00:01:42.320]  為什麼?
[00:01:42.320 --> 00:01:48.320]  成功比例的機會大一點
[00:01:48.320 --> 00:01:50.320]  很多原因
[00:01:50.320 --> 00:01:52.320]  後來過了十年之後
[00:01:52.320 --> 00:01:54.320]  後來兩間教會
[00:01:54.320 --> 00:01:58.320]  發現七個人的分堂做得最好
[00:01:58.320 --> 00:02:00.320]  無論人數
[00:02:00.320 --> 00:02:02.320]  士氣、福興
[00:02:02.320 --> 00:02:04.320]  福音能力最好
[00:02:04.320 --> 00:02:07.320]  反而五六十人的分堂
[00:02:07.320 --> 00:02:09.320]  做了十年
[00:02:09.320 --> 00:02:11.320]  也只是一百人聚會
[00:02:11.320 --> 00:02:17.320]  反而七個人做得幾十倍成長
[00:02:17.320 --> 00:02:20.320]  後來我們發現有兩個原因
[00:02:20.320 --> 00:02:22.320]  第一個原因
[00:02:22.320 --> 00:02:24.320]  七個人的分堂
[00:02:24.320 --> 00:02:26.320]  每個人都不可以鬆懈
[00:02:26.320 --> 00:02:28.320]  要拼命去傳福音
[00:02:28.320 --> 00:02:30.320]  五六十人的分堂
[00:02:30.320 --> 00:02:32.320]  你做吧
[00:02:32.320 --> 00:02:35.320]  去的時候也被人強迫出去
[00:02:35.320 --> 00:02:39.320]  就像初埃及的閒雜人
[00:02:39.320 --> 00:02:44.320]  很多怨言、社博、古靈精怪
[00:02:44.320 --> 00:02:46.320]  什麼都做不到
[00:02:46.320 --> 00:02:48.320]  這是士氣的問題
[00:02:48.320 --> 00:02:49.320]  這是管理的原則
[00:02:49.320 --> 00:02:51.320]  第二個原則
[00:02:51.320 --> 00:02:54.320]  一間教會能不能發展
[00:02:54.320 --> 00:02:57.320]  不是你有什麼人才、人力
[00:02:57.320 --> 00:03:01.320]  是有沒有上帝在裡面工作
[00:03:01.320 --> 00:03:04.320]  如果這個群體沒有上帝在裡面工作
[00:03:04.320 --> 00:03:07.320]  你幾千人都是假的
[00:03:07.320 --> 00:03:10.320]  但要有上帝在裡面工作
[00:03:10.320 --> 00:03:14.320]  你幾個人就能夠成就大事
[00:03:14.320 --> 00:03:17.320]  故此我讓大家北區堂
[00:03:17.320 --> 00:03:19.320]  去預備開了分堂之先
[00:03:19.320 --> 00:03:21.320]  很想給大家一個挑戰
[00:03:21.320 --> 00:03:23.320]  今天在你的群體裡
[00:03:23.320 --> 00:03:27.320]  有沒有上帝在裡面工作
[00:03:27.320 --> 00:03:30.320]  還是有很多自我的智慧
[00:03:30.320 --> 00:03:32.320]  自己能力的彰顯
[00:03:32.320 --> 00:03:33.320]  show off
[00:03:33.320 --> 00:03:35.320]  如果是這樣的時候
[00:03:35.320 --> 00:03:37.320]  你還沒預備好的時候
[00:03:37.320 --> 00:03:40.320]  你很難向前走一步
[00:03:40.320 --> 00:03:41.320]  因為這個緣故
[00:03:41.320 --> 00:03:43.320]  很想分享一段經文
[00:03:43.320 --> 00:03:45.320]  就是亞各書的第三章
[00:03:45.320 --> 00:03:48.320]  第十三節到四章三節
[00:03:48.320 --> 00:03:49.320]  我給的題目是
[00:03:49.320 --> 00:03:51.320]  真正智慧險溫柔
[00:03:51.320 --> 00:03:54.320]  屬地智慧野憤真
[00:03:54.320 --> 00:03:56.320]  是給我們一個挑戰
[00:03:56.320 --> 00:03:58.320]  監察、監視一下
[00:03:58.320 --> 00:04:02.320]  到底我們這群人裡的底蘊
[00:04:02.320 --> 00:04:04.320]  我們是有神的智慧
[00:04:04.320 --> 00:04:06.320]  還是人的血氣之勇呢?
[00:04:06.320 --> 00:04:08.320]  我們一起進入經文之前
[00:04:08.320 --> 00:04:10.320]  有這個預備
[00:04:10.320 --> 00:04:11.320]  我們一起討個好
[00:04:12.320 --> 00:04:15.320]  滿有慈愛、滿有能力
[00:04:15.320 --> 00:04:18.320]  滿有恩典、滿有智慧的上帝
[00:04:18.320 --> 00:04:20.320]  當世人在你面前
[00:04:20.320 --> 00:04:23.320]  我們願意去投入天國事工的時候
[00:04:23.320 --> 00:04:26.320]  我們問的不是我們有什麼能力
[00:04:26.320 --> 00:04:28.320]  我們有什麼才剛
[00:04:28.320 --> 00:04:29.320]  我們先問的
[00:04:29.320 --> 00:04:33.320]  我們有沒有空間讓上帝工作
[00:04:33.320 --> 00:04:34.320]  主耶穌說求你
[00:04:34.320 --> 00:04:36.320]  給我們有屬天的智慧力量
[00:04:36.320 --> 00:04:39.320]  和這個屬靈的眼光
[00:04:39.320 --> 00:04:40.320]  看上帝的事
[00:04:40.320 --> 00:04:43.320]  願意我們在你面前謙卑下來
[00:04:43.320 --> 00:04:44.320]  放下自己
[00:04:44.320 --> 00:04:46.320]  被神修剪
[00:04:46.320 --> 00:04:48.320]  如果當中有人的意思
[00:04:48.320 --> 00:04:49.320]  人的血氣
[00:04:49.320 --> 00:04:52.320]  人的種種的計謀
[00:04:52.320 --> 00:04:53.320]  我們願意放下
