
[00:00:00.000 --> 00:00:03.000]  (記者) 各位早安
[00:00:03.000 --> 00:00:07.000]  歡迎大家來到第四子堂崇拜
[00:00:07.000 --> 00:00:10.000]  很感恩我們每一次…
[00:00:10.000 --> 00:00:13.000]  我不知道大家在這裡崇拜的時候
[00:00:13.000 --> 00:00:18.000]  跟你們在其他崇拜有甚麼感受、有甚麼不同
[00:00:18.000 --> 00:00:21.000]  我覺得每一次在敬拜隊的帶領下
[00:00:21.000 --> 00:00:27.000]  他們都是帶一些很有使命和有獻心的心智的詩歌
[00:00:27.000 --> 00:00:30.000]  剛才那首詩歌也是很好的詩歌
[00:00:30.000 --> 00:00:36.000]  讓我們再一次將自己的生命放在神的手裡
[00:00:36.000 --> 00:00:38.000]  讓祂去帶領和使用
[00:00:38.000 --> 00:00:40.000]  我們一會兒聽到之前
[00:00:40.000 --> 00:00:42.000]  我們一起有一個禱告
[00:00:42.000 --> 00:00:44.000]  我們跟心祈禱
[00:00:44.000 --> 00:00:49.000]  天父我們願意將我們的心獻情給你
[00:00:49.000 --> 00:00:54.000]  這個相信是你最悅立的獻上
[00:00:54.000 --> 00:00:58.000]  因為我們原本是不配的
[00:00:58.000 --> 00:01:00.000]  但是你今天願意接納我們
[00:01:00.000 --> 00:01:06.000]  成為你所愛的兒女
[00:01:06.000 --> 00:01:09.000]  能夠在你的國度裡我們有份
[00:01:09.000 --> 00:01:10.000]  我們獻上感恩
[00:01:10.000 --> 00:01:12.000]  願你都藉著你的話
[00:01:12.000 --> 00:01:16.000]  再一次成為我們生命裡的提醒、光照我們
[00:01:16.000 --> 00:01:20.000]  以致我們生命裡更加去
[00:01:20.000 --> 00:01:25.000]  在你的指引裡貼近你的心儀
[00:01:25.000 --> 00:01:27.000]  帶領我們以下的時間
[00:01:27.000 --> 00:01:28.000]  我們同心禱告
[00:01:28.000 --> 00:01:31.000]  奉靠耶穌基督得聖名自祈求
[00:01:31.000 --> 00:01:32.000]  阿們
[00:01:32.000 --> 00:01:39.000]  我想大家都有收禮物或是送禮物的經驗
[00:01:39.000 --> 00:01:41.000]  都有吧
[00:01:41.000 --> 00:01:48.000]  一定有收到一些你未必合心意的禮物
[00:01:48.000 --> 00:01:52.000]  亦都會收到一些你喜出望外的禮物
[00:01:52.000 --> 00:01:54.000]  是否也試過
[00:01:54.000 --> 00:01:56.000]  我自己有一次收禮物的經驗
[00:01:56.000 --> 00:01:58.000]  也挺搞笑的
[00:01:58.000 --> 00:02:02.000]  我自己很少買名牌的東西
[00:02:02.000 --> 00:02:04.000]  很貴的名牌
[00:02:04.000 --> 00:02:05.000]  很少買這些
[00:02:05.000 --> 00:02:08.000]  但有一次我收到一個不是很熟悉的朋友
[00:02:08.000 --> 00:02:14.000]  送了一個很名貴的名牌子的領帶給我
[00:02:14.000 --> 00:02:15.000]  我當時覺得
[00:02:15.000 --> 00:02:18.000]  我和你不太熟悉
[00:02:18.000 --> 00:02:20.000]  但你送這麼名貴的東西
[00:02:20.000 --> 00:02:22.000]  我當時就喜出望外
[00:02:22.000 --> 00:02:24.000]  反應也是喜出望外
[00:02:24.000 --> 00:02:26.000]  我是何等的不配
[00:02:26.000 --> 00:02:29.000]  你竟然送這麼貴重的禮物給我
[00:02:29.000 --> 00:02:36.000]  後來我知道其實那個不是真貨
[00:02:36.000 --> 00:02:39.000]  我的喜出望外也有點過份
[00:02:39.000 --> 00:02:41.000]  令他覺得
[00:02:41.000 --> 00:02:44.000]  其實那個是A貨
[00:02:44.000 --> 00:02:45.000]  不是真的
[00:02:45.000 --> 00:02:47.000]  所以我才送給你
[00:02:47.000 --> 00:02:49.000]  事後知道
[00:02:49.000 --> 00:02:50.000]  對不起
[00:02:50.000 --> 00:02:52.000]  我給錯了反應
[00:02:52.000 --> 00:02:54.000]  接收禮物的經驗
[00:02:54.000 --> 00:02:55.000]  我到現在也記得
[00:02:55.000 --> 00:02:58.000]  是很深刻的收禮物的經驗
[00:02:58.000 --> 00:03:03.000]  我自問不是一個送禮物很有恩賜的人
[00:03:03.000 --> 00:03:08.000]  但二妹牧師在這方面很有恩賜
[00:03:08.000 --> 00:03:10.000]  她很懂得送禮物
[00:03:10.000 --> 00:03:14.000]  送一些人家收到的時候
[00:03:14.000 --> 00:03:16.000]  很合心意的禮物
[00:03:16.000 --> 00:03:19.000]  這是她的恩賜
[00:03:19.000 --> 00:03:27.000]  不知道大家有沒有看過一本書
[00:03:27.000 --> 00:03:29.000]  先看看
[00:03:29.000 --> 00:03:36.000]  不知道大家有沒有看過一本書
[00:03:36.000 --> 00:03:40.000]  叫做愛之與永久相愛的秘訣
[00:03:40.000 --> 00:03:43.000]  作者是Gary Chapman
[00:03:43.000 --> 00:03:48.000]  作者在書中提到
[00:03:48.000 --> 00:03:51.000]  在一個關係中
[00:03:51.000 --> 00:03:54.000]  每個人如何表達愛和接收愛
[00:03:54.000 --> 00:03:56.000]  其實也會有不同
[00:03:56.000 --> 00:04:00.000]  當兩個人走在一起的時候
[00:04:00.000 --> 00:04:03.000]  因為大家對愛的表達和接收不同
[00:04:03.000 --> 00:04:07.000]  很容易導致雙方在關係中
[00:04:07.000 --> 00:04:09.000]  當表達愛的時候
[00:04:09.000 --> 00:04:12.000]  也會有落差
[00:04:12.000 --> 00:04:14.000]  或者是接收愛的時候
[00:04:14.000 --> 00:04:19.000]  當他不是接收到一種合心意的語言
[00:04:19.000 --> 00:04:21.000]  就會有落差
