
[00:00:00.000 --> 00:00:04.320]  今年是教會五年計劃裏面的主題
[00:00:04.320 --> 00:00:07.360]  我們可以出一出PowerPoint
[00:00:07.360 --> 00:00:09.400]  五年計劃的主題就是
[00:00:09.400 --> 00:00:15.680]  「值真理轉化生命,用行動回應時代,以見證承傳福音」
[00:00:15.680 --> 00:00:20.320]  而今年的年題是「因此運用,回應時代」
[00:00:20.320 --> 00:00:24.080]  我們繼續用已不鎖書去分享今年的年題
[00:00:24.080 --> 00:00:28.480]  在開始的時候想跟大家玩一個小遊戲
[00:00:29.480 --> 00:00:33.480]  我們可以看看畫面
[00:00:33.480 --> 00:00:37.480]  大家知不知道這個裝置是甚麼來的?
[00:00:37.480 --> 00:00:39.480]  是芭比塔
[00:00:39.480 --> 00:00:42.480]  還有沒有人知道是甚麼來的?
[00:00:42.480 --> 00:00:48.480]  是一個藝術裝置
[00:00:48.480 --> 00:00:54.480]  是關於已不鎖書合一的藝術裝置
[00:00:54.480 --> 00:00:58.480]  是由我們一位同幹親自製作的
[00:00:58.480 --> 00:01:01.480]  大家知不知道他放在哪裏?
[00:01:01.480 --> 00:01:04.480]  是呀,大家經過都看到,在樓下
[00:01:04.480 --> 00:01:06.480]  想考一下大家的觀察力
[00:01:06.480 --> 00:01:10.480]  兩幅圖有甚麼不同呢?
[00:01:10.480 --> 00:01:15.480]  很快的,看到一個笑哈哈,還有沒有?
[00:01:15.480 --> 00:01:16.480]  還有耶穌
[00:01:16.480 --> 00:01:19.480]  有三樣不同的,笑哈哈、耶穌
[00:01:19.480 --> 00:01:23.480]  還有一樣難一點的,有沒有人看到?
[00:01:24.480 --> 00:01:29.480]  在這盞燈,很厲害,有人看到
[00:01:29.480 --> 00:01:33.480]  就是在上面的盞燈,我們可以出答案了
[00:01:33.480 --> 00:01:38.480]  上面一盞燈沒有了,中間加了笑哈哈
[00:01:38.480 --> 00:01:41.480]  下面還有耶穌
[00:01:41.480 --> 00:01:44.480]  大家的觀察力真的很厲害
[00:01:44.480 --> 00:01:48.480]  我們找不同的可能都是我們的強項
[00:01:48.480 --> 00:01:51.480]  人與人之間都有很多不同的地方
[00:01:51.480 --> 00:01:56.480]  有語言、文化的不同、習慣、性格的不同
[00:01:56.480 --> 00:02:01.480]  其實都有時造成很多阻隔和甚至紛爭
[00:02:01.480 --> 00:02:05.480]  在社會關懷、服事裏面、社關
[00:02:05.480 --> 00:02:07.480]  我們都遇到類似的困難
[00:02:07.480 --> 00:02:12.480]  可能有些弟兄姊妹見到我們跟基層很多不同
[00:02:12.480 --> 00:02:16.480]  我們就要想,怎樣可以幫他們去
[00:02:16.480 --> 00:02:21.480]  幫我們服事的基層去融入教會呢?
[00:02:21.480 --> 00:02:24.480]  很多年前我們領受了神的意象
[00:02:24.480 --> 00:02:27.480]  就是在社區裏面作燈台
[00:02:27.480 --> 00:02:31.480]  特別是恩福堂在深水埗這個社區裏面
[00:02:31.480 --> 00:02:33.480]  於是我們很感恩
[00:02:33.480 --> 00:02:36.480]  我們有家居維修的深度幸福士
[00:02:36.480 --> 00:02:41.480]  有跟小朋友補習的開心課室
