
[00:00:00.000 --> 00:00:03.120]  當我們能夠實體來到神的家中敬拜
[00:00:03.120 --> 00:00:06.440]  我想不單只是我們一種現場感
[00:00:06.440 --> 00:00:08.800]  而是我們體會到一種同心合意
[00:00:08.800 --> 00:00:11.560]  去到神的殿當中去仰望上帝
[00:00:11.560 --> 00:00:13.120]  今天科技很方便
[00:00:13.120 --> 00:00:14.360]  可以在家中崇拜
[00:00:14.360 --> 00:00:16.240]  但每次我家崇拜的時候
[00:00:16.240 --> 00:00:17.600]  都不敢大聲唱
[00:00:17.600 --> 00:00:18.800]  怕吵到隔壁
[00:00:18.800 --> 00:00:20.280]  但在教會裏面
[00:00:20.280 --> 00:00:22.280]  你大聲也有人投訴你
[00:00:22.280 --> 00:00:24.400]  在今天的崇拜之先
[00:00:24.400 --> 00:00:25.200]  講道之先
[00:00:25.200 --> 00:00:27.080]  我很想歡迎新朋友
[00:00:27.080 --> 00:00:28.040]  有沒有哪一個
[00:00:28.040 --> 00:00:30.480]  今天第一次來到恩福堂聚會的
[00:00:30.480 --> 00:00:31.600]  請你舉手
[00:00:31.600 --> 00:00:33.040]  我們歡迎你
[00:00:33.040 --> 00:00:34.520]  那邊見到一位姊妹
[00:00:34.520 --> 00:00:35.920]  我們歡迎你
[00:00:35.920 --> 00:00:38.280]  施事人員可以給一份
[00:00:38.280 --> 00:00:39.480]  那邊後面
[00:00:39.480 --> 00:00:40.360]  繼續舉手
[00:00:40.360 --> 00:00:41.360]  前面一個後面一個
[00:00:41.360 --> 00:00:42.160]  對了
[00:00:42.160 --> 00:00:43.000]  還有沒有
[00:00:43.000 --> 00:00:43.840]  還有誰
[00:00:43.840 --> 00:00:46.080]  那邊那邊大兄
[00:00:46.080 --> 00:00:47.400]  施事人員麻煩你
[00:00:47.400 --> 00:00:48.040]  那邊那邊
[00:00:48.040 --> 00:00:49.400]  繼續舉手給
[00:00:49.400 --> 00:00:50.520]  看到嗎
[00:00:50.520 --> 00:00:51.920]  還有沒有
[00:00:51.920 --> 00:00:53.120]  是的
[00:00:53.120 --> 00:00:55.360]  這份來賓留名表
[00:00:55.360 --> 00:00:58.120]  裏面的禮物有來賓留名表
[00:00:58.120 --> 00:00:59.760]  歡迎你填寫
[00:00:59.760 --> 00:01:01.040]  交給我們的施事人員
[00:01:01.040 --> 00:01:02.480]  和散會之後
[00:01:02.480 --> 00:01:04.240]  在一樓有接待處
[00:01:04.240 --> 00:01:05.360]  好介紹我們教會
[00:01:05.360 --> 00:01:07.960]  再讓你認識和參與
[00:01:07.960 --> 00:01:10.240]  願意我們在這個教會
[00:01:10.240 --> 00:01:12.200]  不是hit and run
[00:01:12.200 --> 00:01:13.240]  碰一碰就走
[00:01:13.240 --> 00:01:15.720]  而是我們建立有根有機
[00:01:15.720 --> 00:01:17.600]  基督徒生活的一個
[00:01:17.600 --> 00:01:19.600]  屬靈群體的土壤
[00:01:19.600 --> 00:01:20.600]  好
[00:01:20.600 --> 00:01:22.520]  每月的第四週
[00:01:22.520 --> 00:01:26.000]  就是教會主題式講道
[00:01:26.000 --> 00:01:28.000]  就是以西傑書的系列
[00:01:28.000 --> 00:01:29.920]  上個星期黎家喬來到
[00:01:29.920 --> 00:01:31.520]  黎家喬去到哪裡都講以西傑
[00:01:31.520 --> 00:01:32.400]  不用擔心
[00:01:32.400 --> 00:01:34.520]  所以我們今天
[00:01:34.520 --> 00:01:36.440]  都繼續跟著教會的次序
[00:01:36.440 --> 00:01:38.680]  各堂都講以西傑
[00:01:38.680 --> 00:01:40.400]  但這次講的經文
[00:01:40.400 --> 00:01:41.720]  比較吵架
[00:01:41.720 --> 00:01:43.520]  是26到28章
[00:01:43.520 --> 00:01:45.880]  3章我想讀完都散會
[00:01:45.880 --> 00:01:48.200]  所以今天我就會簡說
[00:01:48.200 --> 00:01:49.720]  這3章最重要
[00:01:49.720 --> 00:01:52.560]  或者最精華的訊息
[00:01:52.560 --> 00:01:54.280]  去跟大家分享
[00:01:54.280 --> 00:01:56.280]  今天我給大家的題目是
