
[00:00:00.000 --> 00:00:02.760]  今天是第四主日
[00:00:02.760 --> 00:00:05.440]  我們教會的主題講道
[00:00:05.440 --> 00:00:11.080]  我們去到《雅各書》的第三章十三節到四章三節
[00:00:11.080 --> 00:00:13.000]  我給個題目
[00:00:13.000 --> 00:00:17.920]  「真正智慧險溫柔,屬地智慧惹紛爭」
[00:00:17.920 --> 00:00:20.040]  不知道是否押韻,不要理會
[00:00:20.040 --> 00:00:21.760]  最重要的是
[00:00:21.760 --> 00:00:24.720]  我們希望神的話語成為我們的幫助
[00:00:24.720 --> 00:00:27.320]  我們一起讀讀這段經文好嗎?
[00:00:27.320 --> 00:00:33.360]  首先我們請姐妹從十三到第十五節
[00:00:33.360 --> 00:00:36.160]  弟兄讀第二版,一起讀第三版好嗎?
[00:00:36.160 --> 00:00:38.400]  我們請姐妹先預備起
[00:00:38.400 --> 00:00:43.200]  你們中間誰有有智慧有見識的呢?
[00:00:43.200 --> 00:00:46.360]  他就當在智慧的溫柔上
[00:00:46.360 --> 00:00:48.560]  顯出他的善行來
[00:00:48.560 --> 00:00:53.320]  你們心裡若懷著苦毒的疾度和紛爭
[00:00:53.320 --> 00:00:58.640]  就不可自誇,也不可說謊話抵擋真理
[00:00:58.640 --> 00:01:02.400]  這樣的智慧不是從上頭來的
[00:01:02.400 --> 00:01:07.040]  乃是屬地的,屬情慾的,屬唯我的
[00:01:07.040 --> 00:01:09.040]  好,我們弟兄預備起
[00:01:09.040 --> 00:01:12.120]  在何處有疾度紛爭
[00:01:12.120 --> 00:01:16.400]  就在何處有擾亂和各樣的壞事
[00:01:16.400 --> 00:01:19.240]  唯獨從上頭來的智慧
[00:01:19.240 --> 00:01:22.240]  先是清潔,後是和平
[00:01:22.240 --> 00:01:26.840]  溫涼柔順,滿有憐憫,多潔善果
[00:01:26.840 --> 00:01:29.800]  沒有偏見,沒有假冒
[00:01:29.800 --> 00:01:32.120]  並且使人和平的
[00:01:32.120 --> 00:01:35.280]  是用和平所栽種的異果
[00:01:35.280 --> 00:01:36.560]  我們一起讀吧
[00:01:36.560 --> 00:01:41.560]  你們中間的真戰鬥毆是從哪裡來的呢?
[00:01:41.560 --> 00:01:46.360]  不是從你們百姓中施走的私慾來的嗎?
[00:01:46.360 --> 00:01:49.400]  你們貪戀還是得不著
[00:01:49.400 --> 00:01:54.720]  你們殺害嫉妒又走偶爭戰也不能得
[00:01:54.720 --> 00:01:58.280]  你們得不著是因為你們不求
[00:01:58.280 --> 00:02:00.440]  你們求也得不著
[00:02:00.440 --> 00:02:02.600]  是因為你們妄求
[00:02:02.600 --> 00:02:05.880]  要浪費在你們的言諾中
[00:02:05.880 --> 00:02:08.080]  好,我們先低頭禱告吧
[00:02:08.080 --> 00:02:12.280]  滿有恩典,滿有慈愛的天父
[00:02:12.280 --> 00:02:14.600]  我們知道一切的美善
[00:02:14.600 --> 00:02:17.480]  一切的善良是從你而來
[00:02:17.480 --> 00:02:18.720]  但很可惜
[00:02:18.720 --> 00:02:21.960]  我們人世間隨著自己的慾望
[00:02:21.960 --> 00:02:24.080]  隨著自己的沒有安全感
[00:02:24.080 --> 00:02:26.200]  隨著自己的恐懼
[00:02:26.200 --> 00:02:29.000]  我們將上帝的美善抹去
[00:02:29.000 --> 00:02:31.520]  以致我們活在苦惱、困難
[00:02:31.520 --> 00:02:33.800]  甚至苦獨當中
[00:02:33.800 --> 00:02:36.240]  上帝求你拯救我們
[00:02:36.240 --> 00:02:38.520]  脫離這些種種的困擾
[00:02:38.520 --> 00:02:42.600]  讓神的話語成為我們今天的幫助
[00:02:42.600 --> 00:02:46.320]  我們的禱告奉耶穌明求,阿門
[00:02:46.320 --> 00:02:49.840]  我不知道在座的弟兄姊妹
[00:02:49.840 --> 00:02:51.440]  懂不懂得分出一件事
[00:02:51.440 --> 00:02:55.320]  什麼叫智慧?什麼叫知識?
[00:02:55.320 --> 00:02:57.320]  什麼叫智慧?什麼叫知識?
[00:02:57.320 --> 00:03:03.120]  知識到處都是
[00:03:03.120 --> 00:03:04.800]  我發現很有趣的
[00:03:04.800 --> 00:03:06.280]  你現在什麼都不懂
[00:03:06.280 --> 00:03:07.160]  你是怎樣的?
[00:03:07.160 --> 00:03:08.600]  上網吧
[00:03:08.600 --> 00:03:10.480]  現在沒有人看菜單
[00:03:10.480 --> 00:03:11.920]  電腦壞了嗎?
[00:03:11.920 --> 00:03:12.920]  看YouTube吧
[00:03:12.920 --> 00:03:15.600]  男牙不育,用不到
[00:03:15.600 --> 00:03:18.320]  看YouTube就有答案
[00:03:18.320 --> 00:03:20.360]  我學剪片的時候
[00:03:20.360 --> 00:03:22.720]  不看菜單,看YouTube
[00:03:22.720 --> 00:03:26.280]  我兒子在社區中心教人做蛋糕
[00:03:26.280 --> 00:03:27.280]  他沒有做過
