
[00:00:00.000 --> 00:00:04.320]  亦預備我們用一個學無主同在的心
[00:00:04.320 --> 00:00:07.320]  進入去聆聽主的話語
[00:00:07.320 --> 00:00:11.320]  一開始的時候先問大家一個問題
[00:00:11.320 --> 00:00:15.820]  想起串王 你會想起誰呢?
[00:00:15.820 --> 00:00:17.820]  不要指你旁邊那個
[00:00:17.820 --> 00:00:22.320]  我想大家想一下一些公眾人物
[00:00:22.320 --> 00:00:25.820]  有什麼會被人說是串王的人
[00:00:25.820 --> 00:00:27.820]  有沒有想起的呢?
[00:00:28.640 --> 00:00:30.140]  (師節)
[00:00:30.140 --> 00:00:32.140]  哦 你師節
[00:00:32.140 --> 00:00:34.140]  有人說了一個
[00:00:34.140 --> 00:00:36.140]  我應該不應該翻譯出來
[00:00:36.140 --> 00:00:38.140]  我只聽到就好了
[00:00:38.140 --> 00:00:40.140]  哈哈
[00:00:40.140 --> 00:00:42.140]  好啦
[00:00:42.140 --> 00:00:46.140]  我想起的是一位球星
[00:00:46.140 --> 00:00:48.140]  叫做伊巴謙莫域
[00:00:48.140 --> 00:00:51.140]  有沒有人認識他?
[00:00:51.140 --> 00:00:53.140]  認識他的請舉手
[00:00:53.140 --> 00:00:55.140]  應該很多人認識
[00:00:55.140 --> 00:00:59.140]  我舉幾個金句給大家聽聽
[00:00:59.140 --> 00:01:02.140]  他說我為自己的完美忍不住笑
[00:01:02.140 --> 00:01:04.140]  哈哈
[00:01:04.140 --> 00:01:07.140]  果然大家忍不住笑
[00:01:07.140 --> 00:01:12.140]  有一屆當瑞典被葡萄牙
[00:01:12.140 --> 00:01:17.140]  在世界盃外圍的附加賽踢出局
[00:01:17.140 --> 00:01:19.140]  不能進入決賽週
[00:01:19.140 --> 00:01:22.140]  但伊巴仍然很霸氣地說
[00:01:22.140 --> 00:01:26.140]  沒有我的世界盃根本不值得看
[00:01:26.140 --> 00:01:30.140]  有一個挪威的國腳卡維
[00:01:30.140 --> 00:01:32.140]  曾經批評伊巴
[00:01:32.140 --> 00:01:34.140]  說他經常賣弄一些腳法
[00:01:34.140 --> 00:01:36.140]  但伊巴反客為主
[00:01:36.140 --> 00:01:38.140]  反過來說
[00:01:38.140 --> 00:01:41.140]  這個卡維用足球可以做到的技術
[00:01:41.140 --> 00:01:44.140]  我用一隻橙就可以做到
[00:01:44.140 --> 00:01:46.140]  有人問他
[00:01:46.140 --> 00:01:50.140]  你會送什麼生日禮物給老婆最適合?
[00:01:50.140 --> 00:01:52.140]  伊巴說沒有
[00:01:52.140 --> 00:01:54.140]  因為她已經有我了
[00:01:54.140 --> 00:01:57.140]  不知道大家聽到這些
[00:01:57.140 --> 00:02:03.140]  這麼自誇的說話有什麼感覺呢?
[00:02:03.140 --> 00:02:06.140]  今天的道是展現上帝國道
[00:02:06.140 --> 00:02:08.140]  活出吸引眼球的生命系列
[00:02:08.140 --> 00:02:09.140]  題目是
[00:02:09.140 --> 00:02:10.140]  人的軟弱
[00:02:10.140 --> 00:02:14.140]  活顯出主的完全
[00:02:14.140 --> 00:02:15.140]  我選的聖經人物
[00:02:15.140 --> 00:02:18.140]  其實和底力穆斯第一次選的相同
[00:02:18.140 --> 00:02:20.140]  都是保羅
[00:02:20.140 --> 00:02:22.140]  我們剛好都選保羅
[00:02:22.140 --> 00:02:24.140]  證明保羅的生命
[00:02:24.140 --> 00:02:26.140]  是很豐富的
[00:02:26.140 --> 00:02:27.140]  活出了福音
[00:02:27.140 --> 00:02:29.140]  活出了吸引眼球的生命
[00:02:29.140 --> 00:02:30.140]  今天的經文是
[00:02:30.140 --> 00:02:33.140]  哥林多後書12章1至10節
[00:02:33.140 --> 00:02:35.140]  在這段經文裡
[00:02:35.140 --> 00:02:38.140]  我們看到保羅竟然在自誇
[00:02:38.140 --> 00:02:40.140]  我們一起來看看
[00:02:40.140 --> 00:02:42.140]  保羅為什麼會這樣做
[00:02:42.140 --> 00:02:44.140]  還有我們在經文裡
[00:02:44.140 --> 00:02:47.140]  有什麼學習和提醒
[00:02:47.140 --> 00:02:48.140]  我們先一起來讀
[00:02:48.140 --> 00:02:52.140]  哥林多後書12章1至6節
[00:02:52.140 --> 00:02:53.140]  好 我們一起來讀
[00:02:53.140 --> 00:02:55.140]  雖然自誇無益
[00:02:55.140 --> 00:02:57.140]  我還是不得不誇
[00:02:57.140 --> 00:03:01.140]  我現在要提到主的意象和啟示
[00:03:01.140 --> 00:03:03.140]  (法文)
