
[00:00:00.000 --> 00:00:04.920]  剛才敬拜的影片也讓我很感動
[00:00:04.920 --> 00:00:09.320]  特別是上帝是一個活水的存源
[00:00:09.320 --> 00:00:11.000]  乾渴的生命
[00:00:11.000 --> 00:00:13.000]  你可以回到神那裡
[00:00:13.000 --> 00:00:15.680]  你就能夠解渴
[00:00:15.680 --> 00:00:19.320]  但我們很少做這些
[00:00:19.320 --> 00:00:24.440]  我們很流行用自己的能力去找解渴的方法
[00:00:24.440 --> 00:00:27.920]  鼓勵大家有什麼都希望找回上帝
[00:00:27.920 --> 00:00:30.240]  你又看看你身旁的人的樣子
[00:00:30.240 --> 00:00:32.240]  你覺得他渴不渴?
[00:00:32.240 --> 00:00:34.240]  他乾不乾?
[00:00:34.240 --> 00:00:36.240]  如果他渴、他乾
[00:00:36.240 --> 00:00:38.240]  你跟他說:回到上帝那裡
[00:00:38.240 --> 00:00:45.760]  今天提到的題目叫「困境無難度」
[00:00:45.760 --> 00:00:47.360]  題目有點小
[00:00:47.360 --> 00:00:49.360]  我也想改一下,但想不到
[00:00:49.360 --> 00:00:54.160]  我相信對於香港或全世界
[00:00:54.160 --> 00:00:56.160]  這幾年最大的困境
[00:00:56.160 --> 00:00:58.160]  一定是疫情
[00:00:58.160 --> 00:01:02.160]  Covid,這幾年很不容易過
[00:01:02.160 --> 00:01:08.160]  在疫情中,最常見的是我們要戴口罩
[00:01:08.160 --> 00:01:10.160]  口罩離不開我們的生活
[00:01:10.160 --> 00:01:13.160]  戴著口罩很悶,很辛苦
[00:01:13.160 --> 00:01:15.160]  甚至看不到大家的真面目
[00:01:15.160 --> 00:01:17.160]  有些樣子我也認不出
[00:01:17.160 --> 00:01:19.160]  因為我見你的時候是這樣的
[00:01:19.160 --> 00:01:21.160]  突然間脫下口罩
[00:01:21.160 --> 00:01:23.160]  我也要想一下,是不是我認識的呢?
[00:01:23.160 --> 00:01:25.160]  還是怎樣的呢?
[00:01:25.160 --> 00:01:27.160]  有時戴口罩除了很悶
[00:01:27.160 --> 00:01:30.160]  也令真面目出現
[00:01:30.160 --> 00:01:33.160]  令人與人之間有些距離
[00:01:33.160 --> 00:01:35.160]  好像變得遠了
[00:01:35.160 --> 00:01:39.160]  我在網上看到一個帖文
[00:01:39.160 --> 00:01:42.160]  有一個設計師設計了一個這樣的口罩
[00:01:42.160 --> 00:01:44.160]  不知道大家能否看到
[00:01:44.160 --> 00:01:47.160]  這是一款拉麵口罩
[00:01:47.160 --> 00:01:49.160]  這是日本的設計師
[00:01:49.160 --> 00:01:52.160]  他說這款拉麵口罩
[00:01:52.160 --> 00:01:56.160]  看上去的布料挺厚
[00:01:56.160 --> 00:01:58.160]  夏天戴著的時候
[00:01:58.160 --> 00:02:01.160]  絕對有一種熱辣辣的感覺
[00:02:01.160 --> 00:02:04.160]  他說如果是戴眼鏡的人士
[00:02:04.160 --> 00:02:07.160]  鏡片一定會很容易起霧
[00:02:07.160 --> 00:02:09.160]  他說起霧就對了
[00:02:09.160 --> 00:02:12.160]  因為當鏡片起越多的霧
[00:02:12.160 --> 00:02:14.160]  在朦朧之中
[00:02:14.160 --> 00:02:19.160]  你就感覺眼前有一碗熱辣辣的拉麵一樣
[00:02:19.160 --> 00:02:22.160]  我覺得他挺有創意的
[00:02:22.160 --> 00:02:26.160]  在疫情中有很多挑戰和困難
[00:02:26.160 --> 00:02:28.160]  但這位日本設計師
[00:02:28.160 --> 00:02:32.160]  卻可以用一個正面和幽默的方式
[00:02:32.160 --> 00:02:35.160]  去對待這件事
