
[00:00:00.000 --> 00:00:05.000]  謝謝敬拜隊帶領我們去敬拜
[00:00:05.000 --> 00:00:11.000]  昨天我們高中和大專去了BBQ
[00:00:11.000 --> 00:00:13.000]  同工連續兩天都BBQ
[00:00:13.000 --> 00:00:15.000]  但我覺得很特別的是
[00:00:15.000 --> 00:00:17.000]  昨天我們有戶外崇拜
[00:00:17.000 --> 00:00:20.000]  我們在BBQ場去敬拜
[00:00:20.000 --> 00:00:22.000]  敬拜隊選了三首歌
[00:00:22.000 --> 00:00:27.000]  讓我們體會到大自然去敬拜是一件什麼事
[00:00:27.000 --> 00:00:28.000]  突然節目都鼓勵你來
[00:00:28.000 --> 00:00:30.000]  今天我們會出去
[00:00:30.000 --> 00:00:33.000]  可能你會清楚地看到溪水旁
[00:00:33.000 --> 00:00:39.000]  但有時當我們可以一齊親親大自然
[00:00:39.000 --> 00:00:42.000]  其實我們可以看見神的創造有多美好
[00:00:42.000 --> 00:00:44.000]  所以鼓勵大家
[00:00:44.000 --> 00:00:47.000]  有時我們生活很忙很匆忙
[00:00:47.000 --> 00:00:51.000]  但我們有機會停下來去欣賞下
[00:00:51.000 --> 00:00:53.000]  原來神的創造是多棒
[00:00:53.000 --> 00:00:55.000]  其實都是一件好事
[00:00:55.000 --> 00:00:58.000]  今天正值BBQ
[00:00:58.000 --> 00:01:00.000]  我又選了一個題目
[00:01:00.000 --> 00:01:02.000]  點子圍爐這麼簡單
[00:01:02.000 --> 00:01:04.000]  我想大家想一想
[00:01:04.000 --> 00:01:06.000]  當你想起BBQ的時候
[00:01:06.000 --> 00:01:09.000]  你第一個印象會想起什麼
[00:01:09.000 --> 00:01:13.000]  可能很多食物
[00:01:13.000 --> 00:01:14.000]  我會想起什麼呢
[00:01:14.000 --> 00:01:17.000]  可能導師和我有些共鳴
[00:01:17.000 --> 00:01:18.000]  我會想起什麼呢
[00:01:18.000 --> 00:01:22.000]  我會想起大台的電視劇集
[00:01:22.000 --> 00:01:24.000]  通常大結局
[00:01:24.000 --> 00:01:26.000]  十個有九個或十一個
[00:01:26.000 --> 00:01:29.000]  都是BBQ來做結尾
[00:01:29.000 --> 00:01:31.000]  好像很老套的劇情
[00:01:31.000 --> 00:01:33.000]  不過經常都有一個結尾
[00:01:33.000 --> 00:01:37.000]  就是一班主角配角幾經波折下
[00:01:37.000 --> 00:01:40.000]  最後一班人很圍爐很有愛
[00:01:40.000 --> 00:01:41.000]  很棒
[00:01:41.000 --> 00:01:44.000]  就這樣有個大團圓的結局
[00:01:44.000 --> 00:01:47.000]  所以BBQ給人一個感覺是
[00:01:47.000 --> 00:01:50.000]  一班人很和諧
[00:01:50.000 --> 00:01:52.000]  很有連結
[00:01:52.000 --> 00:01:54.000]  很棒
[00:01:54.000 --> 00:01:57.000]  青少部由上年開始
[00:01:57.000 --> 00:02:00.000]  就有BBQ和大旅行
[00:02:00.000 --> 00:02:03.000]  我想都很想藉著一個機會
[00:02:03.000 --> 00:02:04.000]  給大家一個小組
[00:02:04.000 --> 00:02:06.000]  甚至整個初中團契
[00:02:06.000 --> 00:02:08.000]  都可以建立關係
[00:02:08.000 --> 00:02:11.000]  一起開心和友好
[00:02:11.000 --> 00:02:13.000]  不過我又會問
[00:02:13.000 --> 00:02:16.000]  要說團契或小組的關係好
[00:02:16.000 --> 00:02:17.000]  要合一
[00:02:17.000 --> 00:02:19.000]  我會問的一個問題是
[00:02:19.000 --> 00:02:20.000]  今天的題目
[00:02:20.000 --> 00:02:22.000]  如何只圍爐這麼簡單呢
[00:02:22.000 --> 00:02:27.000]  如果一個BBQ就可以處理小組的問題
[00:02:27.000 --> 00:02:29.000]  大家可以很友好
[00:02:29.000 --> 00:02:30.000]  沒問題的話
[00:02:30.000 --> 00:02:31.000]  那就容易了
[00:02:31.000 --> 00:02:33.000]  我們每個星期都做BBQ
[00:02:33.000 --> 00:02:35.000]  雖然都應該會熱氣死的
[00:02:35.000 --> 00:02:37.000]  不過今天很想用一點時間
[00:02:37.000 --> 00:02:39.000]  和大家回到上帝的話語
[00:02:39.000 --> 00:02:41.000]  去看看一個群體
[00:02:41.000 --> 00:02:43.000]  對於我們作為嬌徒來說
[00:02:43.000 --> 00:02:45.000]  其實需要什麼呢
[00:02:45.000 --> 00:02:47.000]  要說關係和合一
[00:02:47.000 --> 00:02:49.000]  今天很想和大家分享幾個經文
[00:02:49.000 --> 00:02:52.000]  彼得前書的四章七至十一節
[00:02:52.000 --> 00:02:55.000]  很想邀請大家先讀這幾個經文
[00:02:55.000 --> 00:02:57.000]  準備起
[00:02:57.000 --> 00:03:02.000]  所以你們要謹慎自守
[00:03:02.000 --> 00:03:04.000]  謹醒禱告
[00:03:04.000 --> 00:03:07.000]  最要緊的是彼此切實相愛
[00:03:07.000 --> 00:03:10.000]  因為愛能遮掩許多的罪
[00:03:10.000 --> 00:03:12.000]  你們要互相款待
[00:03:12.000 --> 00:03:13.000]  不發怨言
[00:03:13.000 --> 00:03:17.000]  各人要照所得的恩賜彼此服事
[00:03:17.000 --> 00:03:20.000]  作神伯般恩賜的好管家
[00:03:20.000 --> 00:03:21.000]  若有講道的
[00:03:21.000 --> 00:03:23.000]  要按著神的聖言講
[00:03:23.000 --> 00:03:25.000]  若有服事人的
