
[00:00:00.000 --> 00:00:04.000]  好,給點掌聲鼓勵敬拜隊,好嗎?
[00:00:04.000 --> 00:00:11.000]  主席第一次在12樓大敬拜,我都很害怕第一次在這裡說話
[00:00:11.000 --> 00:00:16.000]  所以鼓勵一下,很感恩,我不知道剛才你敬拜的時候,你內心有什麼體會
[00:00:16.000 --> 00:00:22.000]  我覺得今天上帝很溫柔,主席帶了一個很溫柔的上帝在我們中間
[00:00:22.000 --> 00:00:26.000]  去鼓勵我們的生命,可能上帝知道我這一刻很需要溫柔的上帝去鼓勵我
[00:00:26.000 --> 00:00:32.000]  所以藉著祂去幫助我們,很開心,今天我跟大家分享神的說話
[00:00:32.000 --> 00:00:40.000]  今天選了一段很不容易說的經文,特別是中學生有一段更加難明白的經文
[00:00:40.000 --> 00:00:43.000]  不過仍然覺得聖經的說話是適合任何年齡人士看的
[00:00:43.000 --> 00:00:49.000]  只要說的時候說得淺白,不過就很想透過這段經文和大家一起認識一下
[00:00:49.000 --> 00:00:54.000]  究竟在我們信仰的生命裡,我們怎樣去理解我們人生裡面有很多的苦難
[00:00:54.000 --> 00:00:59.000]  甚至我們在苦難和困難裡,我們可以怎樣去跟隨神呢?
[00:00:59.000 --> 00:01:05.000]  這是非常重要的,燈是否已經開了?要等時間才亮嗎?
[00:01:05.000 --> 00:01:10.000]  我這個人比較心急,眼睛不夠力,看不到你們的樣子,老花
[00:01:10.000 --> 00:01:15.000]  Anyway,我今天跟大家看這段經文,如果你有聖經,你可以拿出來
[00:01:15.000 --> 00:01:20.000]  就是App打開它,一起去跟著這段聖經,去看這段經文說什麼
[00:01:20.000 --> 00:01:24.000]  我今天想說的是《日白記》,為什麼要選這段經文呢?
[00:01:24.000 --> 00:01:30.000]  因為在我的侍奉路上,或者做千年工作的路,也不只是千年工作
[00:01:30.000 --> 00:01:37.000]  其實是侍奉的路上,我發現原來每個人都會帶著一種對基督教信仰的期望
[00:01:37.000 --> 00:01:44.000]  或者這麼說,可能你會對基督教信仰有一種期望,所以你今天才坐在這裡敬拜
[00:01:44.000 --> 00:01:51.000]  這個期望如果失去了,或者這個期望不能如你所想發生的話
[00:01:51.000 --> 00:01:56.000]  可能都會影響你對基督教信仰的看法,如果準確一點說
[00:01:56.000 --> 00:02:02.000]  就是說,如果你在人生的遭遇裡面,對這個信仰有期望,但是發生不了
[00:02:02.000 --> 00:02:05.000]  你就會對這個信仰的對象,當然我們說的是上帝
[00:02:05.000 --> 00:02:10.000]  你對這個上帝在你生命裡面的重要,你會有很多的疑問
[00:02:10.000 --> 00:02:15.000]  又或者這麼說,究竟我用什麼的基礎,或者我建基在什麼的基礎裡面呢?
[00:02:15.000 --> 00:02:19.000]  我們回到教會裡面去崇拜和敬拜上帝
[00:02:19.000 --> 00:02:22.000]  這個是我今天很想和大家一起去思考的問題
[00:02:22.000 --> 00:02:30.000]  有些人這樣說,他說原來基督教信仰很多時候都會用一種觀念去看我們的信仰
[00:02:30.000 --> 00:02:38.000]  或者我們用一種觀念去繼續去評估或者去平衡我們自己是否繼續要回到這個教會
[00:02:38.000 --> 00:02:40.000]  我不知道大家有沒有聽過這個觀念,這個叫什麼觀念?
[00:02:40.000 --> 00:02:43.000]  這個叫因果關係的想法,什麼意思?
[00:02:43.000 --> 00:02:50.000]  聖經裡面說得很清楚的,如果我遵守上帝的說話和吩咐,上帝就會賜福給我們
[00:02:50.000 --> 00:02:55.000]  你認不認同這句話?有沒有人有異議?應該沒有,是不是?
[00:02:55.000 --> 00:02:56.000]  沒有異議,是不是?
[00:02:56.000 --> 00:03:00.000]  如果我在教會裡面,譬如聖經裡面說的原則,我在生活上遵守的話
[00:03:00.000 --> 00:03:05.000]  在我們的概念,或者我們一直理解基督教信仰,就是上帝會賜福給我們
[00:03:05.000 --> 00:03:10.000]  這個都必然的,為什麼這樣說?因為聖經是白紙黑字地寫的,是不是?
[00:03:10.000 --> 00:03:13.000]  譬如教會裡面,生命記第四章,說得很清楚的
[00:03:13.000 --> 00:03:16.000]  如果我們按著神的律例,誡命遵守的話
[00:03:16.000 --> 00:03:22.000]  聖經說我和我的後裔都可以得福,並且在往後的日子裡,上帝和我們一起,地得以長久
