
[00:00:00.000 --> 00:00:04.300]  今天的講題是「成長有路」
[00:00:04.300 --> 00:00:07.300]  希伯來書第六章第一節
[00:00:07.300 --> 00:00:14.800]  「所以我們應當離開基督道理的開端」
[00:00:14.800 --> 00:00:19.300]  「竭力進到完全的地步」
[00:00:19.300 --> 00:00:23.700]  要離開
[00:00:23.700 --> 00:00:32.000]  凡是個要字表示原本這個動詞是一個命令
[00:00:32.000 --> 00:00:36.000]  即是說我們每一個人都要離開
[00:00:36.000 --> 00:00:39.300]  因為離開放得下才拿得起
[00:00:39.300 --> 00:00:42.800]  你不離開就很難
[00:00:42.800 --> 00:00:44.200]  離開甚麼呢
[00:00:44.200 --> 00:00:47.400]  對香港的大英姐妹來說
[00:00:47.400 --> 00:00:51.400]  離開這個按書區
[00:00:51.400 --> 00:00:53.200]  我經常覺得我都是香港人
[00:00:53.200 --> 00:00:56.200]  我覺得香港人真的很幸福
[00:00:56.200 --> 00:00:58.000]  我們很安書
[00:00:58.000 --> 00:01:03.400]  坦白說如果比較外面的世界風大雨大來說
[00:01:03.400 --> 00:01:07.800]  我們真的照樣香港是個福地
[00:01:07.800 --> 00:01:11.800]  所以我多大都不離開香港
[00:01:11.800 --> 00:01:15.200]  不過按書區有個問題
[00:01:15.200 --> 00:01:16.400]  如果你看書的話
[00:01:16.400 --> 00:01:18.900]  按書區有個問題就是我們會習以為常
[00:01:18.900 --> 00:01:20.800]  我們會麻木
[00:01:20.800 --> 00:01:22.700]  我們會不警醒
[00:01:22.700 --> 00:01:24.500]  是這個問題
[00:01:24.500 --> 00:01:27.200]  有誰不想無風無險又到終點
[00:01:27.200 --> 00:01:29.100]  當然希望這樣
[00:01:29.100 --> 00:01:31.100]  難道你想風大雨大嗎
[00:01:31.100 --> 00:01:36.800]  但問題是按書區令到我們麻木
[00:01:36.800 --> 00:01:40.800]  美國搞到愛潑斯坦這件事
[00:01:40.800 --> 00:01:45.400]  有沒有人知道
[00:01:45.400 --> 00:01:48.400]  那些超級富豪
[00:01:48.400 --> 00:01:53.400]  那些社會上有錢有面子的
[00:01:53.400 --> 00:01:56.900]  飽亂私淫慾
[00:01:56.900 --> 00:01:58.400]  搞到亂七八糟
[00:01:58.400 --> 00:01:59.900]  我不想說太多
[00:01:59.900 --> 00:02:01.900]  大家上網看一看
[00:02:01.900 --> 00:02:03.000]  所以我們中國人
[00:02:03.000 --> 00:02:07.100]  中國人一句話叫富貴不能淫
[00:02:07.100 --> 00:02:11.600]  按書區就難
[00:02:11.600 --> 00:02:15.900]  離開基督道理的開端
[00:02:15.900 --> 00:02:18.100]  開端這個字
[00:02:18.100 --> 00:02:22.100]  一件事的基本元素
[00:02:22.100 --> 00:02:30.600]  最基本的基礎
[00:02:30.600 --> 00:02:35.100]  香港人說英文都不錯
