
[00:00:00.000 --> 00:00:01.160]  (大家好)
[00:00:01.160 --> 00:00:04.080]  (謝謝敬拜隊帶我們來敬拜)
[00:00:04.080 --> 00:00:06.800]  (今天敬拜是一個很深刻的體會)
[00:00:06.800 --> 00:00:09.640]  (剛才當場安靜的時候)
[00:00:09.640 --> 00:00:11.640]  (不知道大家想起了甚麼)
[00:00:11.640 --> 00:00:16.200]  (可能想起這個地方有很多風浪)
[00:00:16.200 --> 00:00:19.400]  (或者你心靈裡有很多風浪)
[00:00:19.400 --> 00:00:21.240]  (特別是DSE那班)
[00:00:21.240 --> 00:00:22.840]  (可能你們現在也在風浪中)
[00:00:22.840 --> 00:00:25.360]  (不過剛才Carla帶得很好)
[00:00:25.360 --> 00:00:27.960]  (當你安靜的時候)
[00:00:27.960 --> 00:00:32.120]  (有時候才知道誰是坐著為王)
[00:00:32.120 --> 00:00:33.640]  (所以鼓勵大家)
[00:00:33.640 --> 00:00:35.720]  (我不知道你剛才祈禱了甚麼)
[00:00:35.720 --> 00:00:39.440]  (但祈禱也是我們的宣認)
[00:00:39.440 --> 00:00:42.520]  (讓我們記得神是坐著為王)
[00:00:42.520 --> 00:00:44.640]  (帶領我們去主)
[00:00:44.640 --> 00:00:48.000]  (鼓勵大家當敬拜的時候)
[00:00:48.000 --> 00:00:50.000]  (每一次都有不同的經歷)
[00:00:50.000 --> 00:00:52.640]  (今天很想跟大家分享)
[00:00:52.640 --> 00:00:55.040]  (介紹今天的講完)
[00:00:55.040 --> 00:00:56.440]  (今天的講完)
[00:00:56.440 --> 00:00:59.200]  (如果你有去台灣短訓)
[00:00:59.200 --> 00:01:00.520]  (你應該會認識他)
[00:01:00.520 --> 00:01:02.800]  (就是Vincent)
[00:01:02.800 --> 00:01:03.960]  (給他掌聲)
[00:01:03.960 --> 00:01:05.560]  (今天和明天)
[00:01:05.560 --> 00:01:10.280]  (都會是他和太太分享訊息)
[00:01:10.280 --> 00:01:13.440]  (所以把時間交給Vincent)
[00:01:13.440 --> 00:01:22.240]  (麻煩靈峰哥哥)
[00:01:25.280 --> 00:01:27.120]  (有點效果)
[00:01:27.120 --> 00:01:29.320]  (OK 大家好)
[00:01:29.320 --> 00:01:32.200]  (弟兄姊妹 平安)
[00:01:32.200 --> 00:01:33.360]  (平安)
[00:01:33.360 --> 00:01:35.360]  (有時候我覺得很奇怪)
[00:01:35.360 --> 00:01:37.760]  (以前我覺得很奇怪)
[00:01:37.760 --> 00:01:40.480]  (我已經過了五十歲)
[00:01:40.480 --> 00:01:42.720]  (你們二十歲左右)
[00:01:42.720 --> 00:01:44.200]  (還未到)
[00:01:44.200 --> 00:01:47.600]  (但竟然我們會稱呼弟兄姊妹)
[00:01:47.600 --> 00:01:49.520]  (你不覺得有點奇怪嗎)
[00:01:49.520 --> 00:01:52.280]  (有沒有點奇怪)
[00:01:52.280 --> 00:01:54.240]  (我以前覺得很不習慣)
[00:01:54.240 --> 00:01:55.080]  (為甚麼)
[00:01:55.080 --> 00:01:57.080]  (但當我看聖經時)
[00:01:57.080 --> 00:02:00.280]  (其實沒有說年齡 也沒有說歲數)
[00:02:00.280 --> 00:02:01.840]  (大家都是弟兄姊妹)
