
[00:00:00.000 --> 00:00:04.000]  好,各位弟兄姊妹,午安
[00:00:04.000 --> 00:00:08.000]  你們好,我是陳沛浩傳道
[00:00:08.000 --> 00:00:11.000]  通常弟兄姊妹都叫我阿Ho
[00:00:11.000 --> 00:00:16.000]  我記得上一次回來港島的時候
[00:00:16.000 --> 00:00:18.000]  應該是大半年前
[00:00:18.000 --> 00:00:23.000]  今天感恩有機會再一次回來12樓
[00:00:23.000 --> 00:00:26.000]  可以跟大家分享訊息
[00:00:26.000 --> 00:00:32.000]  因為我早了上來,大約2時30分
[00:00:32.000 --> 00:00:37.000]  今天上來12樓,我有另一番感受
[00:00:37.000 --> 00:00:42.000]  剛才我站在那個位置,有點眼淚
[00:00:42.000 --> 00:00:46.000]  我不知道為什麼會有眼淚
[00:00:46.000 --> 00:00:50.000]  我想我在12樓都很有感受
[00:00:50.000 --> 00:00:53.000]  或者有機會跟大家分享
[00:00:53.000 --> 00:00:56.000]  剛才我又有另一個很感動的地方
[00:00:56.000 --> 00:00:59.000]  我見到阿Joe,大敬拜
[00:00:59.000 --> 00:01:02.000]  阿Joe在哪裏?
[00:01:02.000 --> 00:01:06.000]  我認識阿Joe的時候
[00:01:06.000 --> 00:01:09.000]  阿Joe很小的時候
[00:01:09.000 --> 00:01:12.000]  見到他眨眨跳的一面
[00:01:12.000 --> 00:01:17.000]  今天見到他已經很大個仔
[00:01:17.000 --> 00:01:20.000]  剛才他問了一條問題,我覺得很重要
[00:01:20.000 --> 00:01:28.000]  他說你現在擔心甚麼會失去呢?
[00:01:28.000 --> 00:01:31.000]  你記不記得他剛才問了一條問題?
[00:01:31.000 --> 00:01:33.000]  應該記得吧?
[00:01:33.000 --> 00:01:37.000]  我覺得阿Joe很好,他給了我們很多空間去想
[00:01:37.000 --> 00:01:42.000]  今天你有甚麼最怕失去呢?
[00:01:42.000 --> 00:01:46.000]  我即時想到是我的老婆和子女
[00:01:46.000 --> 00:01:51.000]  如果有機會一刻失去,我會怎樣呢?
[00:01:51.000 --> 00:01:55.000]  當然神的愛是很重要
[00:01:55.000 --> 00:01:59.000]  如果沒有神,也沒有我們今天整個群體
[00:01:59.000 --> 00:02:03.000]  讓我們今天是高中或大專身
[00:02:03.000 --> 00:02:06.000]  在當中一起去崇拜
[00:02:06.000 --> 00:02:09.000]  我很欣賞青少部的敬拜
[00:02:09.000 --> 00:02:17.000]  能夠在心靈裏面進入和神的關係裏面
[00:02:17.000 --> 00:02:20.000]  我不知道大家是否這樣,我自己是
[00:02:20.000 --> 00:02:24.000]  在敬拜裏面唱詩歌,歌詞裏面
[00:02:24.000 --> 00:02:30.000]  能夠和神的關係拉近了很多
[00:02:30.000 --> 00:02:35.000]  讓自己的心靈,自己的階段
