
[00:00:00.000 --> 00:00:06.600]  好,開始之前很想分享一件很有趣的事
[00:00:06.600 --> 00:00:11.960]  我去年跟大專組的組長預查時
[00:00:11.960 --> 00:00:14.560]  接觸到一個主題
[00:00:14.560 --> 00:00:18.160]  就是當我們回到見主面的時間
[00:00:18.160 --> 00:00:20.240]  即往後見主面的時間
[00:00:20.240 --> 00:00:22.960]  我們要跟主交帳
[00:00:22.960 --> 00:00:26.040]  我們要告訴主我們做過甚麼
[00:00:26.040 --> 00:00:29.520]  我們有很多事情只是草木和街
[00:00:29.600 --> 00:00:31.240]  我們很努力工作
[00:00:31.240 --> 00:00:35.080]  但原來工作後其實毫無永恆價值
[00:00:35.080 --> 00:00:37.600]  火一燒,一切都灰飛煙滅
[00:00:37.600 --> 00:00:41.840]  當我們有永恆價值,就像晶金一樣
[00:00:41.840 --> 00:00:44.520]  他們聽完後說了一句
[00:00:44.520 --> 00:00:46.840]  「好像拿成績表一樣」
[00:00:46.840 --> 00:00:48.680]  「很緊張,原來我們將來」
[00:00:48.680 --> 00:00:51.440]  「回到見主面時好像會拿成績表」
[00:00:51.440 --> 00:00:54.160]  「究竟我們做得好不好」
[00:00:54.160 --> 00:00:57.040]  「我們的屬靈生命有甚麼做得好」
[00:00:57.040 --> 00:00:58.360]  「有甚麼做得不好」
[00:00:58.440 --> 00:01:00.480]  然後大家很緊張,說著說著
[00:01:00.480 --> 00:01:02.280]  「糟了,我肯定是爛Grade」
[00:01:02.280 --> 00:01:05.440]  「我的GPA不知道是否第一」
[00:01:05.440 --> 00:01:07.880]  大家在討論,很擔心
[00:01:07.880 --> 00:01:11.040]  我們都說笑
[00:01:11.040 --> 00:01:13.840]  「其實你們的組長都很努力」
[00:01:13.840 --> 00:01:15.720]  「我都很相信你們可以的」
[00:01:15.720 --> 00:01:18.280]  不過讓我…
[00:01:18.280 --> 00:01:22.960]  還有上星期,凌峰編導特別提到
[00:01:22.960 --> 00:01:26.520]  我們在生命中好像正在經歷試煉
[00:01:26.600 --> 00:01:28.640]  好像每個考試都在進行
[00:01:28.640 --> 00:01:30.120]  每個都在測驗
[00:01:30.120 --> 00:01:32.280]  作為香港人,耳朵會立即豎起
