
[00:00:00.000 --> 00:00:06.120]  很感恩今天可以跟大家一起在這裡宣講神的話
[00:00:06.120 --> 00:00:11.520]  上一次跟大家看了一段大家很熟悉的經文
[00:00:11.520 --> 00:00:14.680]  記不記得我上一次講到講什麼經文?
[00:00:14.680 --> 00:00:16.200]  不記得了
[00:00:16.200 --> 00:00:18.200]  我告訴大家
[00:00:18.200 --> 00:00:20.920]  《路加福音》一章26至38節
[00:00:20.920 --> 00:00:26.000]  就是天使向瑪利亞報信預言耶穌的降生
[00:00:26.000 --> 00:00:31.160]  這次跟大家看一段大家都很熟悉的經文
[00:00:31.160 --> 00:00:35.360]  同樣都是《路加福音》11章1至13節
[00:00:35.360 --> 00:00:39.040]  是主耶穌教導門徒禱告
[00:00:39.040 --> 00:00:42.240]  讓我們一起看看其中主耶穌的教導
[00:00:42.240 --> 00:00:44.240]  和我們的學習
[00:00:44.240 --> 00:00:47.200]  在讀經之前我們一起祈禱
[00:00:47.200 --> 00:00:52.200]  慈愛的天父多謝祢
[00:00:52.200 --> 00:00:55.960]  差派主耶穌來到地上
[00:00:55.960 --> 00:00:59.080]  祂的教導、祂的吩咐
[00:00:59.080 --> 00:01:01.080]  我們都當進行
[00:01:01.080 --> 00:01:06.400]  以下講道的時間求聖靈親自帶領
[00:01:06.400 --> 00:01:09.600]  提醒我們、督責我們
[00:01:09.600 --> 00:01:12.880]  讓每一個、我們每一個
[00:01:12.880 --> 00:01:15.680]  都被祢的說話詛咒
[00:01:15.680 --> 00:01:18.600]  多謝你聽我們禱告奉主耶穌命求
[00:01:18.600 --> 00:01:20.200]  阿門
[00:01:20.200 --> 00:01:22.040]  好
[00:01:22.080 --> 00:01:26.160]  我們先一起讀今天講道的經文
[00:01:26.160 --> 00:01:29.400]  《路加福音》11章1至13節
[00:01:29.400 --> 00:01:31.120]  預備起
[00:01:31.120 --> 00:01:34.360]  耶穌在一個地方禱告
[00:01:34.360 --> 00:01:35.760]  禱告完了
[00:01:35.760 --> 00:01:38.440]  有個門徒對他說
[00:01:38.440 --> 00:01:41.240]  求主教導我們禱告
[00:01:41.240 --> 00:01:44.480]  讓約翰教導他的門徒
[00:01:44.480 --> 00:01:45.720]  耶穌說
[00:01:45.720 --> 00:01:48.840]  你們禱告的時候要說
[00:01:48.840 --> 00:01:51.320]  我們在天上的乎
[00:01:51.320 --> 00:01:54.680]  願人都尊祢的名為聖
[00:01:54.680 --> 00:01:56.720]  願祢的國降臨
[00:01:56.720 --> 00:01:59.680]  願祢的旨意行在地上
[00:01:59.680 --> 00:02:02.120]  如同行在天上
[00:02:02.120 --> 00:02:06.600]  我們日用的飲食天天賜給我們
[00:02:06.600 --> 00:02:08.680]  赦免我們的罪
[00:02:08.680 --> 00:02:13.560]  因為我們也赦免凡虧欠我們的人
[00:02:13.560 --> 00:02:16.320]  不叫我們遇見試探
[00:02:16.320 --> 00:02:19.080]  救我們脫離凶惡
[00:02:19.080 --> 00:02:20.760]  耶穌又說
[00:02:20.760 --> 00:02:24.040]  你們中間誰有一個朋友
[00:02:24.040 --> 00:02:26.480]  半夜到他那裡去
[00:02:26.480 --> 00:02:30.840]  說朋友請借給我三個餅
[00:02:30.840 --> 00:02:34.200]  因為我有一個朋友行路
[00:02:34.200 --> 00:02:36.200]  來到我這裡
[00:02:36.200 --> 00:02:39.640]  我沒有什麼給他擺上
[00:02:39.640 --> 00:02:42.440]  那人在裡面回答說
[00:02:42.440 --> 00:02:44.480]  不要搞擾我
[00:02:44.480 --> 00:02:46.560]  門已經關閉
[00:02:46.560 --> 00:02:50.160]  孩子們也和我在床上聊
[00:02:50.160 --> 00:02:52.760]  我不能起來給你
[00:02:52.760 --> 00:02:54.760]  我告訴你們
[00:02:54.760 --> 00:02:58.640]  雖不因他是朋友起來給他
[00:02:58.640 --> 00:03:02.440]  但因他情慈迫切地直求
[00:03:02.440 --> 00:03:07.160]  就必起來照他所需用的給他
[00:03:07.160 --> 00:03:09.240]  我又告訴你們
[00:03:09.240 --> 00:03:12.320]  你們祈求就給你們
[00:03:12.320 --> 00:03:14.840]  尋找就尋見
[00:03:14.840 --> 00:03:18.000]  叩門就給你們開門
[00:03:18.000 --> 00:03:21.520]  因為凡祈求的就得著
