
[00:00:00.000 --> 00:00:03.880]  今天很想在分享聖經之前
[00:00:03.880 --> 00:00:05.800]  先分享一下自己
[00:00:05.800 --> 00:00:08.180]  因為我相信很多弟兄姊妹
[00:00:08.180 --> 00:00:12.800]  在恩福堂都未必認識所有的牧者
[00:00:12.800 --> 00:00:15.700]  我今天分享自己
[00:00:15.700 --> 00:00:18.800]  作為今天講道的一個引言
[00:00:18.800 --> 00:00:22.080]  也與我跟從耶穌很有關係
[00:00:22.080 --> 00:00:27.300]  其實我在恩福的侍奉已經是12個年頭了
[00:00:27.300 --> 00:00:31.600]  我2003年在神學院畢業
[00:00:31.600 --> 00:00:36.800]  所以今年是我全時間在教會侍奉20個年頭
[00:00:36.800 --> 00:00:39.300]  在這20個年頭裡
[00:00:39.300 --> 00:00:42.300]  其實都覺得時間過得很快
[00:00:42.300 --> 00:00:44.800]  回望這20年
[00:00:44.800 --> 00:00:48.800]  其實有很多不同的感受
[00:00:48.800 --> 00:00:50.800]  所以剛才唱了一首詩歌
[00:00:50.800 --> 00:00:52.800]  《開往水深之處》
[00:00:52.800 --> 00:00:54.800]  其實自己都有很多的感受
[00:00:54.800 --> 00:00:59.800]  在過程裡,20年的牧羊侍奉裡
[00:00:59.800 --> 00:01:03.800]  有時問自己過程裡有沒有一些迷惘
[00:01:03.800 --> 00:01:08.800]  或者一些掙扎的時間
[00:01:08.800 --> 00:01:11.800]  其實真的有的,也不少
[00:01:11.800 --> 00:01:14.800]  有些時候都會去問上帝
[00:01:14.800 --> 00:01:19.800]  究竟在我這條跟隨你的道路上
[00:01:19.800 --> 00:01:21.800]  我回應了上帝的呼召
[00:01:21.800 --> 00:01:23.800]  去全時間侍奉你
[00:01:23.800 --> 00:01:27.800]  但是我在跟隨你的道路上
[00:01:27.800 --> 00:01:29.800]  自己跟成怎樣呢?
[00:01:29.800 --> 00:01:32.800]  有些時候當我覺得很疲倦
[00:01:32.800 --> 00:01:35.800]  或者有些時候很迷惘、掙扎的時候
[00:01:35.800 --> 00:01:37.800]  都會跟上帝說
[00:01:37.800 --> 00:01:42.800]  其實20年都足夠了
[00:01:42.800 --> 00:01:44.800]  應該都OK了
[00:01:44.800 --> 00:01:45.800]  都有個交代
[00:01:45.800 --> 00:01:48.800]  是不是可以停下來休息一下呢?
[00:01:48.800 --> 00:01:50.800]  有時都會有這樣的情況
[00:01:51.800 --> 00:01:52.800]  我不知道弟兄姊妹
[00:01:52.800 --> 00:01:55.800]  你在跟隨耶穌的道路上
[00:01:55.800 --> 00:01:57.800]  有沒有一些類似的時間
[00:01:57.800 --> 00:01:59.800]  你會體會到
[00:01:59.800 --> 00:02:01.800]  我跟隨了耶穌很多年
[00:02:01.800 --> 00:02:03.800]  信了耶穌很多年
[00:02:03.800 --> 00:02:05.800]  其實有些時候跟著跟著
[00:02:05.800 --> 00:02:06.800]  都好像有些迷惘
[00:02:06.800 --> 00:02:09.800]  我不知道大家有沒有這樣的情況
[00:02:09.800 --> 00:02:10.800]  我剛才自己的分享
[00:02:10.800 --> 00:02:14.800]  其實我都會很坦誠地和大家分享
[00:02:14.800 --> 00:02:17.800]  自己確實有些時候真的會有這樣的情況
[00:02:17.800 --> 00:02:19.800]  當我有這樣的情況的時候
[00:02:19.800 --> 00:02:21.800]  我都會去到上帝的面前
[00:02:21.800 --> 00:02:23.800]  去到求問
[00:02:23.800 --> 00:02:25.800]  去到和祂對話
[00:02:25.800 --> 00:02:27.800]  去問神
[00:02:27.800 --> 00:02:31.800]  究竟祢要我在前面應該怎樣走呢?
[00:02:31.800 --> 00:02:35.800]  我相信在座每一位弟兄姊妹
[00:02:35.800 --> 00:02:37.800]  都是一個很認真信仰的人
[00:02:37.800 --> 00:02:40.800]  也是跟隨耶穌的門徒
[00:02:40.800 --> 00:02:42.800]  今天我們說
[00:02:42.800 --> 00:02:44.800]  作耶穌基督的門徒
[00:02:44.800 --> 00:02:46.800]  其實意思就是我們全天候
[00:02:46.800 --> 00:02:48.800]  在我們的生活各個層面裏
[00:02:48.800 --> 00:02:52.800]  無論是家庭、工作、侍奉等等的地方
[00:02:52.800 --> 00:02:54.800]  都學習去跟隨耶穌
[00:02:54.800 --> 00:02:56.800]  作祂的門徒
[00:02:56.800 --> 00:02:59.800]  但我不知道你有沒有到時候
[00:02:59.800 --> 00:03:00.800]  都會問一問
[00:03:00.800 --> 00:03:03.800]  究竟我自己跟耶穌跟成怎樣呢?
[00:03:03.800 --> 00:03:08.800]  究竟我們有沒有真的去實踐耶穌的吩咐
[00:03:08.800 --> 00:03:10.800]  去到好好地跟隨祂
[00:03:10.800 --> 00:03:12.800]  成為祂一個的門徒呢?
[00:03:12.800 --> 00:03:16.800]  這個問題有些時候我都會繼續
[00:03:16.800 --> 00:03:20.800]  問上帝我自己跟耶穌究竟跟成怎樣
[00:03:20.800 --> 00:03:23.800]  今天是教會統一主題
[00:03:23.800 --> 00:03:25.800]  《馬可福音》系列的講道
[00:03:25.800 --> 00:03:29.800]  去到《馬可福音》中間的部分
[00:03:29.800 --> 00:03:36.800]  這個部分是去到《馬可福音》第八章的階段
[00:03:36.800 --> 00:03:38.800]  第八、第九、第十章
[00:03:38.800 --> 00:03:40.800]  有些聖經學者認為
[00:03:40.800 --> 00:03:42.800]  這八章的二十二節
[00:03:42.800 --> 00:03:45.800]  去到十章的五十二節
[00:03:45.800 --> 00:03:47.800]  其實是一個完整的段落
[00:03:47.800 --> 00:03:50.800]  經文是首尾呼應的
[00:03:50.800 --> 00:03:52.800]  怎樣才算是首尾呼應呢?
[00:03:52.800 --> 00:03:57.800]  開始的時候都記載了耶穌醫好一個盲人
[00:03:57.800 --> 00:04:00.800]  在第十章四十六到五十二節
[00:04:00.800 --> 00:04:05.800]  同樣都是記載著耶穌醫好一個盲人
[00:04:05.800 --> 00:04:10.800]  所以這個段落裡頭和尾都好像是呼應著的
