
[00:00:00.000 --> 00:00:03.200]  希望今天的訊息能夠跟你們說話,好嗎?
[00:00:03.200 --> 00:00:05.200]  大家可以先拿出你們的程序表
[00:00:05.200 --> 00:00:07.200]  今天好像很多,但不用擔心
[00:00:07.200 --> 00:00:11.400]  我同時想請AV Team人
[00:00:11.400 --> 00:00:15.400]  外面我的螢幕出現了幾個圖,我不懂得弄走它
[00:00:15.400 --> 00:00:20.600]  我們先有個祈禱,我們同時進行很多事情
[00:00:20.600 --> 00:00:24.800]  榮耀天父,我們感謝你剛才這麼確定的訊息
[00:00:24.800 --> 00:00:27.200]  再一次提攜我們的盼望
[00:00:27.200 --> 00:00:31.200]  也明白體恤認定我們的軟弱
[00:00:31.200 --> 00:00:35.200]  我們不一定每個人都在順風順水的處境
[00:00:35.200 --> 00:00:40.800]  過去三年的疫情,已經差不多活在恐慌、戰驚
[00:00:40.800 --> 00:00:44.200]  彷彿自己都扶不上自己的情況下
[00:00:44.200 --> 00:00:46.200]  上帝祢就來扶援我們
[00:00:46.200 --> 00:00:51.200]  所以神啊,祢明白疫情復後的重建
[00:00:51.200 --> 00:00:53.200]  其實就是這麼需要祢
[00:00:53.200 --> 00:00:56.200]  真的為我們爭戰,為我們開路
[00:00:56.200 --> 00:01:01.200]  再一次將我們發酸的腿,已經冷凍了心
[00:01:01.200 --> 00:01:03.200]  再一次熱切起來
[00:01:03.200 --> 00:01:05.200]  主啊,我們將我們交託
[00:01:05.200 --> 00:01:08.200]  今天的訊息是《約翰一書》最後一段的經文
[00:01:08.200 --> 00:01:12.200]  求祢再一次激勵我們,禱告奉主的名,阿門
[00:01:12.200 --> 00:01:14.200]  不要緊,我們同時進行很多事情
[00:01:14.200 --> 00:01:17.200]  大家可以拿起你的程序表
[00:01:17.200 --> 00:01:18.200]  各位節目早上好
[00:01:18.200 --> 00:01:23.200]  今天的訊息是中唐港道系列的《約翰一書》最後一篇的訊息
[00:01:23.200 --> 00:01:24.200]  是終結篇
[00:01:24.200 --> 00:01:29.200]  之後還會有同工繼續完成《約翰二書》和《約翰三書》各一章的內容
[00:01:29.200 --> 00:01:32.200]  接續上周Frank牧師論及到
[00:01:32.200 --> 00:01:35.200]  《彭遜德性的人生》第五章一至五節
[00:01:35.200 --> 00:01:38.200]  今天的總結篇的題目都有點相似
[00:01:38.200 --> 00:01:40.200]  就是叫做…
[00:01:40.200 --> 00:01:42.200]  什麼?出來了沒有?
[00:01:42.200 --> 00:01:45.200]  《德性世界的信心》,是不是很相似?
[00:01:45.200 --> 00:01:46.200]  其實是有原因相似的
[00:01:46.200 --> 00:01:50.200]  因為約翰想用今天剩下來的六至十一節
[00:01:50.200 --> 00:01:52.200]  去延伸上一段一至五節的經文
[00:01:52.200 --> 00:01:56.200]  演繹德性世界的信心是要怎樣應用在當代
[00:01:56.200 --> 00:01:59.200]  還有現在我們疫情災後
[00:01:59.200 --> 00:02:00.200]  我想說災後
[00:02:00.200 --> 00:02:04.200]  因為疫情這三年其實是一個災難
[00:02:04.200 --> 00:02:06.200]  所以我會多加幾個字
[00:02:06.200 --> 00:02:08.200]  你不要覺得嚇你
[00:02:08.200 --> 00:02:10.200]  而是我們有一個警覺的心
[00:02:10.200 --> 00:02:13.200]  在現在疫後災難重建和復常裏面
[00:02:13.200 --> 00:02:16.200]  我們本身的靈明和教會的振興
[00:02:16.200 --> 00:02:19.200]  應該有什麼教導和指引?
[00:02:19.200 --> 00:02:21.200]  而約翰在這本書結束的時候
[00:02:21.200 --> 00:02:26.200]  他本身就完滿地完成了當代重要的護教講論
[00:02:26.200 --> 00:02:30.200]  重申德性世界的信心
[00:02:30.200 --> 00:02:32.200]  原來是連於我們今天早上
[00:02:32.200 --> 00:02:35.200]  今天早上的訊息三大分段和標題
[00:02:35.200 --> 00:02:38.200]  第一,六至十三節穩固的根基
[00:02:38.200 --> 00:02:41.200]  第二,十四至十七節禱告的挽回
[00:02:41.200 --> 00:02:45.200]  第三,十八至二十一節主內的自首
[00:02:49.200 --> 00:02:52.200]  話說現在疫後災難復常
[00:02:52.200 --> 00:02:55.200]  還有很多林林總總的困難和掙扎
[00:02:55.200 --> 00:02:59.200]  我們希望有很多支援能夠幫助我們
[00:02:59.200 --> 00:03:02.200]  所以社會上進取的做法就是送機票
[00:03:02.200 --> 00:03:03.200]  振興旅遊
[00:03:03.200 --> 00:03:05.200]  有多少人抽中了機票呢?
[00:03:05.200 --> 00:03:06.200]  舉手看看
[00:03:06.200 --> 00:03:07.200]  不要舉了
[00:03:07.200 --> 00:03:08.200]  全世界都質問你了
[00:03:08.200 --> 00:03:09.200]  為什麼你抽到我?
[00:03:09.200 --> 00:03:12.200]  這麼多萬張機票我抽不到
[00:03:12.200 --> 00:03:14.200]  派消費券、振興機制
[00:03:14.200 --> 00:03:15.200]  每個人都有了大部分
[00:03:15.200 --> 00:03:16.200]  夠年齡就有了
[00:03:16.200 --> 00:03:19.200]  請問你還有3000元剩下的嗎?
[00:03:19.200 --> 00:03:20.200]  舉手看看
[00:03:20.200 --> 00:03:21.200]  嘩!這麼多人有剩
[00:03:21.200 --> 00:03:23.200]  我們恩夫堂的抵押費果然是節省
[00:03:23.200 --> 00:03:25.200]  用在最恰當的事情上
[00:03:25.200 --> 00:03:26.200]  我為你感恩
[00:03:26.200 --> 00:03:28.200]  政府很感謝我們
[00:03:28.200 --> 00:03:31.200]  4月29日是全民電影日
[00:03:31.200 --> 00:03:32.200]  30元電影票
[00:03:32.200 --> 00:03:34.200]  你和我有沒有參與和受惠?
[00:03:34.200 --> 00:03:39.200]  我也不敢舉手
[00:03:39.200 --> 00:03:41.200]  那天我星期六全日侍奉
[00:03:41.200 --> 00:03:42.200]  當然沒有去看電影
[00:03:42.200 --> 00:03:44.200]  我每次看電影都睡覺
[00:03:44.200 --> 00:03:46.200]  他不會吧?浪費了30元
[00:03:46.200 --> 00:03:47.200]  你們有嗎?
[00:03:47.200 --> 00:03:48.200]  不知道是不是不敢舉手
[00:03:48.200 --> 00:03:49.200]  不要緊吧
[00:03:49.200 --> 00:03:51.200]  但我們仍聽到事實上是真實的
[00:03:51.200 --> 00:03:53.200]  各行各業人手大缺
[00:03:53.200 --> 00:03:55.200]  需要向海外招手
[00:03:55.200 --> 00:03:56.200]  什麼叫搶人才
[00:03:56.200 --> 00:03:57.200]  畢業還在待興
[00:03:57.200 --> 00:04:00.200]  一般相信疫情災難已經三年
[00:04:00.200 --> 00:04:03.200]  其實復甦有人說最快都要兩年
[00:04:03.200 --> 00:04:04.200]  才能夠安定、安心下來
[00:04:04.200 --> 00:04:05.200]  恢復安穩
[00:04:05.200 --> 00:04:06.200]  我不知道是不是
[00:04:06.200 --> 00:04:08.200]  起碼航空業是這樣想的
[00:04:08.200 --> 00:04:11.200]  雖然現在已經在追得很快
[00:04:11.200 --> 00:04:12.200]  但願如此
[00:04:12.200 --> 00:04:14.200]  還有希望更快
