
[00:00:00.000 --> 00:00:07.280]  首先很感謝敬拜隊、AV Team 和詩詩為我們服侍
[00:00:07.280 --> 00:00:09.280]  剛才敬拜主席也有說
[00:00:09.280 --> 00:00:11.280]  這個天氣這麼早、這麼冷
[00:00:11.280 --> 00:00:14.160]  他們一早回來是預備的
[00:00:14.160 --> 00:00:16.160]  不如我們也給他們掌聲
[00:00:16.160 --> 00:00:18.160]  為我們提供一個很好的地方
[00:00:18.160 --> 00:00:22.640]  讓我們可以好好、很專心地敬拜我們的神
[00:00:22.640 --> 00:00:24.640]  今天在我講到之前
[00:00:24.640 --> 00:00:26.640]  我想問一下大家
[00:00:26.640 --> 00:00:30.160]  過去聖誕、除夕
[00:00:30.160 --> 00:00:33.680]  這些應該也算是收禮物的
[00:00:33.680 --> 00:00:38.400]  我先聽完我的問題
[00:00:38.400 --> 00:00:40.400]  應該也收到禮物吧?
[00:00:40.400 --> 00:00:42.400]  有沒有人收到聖誕禮物?
[00:00:42.400 --> 00:00:44.400]  有啊,收到了
[00:00:44.400 --> 00:00:46.400]  很多人都收到聖誕禮物
[00:00:46.400 --> 00:00:48.400]  不知道你們滿意這份禮物嗎?
[00:00:48.400 --> 00:00:52.080]  我上網做了一些搜尋
[00:00:52.080 --> 00:00:56.080]  大家知不知道原來有十大最伏的禮物
[00:00:56.080 --> 00:00:58.080]  和十大最敷衍的禮物
[00:00:58.080 --> 00:01:00.080]  原來還有
[00:01:00.080 --> 00:01:02.080]  最搞笑的是
[00:01:02.080 --> 00:01:04.080]  還會分為地獄級和絕交級
[00:01:04.080 --> 00:01:08.080]  不知道你們收到的禮物中
[00:01:08.080 --> 00:01:10.080]  有沒有這些驚喜出現過?
[00:01:10.080 --> 00:01:12.080]  沒有吧?感恩吧?
[00:01:12.080 --> 00:01:14.080]  我想問一下
[00:01:14.080 --> 00:01:16.080]  如果有人送禮物給你之前
[00:01:16.080 --> 00:01:18.080]  他問你:你想要什麼?
[00:01:18.080 --> 00:01:20.080]  你心裏會有什麼想法?
[00:01:20.080 --> 00:01:22.080]  你會不會覺得他沒有誠意?
[00:01:22.080 --> 00:01:24.080]  會不會?
[00:01:24.080 --> 00:01:26.080]  你怎麼這樣了解我?
[00:01:26.080 --> 00:01:28.080]  你會不會覺得他沒有心思?
