
[00:00:00.000 --> 00:00:04.000]  我們感謝Eric 麥思迪1月1日主日的時候
[00:00:04.000 --> 00:00:08.000]  告訴我們中堂有新一季的港獨系列是哪本書呢?
[00:00:08.000 --> 00:00:10.000]  記不記得?
[00:00:10.000 --> 00:00:13.000]  很快就忘記了,兩星期前而已
[00:00:13.000 --> 00:00:15.000]  是約翰一二三書
[00:00:15.000 --> 00:00:18.000]  由他的第一講一章一節至二章二節
[00:00:18.000 --> 00:00:20.000]  難分真與假
[00:00:20.000 --> 00:00:23.000]  我經常都,那次知道他的題目之後
[00:00:23.000 --> 00:00:24.000]  我就在那裡跟他經常開玩笑
[00:00:24.000 --> 00:00:27.000]  在那個題目裡面就有約翰年代
[00:00:27.000 --> 00:00:32.000]  諾斯底主義橫流衝擊著信徒信仰的生命本質
[00:00:32.000 --> 00:00:38.000]  一方面有人在鼓吹追求虛妙的更高對神的知識認識
[00:00:38.000 --> 00:00:45.000]  其實是一種至高心不可測的個人屬靈的神物主義的知識主義
[00:00:45.000 --> 00:00:48.000]  但另一方面他們又不信耶穌基督道成肉身
[00:00:48.000 --> 00:00:50.000]  他們當是幻影說
[00:00:50.000 --> 00:00:56.000]  結果就導致信徒以為不用為他們地上肉體所犯的罪
[00:00:56.000 --> 00:00:58.000]  面對今生和來世的審判
[00:00:58.000 --> 00:01:03.000]  而他們會跌入了和未信者同道的道德放縱裡面
[00:01:03.000 --> 00:01:08.000]  所以約翰在本書一章一至二章二節
[00:01:08.000 --> 00:01:10.000]  強調了兩大導向
[00:01:10.000 --> 00:01:12.000]  我當大家重新溫習
[00:01:12.000 --> 00:01:16.000]  第一就是重建具體神在光明中要和神相交
[00:01:16.000 --> 00:01:20.000]  靠著神不要犯罪和知罪認過
[00:01:20.000 --> 00:01:24.000]  第二就是深化我們主所賜給我們愛的舊命令
[00:01:24.000 --> 00:01:29.000]  使當代信徒和我們今世代的信徒要切實相愛
[00:01:29.000 --> 00:01:32.000]  不需要再走個人的神秘高深主義
[00:01:32.000 --> 00:01:35.000]  乃是實踐神愛的表徵
[00:01:35.000 --> 00:01:39.000]  其實這個導向正正在這三年疫情期間
[00:01:39.000 --> 00:01:42.000]  我覺得令到信徒和教會生命失落
[00:01:42.000 --> 00:01:44.000]  和我們要追趕復興的地方
[00:01:44.000 --> 00:01:46.000]  不知大家同不同意
[00:01:46.000 --> 00:01:50.000]  過去三年我們和神和人和自己的關係疏遠了
[00:01:50.000 --> 00:01:53.000]  我們容易走進了虛妙的妄想世界
[00:01:53.000 --> 00:01:55.000]  有人已經沉溺在其中
[00:01:55.000 --> 00:01:59.000]  亦有人在其中追求只有頭腦的知識
