
[00:00:00.000 --> 00:00:14.640]  今天很想透過《愛的使徒》的四章一到四十二節
[00:00:14.640 --> 00:00:15.920]  如果是心水清的
[00:00:15.920 --> 00:00:19.840]  都記得我很久之前剛剛回來香港的時候也有說過
[00:00:19.840 --> 00:00:21.240]  《愛的使徒》的四章一到四十二節
[00:00:21.240 --> 00:00:27.320]  今天很想用新的角度跟大家思考井旁婦人
[00:00:27.320 --> 00:00:30.240]  不要以為又是婦人
[00:00:30.240 --> 00:00:32.160]  上個星期已經拉攏了
[00:00:32.160 --> 00:00:36.000]  如果大家有追著我們標籤的港島的時候
[00:00:36.000 --> 00:00:37.240]  哇!上個星期已經拉攏了
[00:00:37.240 --> 00:00:39.040]  又是女士
[00:00:39.040 --> 00:00:40.040]  但是不要忘記
[00:00:40.040 --> 00:00:45.440]  原來我們除了聖經是在說當時第一窗戶的事情
[00:00:45.440 --> 00:00:47.080]  其實我們在第二窗戶
[00:00:47.080 --> 00:00:51.040]  我們每一個人神都是親自跟他們說話的
[00:00:51.040 --> 00:00:54.400]  今天很想在開始之前
[00:00:54.400 --> 00:00:55.920]  跟大家思考一個
[00:00:55.920 --> 00:00:57.280]  剛才也有說過
[00:00:57.280 --> 00:00:58.200]  我們觀性
[00:00:58.200 --> 00:00:59.720]  我們忙碌的觀性
[00:00:59.720 --> 00:01:03.280]  究竟常規對你、對我
[00:01:03.280 --> 00:01:04.760]  有什麼生命的意義呢?
[00:01:04.760 --> 00:01:06.400]  可能你跟我吃了飯
[00:01:06.400 --> 00:01:07.600]  如果我說
[00:01:07.600 --> 00:01:08.840]  我想你做我的門徒
[00:01:08.840 --> 00:01:09.920]  我跟你吃飯
[00:01:09.920 --> 00:01:11.680]  我要用基督的說話建立你
[00:01:11.680 --> 00:01:12.440]  你跟我吃飯
[00:01:12.440 --> 00:01:13.840]  你經常都聽我說
[00:01:13.840 --> 00:01:14.480]  就問我
[00:01:14.480 --> 00:01:16.800]  你日常有沒有靈修?
[00:01:16.800 --> 00:01:17.880]  很老套
[00:01:17.880 --> 00:01:20.400]  因為我的生命師傅就是這樣跟我們睡覺的
[00:01:20.400 --> 00:01:24.360]  那你平時幾點睡覺?
[00:01:24.360 --> 00:01:25.960]  好像很不耐煩
[00:01:25.960 --> 00:01:29.280]  但是如果跟我一起去侍奉
[00:01:29.280 --> 00:01:34.120]  你就會發覺原來常規是我都會很推給大家
[00:01:34.120 --> 00:01:36.320]  也很鼓勵大家去做的事情
[00:01:36.320 --> 00:01:40.280]  不是一個社會的慣性的意思
[00:01:40.280 --> 00:01:42.440]  而是因為這個節奏
[00:01:42.440 --> 00:01:43.880]  無論音樂上
[00:01:43.880 --> 00:01:46.080]  在我們生活裡面都有一個節奏
[00:01:46.080 --> 00:01:47.080]  這個節奏很重要
[00:01:47.080 --> 00:01:49.560]  因為告訴他會節省腦力
[00:01:49.560 --> 00:01:51.000]  也會提高效率
[00:01:51.000 --> 00:01:51.520]  為什麼呢?
[00:01:51.520 --> 00:01:54.800]  因為原來有很多事情慣性地做
[00:01:54.800 --> 00:01:55.720]  不停地做
[00:01:55.720 --> 00:01:56.760]  有規律地做
[00:01:56.760 --> 00:02:00.000]  其實你的腦子消耗的能量會比較少
[00:02:00.000 --> 00:02:01.960]  而且你很自然的時候
[00:02:01.960 --> 00:02:04.560]  就會做一個良好的習慣
