
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,早安!主內平安!感謝神今日是父親節
[00:00:07.000 --> 00:00:14.000]  首先祝賀每一位父親和弟兄力上加力,恩上加恩
[00:00:14.000 --> 00:00:18.000]  在生命裏更有幹勁和力量
[00:00:18.000 --> 00:00:22.000]  不單止父親,今日也祝賀每一位母親和姊妹
[00:00:22.000 --> 00:00:26.000]  在父親節裏,神的愛與你們同在
[00:00:26.000 --> 00:00:31.000]  生命滿有喜樂和平安,應該都包了
[00:00:31.000 --> 00:00:36.000]  不知不覺,我成為了爸爸已經有十年了
[00:00:36.000 --> 00:00:42.000]  感謝神,這十年裏能夠經歷做爸爸的心路歷程
[00:00:42.000 --> 00:00:47.000]  艱辛,同時亦很感恩
[00:00:47.000 --> 00:00:51.000]  感謝神讓我成為做爸爸的角色
[00:00:51.000 --> 00:00:57.000]  明白原來做爸爸是這樣的,要有肩膀
[00:00:57.000 --> 00:01:02.000]  亦感謝神讓我今天能夠分享父親節的訊息
[00:01:02.000 --> 00:01:05.000]  今日題目是有福的家
[00:01:05.000 --> 00:01:12.000]  盼望今日的講道訊息讓我們經歷這位屬天的爸爸與我們同在
[00:01:12.000 --> 00:01:14.000]  我們一起有個禱告吧
[00:01:14.000 --> 00:01:21.000]  天父我們來到你面前,我們去仰望你
[00:01:21.000 --> 00:01:25.000]  我們渴想你的話,求你幫助我們
[00:01:25.000 --> 00:01:27.000]  讓我們開放我們的心靈
[00:01:27.000 --> 00:01:31.000]  讓你的愛可以淋到我們每一個生命當中
[00:01:31.000 --> 00:01:33.000]  特別是今日父親節
[00:01:33.000 --> 00:01:38.000]  不忘的是你對我們的恩情,你對我們的愛護
[00:01:38.000 --> 00:01:43.000]  以上的禱告交託,是奉主耶穌基督明求,阿們
[00:01:43.000 --> 00:01:46.000]  首先想問弟兄姊妹
[00:01:46.000 --> 00:01:50.000]  爸爸給你的印象是甚麼?
[00:01:50.000 --> 00:01:53.000]  叔弟的爸爸
[00:01:53.000 --> 00:01:57.000]  我想出一張投影片
[00:01:57.000 --> 00:02:01.000]  左邊的是我爸爸
[00:02:01.000 --> 00:02:05.000]  下面的小朋友沒有甚麼表情
[00:02:05.000 --> 00:02:08.000]  是我的
[00:02:08.000 --> 00:02:12.000]  很難得才跟爸爸拍了一張合照
[00:02:12.000 --> 00:02:15.000]  右邊的彩色比較清楚
[00:02:15.000 --> 00:02:19.000]  是剛剛五月份爸爸92歲生日
[00:02:19.000 --> 00:02:21.000]  哇
[00:02:21.000 --> 00:02:24.000]  多謝多謝
[00:02:24.000 --> 00:02:26.000]  本來我今天邀請我爸爸來
[00:02:26.000 --> 00:02:32.000]  但因為昨天的風雨,我又怕爸爸來的安全
[00:02:32.000 --> 00:02:34.000]  所以沒有邀請
[00:02:34.000 --> 00:02:37.000]  爸爸很感恩,他92歲
[00:02:37.000 --> 00:02:41.000]  但他仍然可以照顧好自己的身體
[00:02:41.000 --> 00:02:42.000]  感謝神
[00:02:42.000 --> 00:02:44.000]  我都希望自己的健康
[00:02:44.000 --> 00:02:47.000]  繼續在這段時間好好操練自己
[00:02:47.000 --> 00:02:52.000]  有魄力的,可以更長時間服侍主
[00:02:52.000 --> 00:02:54.000]  爸爸給我的印象是
[00:02:54.000 --> 00:02:57.000]  他以前不多在家
[00:02:57.000 --> 00:02:58.000]  很少見到爸爸
[00:02:58.000 --> 00:03:02.000]  主要是媽媽照顧我們四兄弟姊妹
[00:03:02.000 --> 00:03:04.000]  爸爸特別的地方是甚麼呢?
[00:03:04.000 --> 00:03:06.000]  不說話
[00:03:06.000 --> 00:03:07.000]  是不是?
[00:03:07.000 --> 00:03:10.000]  一句喜,就兩句子
[00:03:10.000 --> 00:03:15.000]  其實我也是,我都不多說話
[00:03:15.000 --> 00:03:19.000]  男人就想著賺錢,不多在家
[00:03:19.000 --> 00:03:22.000]  所以跟爸爸的回憶就不多
[00:03:22.000 --> 00:03:25.000]  很難得爸爸才帶我去玩
[00:03:25.000 --> 00:03:29.000]  去沙灘游泳,上山下海
[00:03:29.000 --> 00:03:33.000]  成為了我很深刻的片段
