
[00:00:00.000 --> 00:00:03.000]  好,大家早安
[00:00:03.000 --> 00:00:08.000]  首先我要多謝一班勁派隊,AV Team
[00:00:08.000 --> 00:00:11.000]  還有詩詩的哥哥姐姐
[00:00:11.000 --> 00:00:14.000]  其實你知不知道他們比你們早回到來
[00:00:14.000 --> 00:00:16.000]  他們八點就要回來了
[00:00:16.000 --> 00:00:18.000]  就是為了我們崇拜
[00:00:18.000 --> 00:00:22.000]  可以讓大家有一個很好的環境去服侍
[00:00:22.000 --> 00:00:25.000]  你勁崇拜,所以他們特意回來服侍
[00:00:25.000 --> 00:00:29.000]  接下來我知道他們要招募新的組員了
[00:00:29.000 --> 00:00:33.000]  真的去接這班哥哥姐姐的棒
[00:00:33.000 --> 00:00:35.000]  去服侍這個家,好不好
[00:00:35.000 --> 00:00:37.000]  在我講到之先
[00:00:37.000 --> 00:00:40.000]  我講講我今天的題目
[00:00:40.000 --> 00:00:42.000]  是世界級的對手
[00:00:42.000 --> 00:00:44.000]  和對神級的隊友
[00:00:44.000 --> 00:00:46.000]  首先我想問一下大家
[00:00:46.000 --> 00:00:50.000]  如果你面對一個世界級的對手
[00:00:50.000 --> 00:00:53.000]  你有沒有信心贏到他?
[00:00:53.000 --> 00:00:55.000]  有沒有信心?
[00:00:55.000 --> 00:00:57.000]  有沒有?
[00:00:57.000 --> 00:01:01.000]  有信心的就舉手
[00:01:01.000 --> 00:01:04.000]  很好,我終於見到有人舉手了
[00:01:04.000 --> 00:01:06.000]  我想問一下
[00:01:06.000 --> 00:01:09.000]  如果我給你一個神級的隊友
[00:01:09.000 --> 00:01:12.000]  你有沒有信心贏到他?
[00:01:12.000 --> 00:01:14.000]  有沒有信心?
[00:01:14.000 --> 00:01:16.000]  因為我想講講神級是甚麼呢?
[00:01:16.000 --> 00:01:19.000]  神級是一個電子遊戲的術語
[00:01:19.000 --> 00:01:23.000]  它指一件事或一件物已經達到一個最高的境界
[00:01:23.000 --> 00:01:26.000]  一個無上限高的級別
[00:01:26.000 --> 00:01:28.000]  無人能級的技術
[00:01:28.000 --> 00:01:30.000]  我想問一下
[00:01:30.000 --> 00:01:33.000]  如果我給你一個無上限高的神級隊友
[00:01:33.000 --> 00:01:35.000]  你是不是立刻很有信心
[00:01:35.000 --> 00:01:38.000]  去戰勝這個世界級的對手?
[00:01:38.000 --> 00:01:41.000]  應該多了很多信心了
[00:01:41.000 --> 00:01:43.000]  今天我要講的經文當中
[00:01:43.000 --> 00:01:45.000]  這班以色列人
[00:01:45.000 --> 00:01:50.000]  他們就是要去面對一個世界級的對手
[00:01:50.000 --> 00:01:53.000]  他們又不知道會不會能夠依靠著
[00:01:53.000 --> 00:01:58.000]  神級很強的隊友能夠打贏呢?
[00:01:58.000 --> 00:02:02.000]  我們先講講今天我講的經文背景
[00:02:02.000 --> 00:02:06.000]  今天我要講的經文就是文素記的13-14章
[00:02:06.000 --> 00:02:12.000]  當中記載了摩西要帶以色列民離開西乃山
[00:02:12.000 --> 00:02:14.000]  要進入巴蘭礦野
[00:02:14.000 --> 00:02:19.000]  因為他們將要按著神的吩咐進入迦南地
[00:02:19.000 --> 00:02:22.000]  但是在他們進入迦南地之前
[00:02:22.000 --> 00:02:25.000]  摩西就在12個支派當中
[00:02:25.000 --> 00:02:28.000]  找了一個探子
[00:02:28.000 --> 00:02:30.000]  一個年輕的領袖
