
[00:00:00.000 --> 00:00:04.360]  今天我們創世紀講道系列排到28章10至22節
[00:00:04.360 --> 00:00:06.280]  「雅各夢見天梯」的事蹟
[00:00:06.280 --> 00:00:07.640]  令到他想起神
[00:00:07.640 --> 00:00:11.320]  有不一樣的信仰、生命的更新和重新的起步
[00:00:11.320 --> 00:00:15.880]  Angelica,你和我通常在什麼處境下會想起神?
[00:00:15.880 --> 00:00:17.800]  是不是在凡事亨通順利的時候
[00:00:17.800 --> 00:00:19.720]  你就立刻懂得感謝讚美主的人
[00:00:19.720 --> 00:00:21.720]  歸功於神的,請舉手看看
[00:00:21.720 --> 00:00:25.600]  不會這樣做的,舉手看看
[00:00:25.600 --> 00:00:26.960]  嘩,你很怕舉手是不是?
[00:00:26.960 --> 00:00:29.560]  如果你突然間不舉手的話,人們會掌摑著你
[00:00:29.560 --> 00:00:31.560]  不用怕,OK?
[00:00:31.560 --> 00:00:34.480]  怕就一起抱著怕,OK?
[00:00:34.480 --> 00:00:36.480]  因為我們都有同樣的弱區,是不是?
[00:00:36.480 --> 00:00:39.240]  還是在低谷困境的時候
[00:00:39.240 --> 00:00:40.520]  你覺得你更加需要神
[00:00:40.520 --> 00:00:42.080]  所以你更加會想起神的?
[00:00:42.080 --> 00:00:44.080]  在這個處境下,請舉手
[00:00:44.080 --> 00:00:46.480]  不知道大家剛才明不明白我的禱告
[00:00:46.480 --> 00:00:47.600]  其實我坐在下面的時候
[00:00:47.600 --> 00:00:48.880]  本來有朋友在我旁邊
[00:00:48.880 --> 00:00:50.400]  我應該就會哭爆了
[00:00:50.400 --> 00:00:52.400]  因為我想哭完才上來講道
[00:00:52.400 --> 00:00:56.720]  突然其來在這一半年裡
[00:00:56.720 --> 00:00:59.680]  收到這麼多海外和香港的肢體
[00:00:59.680 --> 00:01:03.080]  原來忍了五年的內心裡的困苦
[00:01:03.080 --> 00:01:05.920]  終於可以跟一些信任的人說
[00:01:05.920 --> 00:01:09.560]  能夠要求、請求說要代禱
[00:01:09.560 --> 00:01:13.000]  我心裡的難過都很重要,想告訴你
[00:01:13.000 --> 00:01:16.960]  不單止他們,連我自己也是
[00:01:16.960 --> 00:01:19.280]  這幾年我自己都在
[00:01:19.280 --> 00:01:20.840]  今天我講亞國的信息
