
[00:00:00.000 --> 00:00:02.600]  我們給主耶穌最大的掌聲,好不好?
[00:00:02.600 --> 00:00:08.200]  也謝謝主耶穌,我們才可以被拯救
[00:00:08.200 --> 00:00:11.600]  也感恩我們可以參與實體的崇拜去敬拜祂
[00:00:11.600 --> 00:00:16.600]  但是前幾個月,其實很多時候都在網上侍奉
[00:00:16.600 --> 00:00:21.200]  其中一件做的事情就是經營自己的YouTube頻道
[00:00:21.200 --> 00:00:26.800]  在頻道裡,有時候我也會說說自己的興趣是藉此去傳福音的
[00:00:26.800 --> 00:00:31.800]  其中會評論一下我喜歡的一套漫畫,叫做《鬼滅之刃》
[00:00:31.800 --> 00:00:37.400]  有一個弟兄,我懷疑是弟兄,他留下了一些說話在網上
[00:00:37.400 --> 00:00:40.400]  其實他很有心,但是他就這樣說
[00:00:40.400 --> 00:00:46.800]  他說很失望,因為牧師你說鬼,宣揚鬼,說鬼滅之刃
[00:00:46.800 --> 00:00:50.800]  其實按字面的解釋,鬼滅之刃其實是
[00:00:50.800 --> 00:00:55.800]  鬼滅之刃是教人去滅鬼的
[00:00:55.800 --> 00:00:58.800]  按字面的解釋,不會不肅靈
[00:00:58.800 --> 00:01:05.400]  其實內容鬼滅之刃是說一些人受到一些藥物的感染
[00:01:05.400 --> 00:01:08.200]  變成了食人鬼,發展了一些故事出來
[00:01:08.200 --> 00:01:11.400]  其實並不是邪靈的鬼,其實也不是
[00:01:11.400 --> 00:01:18.000]  但是有時候我們知一點點,或者聽誰說這些道理
[00:01:18.000 --> 00:01:20.600]  都會影響了我們一些信仰的觀念
[00:01:20.600 --> 00:01:23.000]  例如,有些都很邪的
[00:01:23.000 --> 00:01:26.400]  有沒有看過《倚天屠龍記》,電視,小說,有沒有看過?
[00:01:26.400 --> 00:01:29.800]  你舉一下手,這本書很邪,你知不知道?
[00:01:29.800 --> 00:01:35.000]  《名教教主張無忌》,名教源於波斯裡面的拜火神教
[00:01:35.000 --> 00:01:37.400]  是邪教,你這樣看都知道是邪
[00:01:37.400 --> 00:01:41.000]  最邪的是什麼呢?有沒有人住黃大仙的?
[00:01:41.000 --> 00:01:44.000]  哇,知不知道住黃大仙很邪?
[00:01:44.000 --> 00:01:47.200]  你知不知道黃大仙是偶像,是冥冥的地方
[00:01:47.200 --> 00:01:49.800]  還有一個大大的拜偶像的寺廟在那裡
[00:01:49.800 --> 00:01:52.600]  你住那裡,快點賣樓吧
[00:01:52.600 --> 00:01:57.600]  如果這樣推論下去,哇,基督教就傳福音很困難
[00:01:57.600 --> 00:02:04.400]  你用這些東西去定義了禁戒的人是做還是不做,邪還是不邪
[00:02:04.400 --> 00:02:05.800]  嚇都嚇死人了
[00:02:05.800 --> 00:02:09.000]  所以這次這個題目就是「怯懦有愧神」
[00:02:09.000 --> 00:02:11.600]  其實也有一點點前奏
[00:02:11.600 --> 00:02:15.400]  如果我們膽怯,其實有些地方我們得罪神
[00:02:15.400 --> 00:02:17.800]  但是有一樣東西我們一開始都要留心
[00:02:17.800 --> 00:02:19.400]  不可以太勇猛的
[00:02:19.400 --> 00:02:24.600]  要小心一點去消化一些很有危險性的道理
[00:02:24.600 --> 00:02:26.800]  我們先低頭祈禱
[00:02:26.800 --> 00:02:29.000]  慈悲人,我們天父,願主開開我們的心
[00:02:29.000 --> 00:02:30.600]  去領受你的華語
[00:02:30.600 --> 00:02:32.800]  太網,我們真的能夠去吸收你的華語
[00:02:32.800 --> 00:02:35.200]  活出你的真理,去為主作見證
[00:02:35.200 --> 00:02:35.800]  多謝主
[00:02:35.800 --> 00:02:37.800]  以上祈禱交上去奉耶穌基督的名字
[00:02:37.800 --> 00:02:39.400]  以求阿門
[00:02:39.400 --> 00:02:40.600]  我們先看一點
[00:02:40.600 --> 00:02:45.200]  《提摩太前書》開頭的四章
[00:02:45.200 --> 00:02:47.000]  都是新譯本的
[00:02:47.000 --> 00:02:49.200]  聽我讀就可以了
[00:02:49.200 --> 00:02:53.200]  「聖靈明明地說,日後必有人離棄信仰
[00:02:53.200 --> 00:02:56.400]  跟從虛方的邪靈和鬼魔
[00:02:56.400 --> 00:02:59.400]  這教訓是出於說方的人的虛偽
[00:02:59.400 --> 00:03:03.200]  他們的良心好像被銷紅的鐵落了一般」
[00:03:03.200 --> 00:03:04.600]  先看這裡
[00:03:04.600 --> 00:03:09.000]  這裡說的是保羅在提醒他的徒弟
[00:03:09.000 --> 00:03:10.800]  好像是把後事交給他
[00:03:10.800 --> 00:03:15.400]  叫他努力承接帶領教會和傳福音的工作
[00:03:15.400 --> 00:03:16.400]  他跟他說
[00:03:16.400 --> 00:03:18.800]  聖靈曾經明明地說
[00:03:18.800 --> 00:03:22.000]  這是很相信他和他的徒弟之間
[00:03:22.000 --> 00:03:25.000]  一些很靠近的教導中提過
[00:03:25.000 --> 00:03:27.000]  有聖靈提醒他
[00:03:27.000 --> 00:03:29.000]  也提醒提摩太
[00:03:29.000 --> 00:03:30.400]  也很明顯地
[00:03:30.400 --> 00:03:32.000]  耶穌在《新約聖經》
[00:03:32.000 --> 00:03:34.000]  在福音書也經常提到
[00:03:34.000 --> 00:03:37.000]  他也沒必要有一些假先知
[00:03:37.000 --> 00:03:38.600]  這些人會怎樣呢?
[00:03:38.600 --> 00:03:40.400]  他們會離開信仰
[00:03:40.400 --> 00:03:42.200]  跟從虛方的邪靈
[00:03:42.200 --> 00:03:45.400]  就是跟隨一些似是而非
[00:03:45.400 --> 00:03:49.400]  並不會說謊的邪靈和魔鬼的教訓
[00:03:49.400 --> 00:03:53.000]  聽起來應該是一些很邪惡的教訓
[00:03:53.000 --> 00:03:57.200]  這些教訓應該一聽就跟鬼魔有關
[00:03:57.200 --> 00:03:59.200]  因為他下面也說
[00:03:59.200 --> 00:04:02.200]  「這個教訓是出於說方人的虛偽」
