
[00:00:00.000 --> 00:00:04.360]  大家好 我是兒童部的童工阿君
[00:00:04.360 --> 00:00:09.000]  很榮幸今天可以代表兒童部跟大家分享訊息
[00:00:09.000 --> 00:00:11.920]  正如今天很多人都說 今天是兒童主日
[00:00:11.920 --> 00:00:14.200]  剛才有很多孩子在我們中間
[00:00:14.200 --> 00:00:16.600]  剛才我在台下和SR牧師傾談
[00:00:16.600 --> 00:00:22.720]  我說他們在兒童師班60多70個最困難的就是剛才那十多分鐘
[00:00:22.720 --> 00:00:26.520]  要他們安靜聽經文 說他們完成了一件創舉
[00:00:26.520 --> 00:00:28.520]  所以不得了
[00:00:28.520 --> 00:00:33.520]  今天是兒童主日 我們兒童部也參與了很多今天的崇拜
[00:00:33.520 --> 00:00:34.520]  很多的服侍
[00:00:34.520 --> 00:00:36.520]  從你今天一上來的時候
[00:00:36.520 --> 00:00:39.840]  你應該看到孩子很充滿笑容地和你打招呼
[00:00:39.840 --> 00:00:42.120]  大家搶著貼貼紙在你的身上
[00:00:42.120 --> 00:00:45.320]  然後派今天兒童的特刊
[00:00:45.320 --> 00:00:47.520]  裡面有很多人去做招待
[00:00:47.520 --> 00:00:50.120]  還有BB君成為我們的師士
[00:00:50.120 --> 00:00:53.120]  還有我們有小師班
[00:00:53.120 --> 00:00:56.720]  其實當中下面還有一些氣球的佈置
[00:00:56.720 --> 00:01:00.120]  其實當中我們想一起借你們的掌聲
[00:01:00.120 --> 00:01:03.320]  去多謝一班在我們中間去服侍的兒童
[00:01:03.320 --> 00:01:07.720]  謝謝各位導師去帶領他們
[00:01:07.720 --> 00:01:11.520]  還要多謝媽媽團和啞哥團契
[00:01:11.520 --> 00:01:14.520]  他們為我們去幫我們做一些佈置
[00:01:14.520 --> 00:01:17.120]  特別今天我們敬拜隊一班
[00:01:17.120 --> 00:01:18.920]  雖然他們都不小了
[00:01:18.920 --> 00:01:21.920]  哥哥姐姐甚至叔叔嬸嬸都結婚了
[00:01:21.920 --> 00:01:24.720]  不過他們都是在兒童部裡面長大
[00:01:24.720 --> 00:01:26.920]  直到今天有些是我的同事
[00:01:26.920 --> 00:01:28.720]  有些是我同事的老公
[00:01:28.720 --> 00:01:31.120]  有些是我和他一起打球打到長大
[00:01:31.120 --> 00:01:32.920]  他還說我跳得這麼矮
[00:01:32.920 --> 00:01:35.520]  這個高高的
[00:01:35.520 --> 00:01:37.320]  不過看著孩子成長
[00:01:37.320 --> 00:01:40.320]  看著孩子成為青年人成為成年人
[00:01:40.320 --> 00:01:42.520]  我想都是一件很開心的事
[00:01:42.520 --> 00:01:44.920]  進入今天講道的分享
[00:01:44.920 --> 00:01:47.320]  我們現在活在一個什麼的世代
[00:01:47.320 --> 00:01:49.920]  我會形容是一個促成的世界
[00:01:49.920 --> 00:01:52.920]  一個什麼都是AI的時代
[00:01:52.920 --> 00:01:55.720]  人工智能即是人工智慧的崛起
[00:01:55.720 --> 00:01:58.720]  讓很多事情都變得很簡單
[00:01:58.720 --> 00:01:59.720]  譬如什麼呢
[00:01:59.720 --> 00:02:02.120]  我們孩子的功課青年人的功課
[00:02:02.120 --> 00:02:04.920]  其實他們第一件事收到那個講題會做什麼呢
[00:02:04.920 --> 00:02:06.320]  打開AI放進去
[00:02:06.320 --> 00:02:07.320]  將一份出來
[00:02:07.320 --> 00:02:08.520]  然後將三份回來
[00:02:08.520 --> 00:02:09.720]  然後改
[00:02:09.720 --> 00:02:11.920]  甚至其實都不用自己用腦
[00:02:11.920 --> 00:02:14.120]  手機一掃答案就出來了
[00:02:14.120 --> 00:02:15.520]  所有生活上的問題
[00:02:15.520 --> 00:02:16.920]  同樣都是找AI
[00:02:16.920 --> 00:02:19.120]  就立刻提供了十個辦法
[00:02:19.120 --> 00:02:20.520]  我看過一些views
[00:02:20.520 --> 00:02:22.720]  他說那些人買珍珠奶茶
[00:02:22.720 --> 00:02:24.320]  害怕不知道說什麼都可以問他
[00:02:24.320 --> 00:02:26.520]  我應該說什麼
[00:02:26.520 --> 00:02:28.120]  不過其實都不止年輕人
[00:02:28.120 --> 00:02:28.920]  不止孩子
[00:02:28.920 --> 00:02:30.120]  我們大人都一樣
