
[00:00:00.000 --> 00:00:02.480]  《馬訪》第十五章的經文
[00:00:02.480 --> 00:00:06.800]  主要是描述耶穌接受彼拉多的審問
[00:00:06.800 --> 00:00:12.320]  之後耶穌被釘十字架和死亡的一段經文描述
[00:00:12.320 --> 00:00:15.720]  大家如果有參加過一些壽苦節崇拜
[00:00:15.720 --> 00:00:18.120]  很多時候都會在壽苦節崇拜裡面
[00:00:18.120 --> 00:00:20.080]  用《馬訪》第十五章
[00:00:20.080 --> 00:00:23.200]  去默想耶穌基督的受難
[00:00:23.200 --> 00:00:28.400]  默想耶穌為我們的罪所負上流血捨身的代價
[00:00:28.400 --> 00:00:31.760]  今天很想透過第十五章的經文
[00:00:31.760 --> 00:00:36.080]  讓我們仔細去研讀裡面發生的人
[00:00:36.080 --> 00:00:41.080]  和一些事發掘裡面給我們的提醒
[00:00:41.080 --> 00:00:44.840]  相信《馬訪》第十五章的經文
[00:00:44.840 --> 00:00:47.040]  作者去描述的時候
[00:00:47.040 --> 00:00:52.760]  在他的心裡面都是一個頗不容易的時間
[00:00:52.760 --> 00:00:55.360]  事實上在《馬訪》第十五章描述
[00:00:55.360 --> 00:00:57.160]  那一天發生的事
[00:00:57.160 --> 00:01:02.080]  當中並不是一個尋常的一天
[00:01:02.080 --> 00:01:05.320]  那一天發生的事就是上帝的兒子受難
[00:01:05.320 --> 00:01:08.760]  和我們每一個人的關係
[00:01:08.760 --> 00:01:14.800]  這一章的經文應該是每一個人去仔細思想
[00:01:14.800 --> 00:01:18.000]  和沉澱的一段經文
[00:01:18.000 --> 00:01:20.440]  對比起其餘的三卷福音書
[00:01:20.440 --> 00:01:24.160]  《馬訪》的記載是最簡單和最直接
[00:01:24.160 --> 00:01:29.680]  所以有些人覺得《馬訪》第十五章描述的內容
[00:01:29.680 --> 00:01:33.240]  描述的耶穌真的很痛苦
[00:01:33.240 --> 00:01:34.520]  亦都很陰暗
[00:01:34.520 --> 00:01:39.600]  亦都是很無奈的一段描述的經文
[00:01:39.600 --> 00:01:41.360]  我們看到耶穌的死
[00:01:41.360 --> 00:01:45.880]  除了是上帝作出救贖的必經之路之外
[00:01:45.880 --> 00:01:52.040]  亦都是基於一連串人的罪和惡所導致的
[00:01:52.040 --> 00:01:53.760]  我們知道在神學上
[00:01:53.760 --> 00:01:56.840]  耶穌的死是成就上帝救贖計劃
[00:01:56.840 --> 00:01:59.400]  不能夠避免要發生的事
[00:01:59.400 --> 00:02:04.200]  上帝是整件事真正幕後的掌權者
[00:02:04.200 --> 00:02:08.400]  但是我們看到在整個耶穌死亡的過程裏面
[00:02:08.400 --> 00:02:12.160]  確實有些人促成了這件事的發生
[00:02:12.160 --> 00:02:13.800]  而那些人確確實實
[00:02:13.800 --> 00:02:19.280]  他們的罪惡是不能夠輕輕帶過的
[00:02:19.280 --> 00:02:26.480]  當中或多或少都反映著普遍人的一種罪性和黑暗
[00:02:26.480 --> 00:02:32.160]  特別是如何看待人痛苦的這件事上
[00:02:32.160 --> 00:02:34.920]  今天很想透過《馬克思主義》第十五章
[00:02:34.920 --> 00:02:38.840]  讓我們一同思想一個比較沉重的題目
[00:02:38.840 --> 00:02:42.880]  就是關於人的受苦、人的痛苦
[00:02:42.880 --> 00:02:44.560]  讓我們進入經文之前
[00:02:44.560 --> 00:02:45.720]  我們一起有一個禱告
[00:02:45.720 --> 00:02:46.840]  我們同心祈禱
[00:02:46.840 --> 00:02:50.400]  親愛的主耶穌
[00:02:50.400 --> 00:02:53.520]  我們知道祢在歷史裏面
[00:02:53.520 --> 00:02:56.120]  真實的來到這個世界裏面
[00:02:56.120 --> 00:03:02.080]  更加是面對著最後的日子的時候
[00:03:02.080 --> 00:03:05.600]  祢經歷人世間很大的痛苦
[00:03:05.600 --> 00:03:09.320]  我們今天很想透過《馬克思主義》第十五章
[00:03:09.320 --> 00:03:13.040]  再一次讓我們重新去記憶
[00:03:13.040 --> 00:03:17.560]  祢在十字架上所為我們所擺上
[00:03:17.560 --> 00:03:22.480]  也透過十五章的經文描述裏面的人和事
[00:03:22.480 --> 00:03:25.000]  讓我們在人類的痛苦裏面
[00:03:25.000 --> 00:03:28.840]  我們一起去思想、一起去反思這個題目
[00:03:28.840 --> 00:03:30.880]  求聖靈去引導我們
[00:03:30.880 --> 00:03:33.040]  也帶領我們以下的時間
[00:03:33.040 --> 00:03:36.240]  讓聽的、說的都能夠明白、清楚
[00:03:36.240 --> 00:03:37.680]  我們同心禱告
[00:03:37.680 --> 00:03:39.960]  奉靠耶穌基督得聖名自祈求
[00:03:39.960 --> 00:03:40.960]  阿們
[00:03:40.960 --> 00:03:45.000]  和大家看的第一個經文
[00:03:45.000 --> 00:03:48.480]  就是在第十五章的第一節到第十五節
[00:03:48.480 --> 00:03:51.120]  還有三十一到三十二節
[00:03:51.120 --> 00:03:54.960]  這個題目叫做「促成他人的痛苦」
[00:03:54.960 --> 00:03:57.360]  讓我們讀這段經文的時候
[00:03:57.360 --> 00:03:59.360]  我們可以慢慢讀
[00:03:59.360 --> 00:04:02.480]  讓經文再一次讓我們去回憶
[00:04:02.480 --> 00:04:07.080]  重溫耶穌受難的時候發生的事情
[00:04:07.080 --> 00:04:09.080]  好 我們準備一下
[00:04:09.080 --> 00:04:11.080]  好 一二三 我們一起讀
[00:04:11.680 --> 00:04:13.280]  一到早晨
[00:04:13.280 --> 00:04:18.560]  眾祭司長、長老、文士和全議會的人
[00:04:18.560 --> 00:04:20.320]  大家相議
[00:04:20.320 --> 00:04:23.600]  就把耶穌綁著、解去
[00:04:23.600 --> 00:04:25.600]  交給彼拉多
[00:04:25.600 --> 00:04:27.400]  彼拉多問他
[00:04:27.400 --> 00:04:30.040]  「你是猶太人的和嗎?」
[00:04:30.040 --> 00:04:31.520]  耶穌回答
[00:04:31.520 --> 00:04:33.520]  「是你說的」
[00:04:33.520 --> 00:04:37.200]  祭司長們告他許多的事
[00:04:37.200 --> 00:04:39.280]  彼拉多又問他
[00:04:39.280 --> 00:04:43.080]  「你看,他們告你這麼多的事
[00:04:43.080 --> 00:04:45.960]  你什麼都不回答嗎?」
[00:04:45.960 --> 00:04:48.120]  耶穌仍不回答
[00:04:48.120 --> 00:04:51.760]  以致彼拉多覺得驚訝
[00:04:51.760 --> 00:04:53.600]  每逢這節期
[00:04:53.600 --> 00:04:56.560]  彼拉多照眾人所求的
[00:04:56.560 --> 00:04:59.760]  釋放一個囚犯給他們
[00:04:59.760 --> 00:05:02.640]  有一個人名叫巴拉巴
[00:05:02.640 --> 00:05:05.960]  和作亂的人監禁在一起
[00:05:05.960 --> 00:05:09.760]  他們作亂的時候曾殺過人
[00:05:09.760 --> 00:05:15.480]  眾人上去求彼拉多照常例給他們辦理
[00:05:15.480 --> 00:05:16.960]  彼拉多說
[00:05:16.960 --> 00:05:22.320]  「你們要我釋放猶太人的王給你們嗎?」
[00:05:22.320 --> 00:05:29.200]  他原知道祭司長們是因嫉妒才把耶穌解了內
[00:05:29.200 --> 00:05:32.680]  但是祭司長們煽動眾人
[00:05:32.680 --> 00:05:36.960]  寧可要他釋放巴拉巴給他們
