
[00:00:00.000 --> 00:00:03.000]  我們一同去祈禱
[00:00:03.000 --> 00:00:10.000]  盼望神能夠呼召我們
[00:00:10.000 --> 00:00:11.000]  塗造我們
[00:00:11.000 --> 00:00:14.000]  我們同心圖告
[00:00:14.000 --> 00:00:17.000]  七因主真是很感謝你
[00:00:17.000 --> 00:00:21.000]  感謝你讓我們有生命氣息
[00:00:21.000 --> 00:00:23.000]  能夠回到你的殿當中
[00:00:23.000 --> 00:00:26.000]  你的殿是怎樣建立的呢?
[00:00:26.000 --> 00:00:31.000]  其實就是需要我們一群被你呼召的人
[00:00:31.000 --> 00:00:34.000]  在當中去服侍、擺上
[00:00:34.000 --> 00:00:39.000]  盼望我們能夠站在正確的人生道路上
[00:00:39.000 --> 00:00:42.000]  去回應神對我們的呼召
[00:00:42.000 --> 00:00:44.000]  然後我們能夠跟隨神
[00:00:44.000 --> 00:00:47.000]  我們能夠同心建立教會
[00:00:47.000 --> 00:00:48.000]  慶皇復任
[00:00:48.000 --> 00:00:50.000]  我們的禱告仰望教堂
[00:00:50.000 --> 00:00:54.000]  是奉主耶穌基督得勝的明智祈求
[00:00:54.000 --> 00:00:56.000]  阿門
[00:00:56.000 --> 00:00:58.000]  今天的講題是
[00:00:58.000 --> 00:01:01.000]  活出一個不一樣的人生
[00:01:01.000 --> 00:01:05.000]  經文是在路加福音五章一至十一節
[00:01:05.000 --> 00:01:08.000]  記得我小時候
[00:01:08.000 --> 00:01:15.000]  我爸爸媽媽或者父母的教育理念
[00:01:15.000 --> 00:01:18.000]  不知道大家能否猜到是什麼呢?
[00:01:18.000 --> 00:01:20.000]  我那個年代
[00:01:20.000 --> 00:01:23.000]  我多少歲呢?
[00:01:23.000 --> 00:01:26.000]  其實我已經四十多歲了
[00:01:26.000 --> 00:01:28.000]  四十多年前
[00:01:28.000 --> 00:01:31.000]  我爸爸媽媽的教育理念
[00:01:31.000 --> 00:01:34.000]  觀念就是只要你有好的成績
[00:01:34.000 --> 00:01:36.000]  就怎樣呢?
[00:01:36.000 --> 00:01:40.000]  有好的工作
[00:01:40.000 --> 00:01:43.000]  然後就有好的收入
[00:01:43.000 --> 00:01:44.000]  沒錯了
[00:01:44.000 --> 00:01:46.000]  時至今日
[00:01:46.000 --> 00:01:49.000]  大家覺得有沒有改變呢?
[00:01:49.000 --> 00:01:51.000]  有什麼改變呢?
[00:01:51.000 --> 00:01:54.000]  現在不看成績了
[00:01:54.000 --> 00:01:58.000]  當時我讀中學的時候
[00:01:58.000 --> 00:02:00.000]  我是打算讀文科的
[00:02:00.000 --> 00:02:02.000]  但是爸爸說什麼
[00:02:02.000 --> 00:02:04.000]  文科怎樣
[00:02:04.000 --> 00:02:07.000]  沒什麼出路
[00:02:07.000 --> 00:02:12.000]  結果我選擇了什麼呢?
[00:02:12.000 --> 00:02:14.000]  選擇了什麼呢?
[00:02:14.000 --> 00:02:16.000]  當然是理科了
[00:02:16.000 --> 00:02:19.000]  結果我就渾渾噩噩
[00:02:19.000 --> 00:02:22.000]  過了我的中學生涯
[00:02:22.000 --> 00:02:25.000]  結果我覺得勉強了自己
[00:02:25.000 --> 00:02:29.000]  又感到很浪費我自己的光陰
[00:02:29.000 --> 00:02:33.000]  結果我就從理科要再轉讀什麼科呢?
[00:02:33.000 --> 00:02:34.000]  商科
[00:02:34.000 --> 00:02:38.000]  其實都是賺錢的科
[00:02:38.000 --> 00:02:39.000]  時至今日
[00:02:39.000 --> 00:02:43.000]  這種想法不單沒有改變
[00:02:43.000 --> 00:02:47.000]  而且更加加劇
[00:02:47.000 --> 00:02:52.000]  有些家長為了安排小朋友很多什麼呢?
[00:02:52.000 --> 00:02:53.000]  興趣班
[00:02:53.000 --> 00:02:55.000]  還有很多補充的練習
[00:02:55.000 --> 00:02:57.000]  結果不停地在做
[00:02:57.000 --> 00:02:58.000]  在做
[00:02:58.000 --> 00:03:04.000]  結果小朋友其實承受著前所未有的壓力
[00:03:04.000 --> 00:03:07.000]  我自己是三子之母
[00:03:07.000 --> 00:03:09.000]  三個兒子的媽媽
[00:03:09.000 --> 00:03:14.000]  其實有時候都在當中會有迷失的時候
[00:03:14.000 --> 00:03:20.000]  甚至我們的小朋友可能是整個生命都被世界牽著走
[00:03:20.000 --> 00:03:26.000]  有時候他們回到教會就會中途離場
