
[00:00:00.000 --> 00:00:04.480]  感謝天父賜下祢的獨生兒子耶穌基督
[00:00:04.480 --> 00:00:07.280]  祂用祂的愛、用祂的生命去拯救我們
[00:00:07.280 --> 00:00:09.360]  也願主開我們的心智
[00:00:09.360 --> 00:00:13.320]  讓我們用我們的理性、用我們的心靈去領受祢的說話
[00:00:13.320 --> 00:00:14.200]  多謝主
[00:00:14.200 --> 00:00:15.160]  以上祈禱交上
[00:00:15.160 --> 00:00:16.920]  奉耶穌基督名字而求
[00:00:16.920 --> 00:00:17.920]  阿們
[00:00:17.920 --> 00:00:19.720]  神真的很疼愛人
[00:00:19.720 --> 00:00:22.200]  也賜下人很多智慧
[00:00:22.200 --> 00:00:24.360]  其中一樣我覺得最偉大的智慧
[00:00:24.360 --> 00:00:29.680]  就是賜下人可以創造很多無數的電腦遊戲
[00:00:29.680 --> 00:00:32.200]  其中有一款遊戲我從小玩到大的
[00:00:32.200 --> 00:00:33.440]  叫《Monster Hunter》
[00:00:33.440 --> 00:00:36.040]  它已經推出了很多代了
[00:00:36.040 --> 00:00:38.960]  現在叫《Monster Hunter Rise Sunbreak》
[00:00:38.960 --> 00:00:40.440]  你不用知道它的中文名
[00:00:40.440 --> 00:00:42.440]  中文名大概叫《魔物獵人》
[00:00:42.440 --> 00:00:43.840]  它除了是一個遊戲
[00:00:43.840 --> 00:00:45.840]  是充滿了人生的哲理
[00:00:45.840 --> 00:00:49.440]  因為它靠一些裝備和技能
[00:00:49.440 --> 00:00:51.960]  要麼就令你的攻擊力很高
[00:00:51.960 --> 00:00:53.400]  不停地打怪獸
[00:00:53.400 --> 00:00:54.920]  怪獸就快點死
[00:00:54.920 --> 00:00:56.640]  但是你攻擊力高
[00:00:56.640 --> 00:00:58.080]  你的防禦力就低了
[00:00:58.080 --> 00:00:59.120]  被怪獸一擊
[00:00:59.120 --> 00:01:00.600]  你就死了
[00:01:00.600 --> 00:01:02.760]  你令到防禦力很高
[00:01:02.760 --> 00:01:04.880]  但是你打的怪獸
[00:01:04.880 --> 00:01:06.000]  怪獸都不會死
[00:01:06.000 --> 00:01:07.200]  很特別
[00:01:07.200 --> 00:01:08.680]  但是我試過
[00:01:08.680 --> 00:01:10.200]  將我一生的裝備
[00:01:10.200 --> 00:01:13.480]  裝到防禦力最高的時候
[00:01:13.480 --> 00:01:14.480]  我就想到一個辦法
[00:01:14.480 --> 00:01:16.200]  覺得自己也很無敵
[00:01:16.200 --> 00:01:18.600]  不如將防禦力最高的武器
[00:01:18.600 --> 00:01:20.040]  再放一些毒進去
[00:01:20.040 --> 00:01:21.000]  毒死怪獸
[00:01:21.000 --> 00:01:22.760]  慢慢毒死它就可以了
[00:01:22.760 --> 00:01:24.920]  所以我就創造了一套裝備
[00:01:24.920 --> 00:01:25.960]  其實也不是創造
[00:01:25.960 --> 00:01:28.040]  東抄西抄抄回來的
[00:01:28.040 --> 00:01:29.280]  大致上這些技能
[00:01:29.280 --> 00:01:30.400]  我不會詳細解釋
[00:01:30.400 --> 00:01:32.960]  主要是分為提高防禦力最大
[00:01:32.960 --> 00:01:34.320]  可以撐到幾下
[00:01:34.320 --> 00:01:35.920]  怪獸打你不死
[00:01:35.920 --> 00:01:36.800]  第二
[00:01:36.800 --> 00:01:38.280]  萬一打中你
[00:01:38.280 --> 00:01:40.080]  你也可以迴避
[00:01:40.080 --> 00:01:41.600]  迴避的意思是什麼呢
[00:01:41.600 --> 00:01:42.960]  就是你可以避開
[00:01:42.960 --> 00:01:44.360]  萬一又避不開
[00:01:44.360 --> 00:01:45.600]  你硬吃了幾下
[00:01:45.600 --> 00:01:47.280]  第三組的裝備
[00:01:47.280 --> 00:01:48.880]  就幫你回血
[00:01:48.880 --> 00:01:50.960]  有無限的血可以回
[00:01:50.960 --> 00:01:52.400]  所以我就叫這套裝備
[00:01:52.400 --> 00:01:54.680]  叫無敵神盾萬毒槍
[00:01:54.680 --> 00:01:55.600]  就是這個意思
[00:01:55.600 --> 00:01:57.360]  我人真的有一點小聰明
[00:01:57.360 --> 00:01:58.680]  覺得自己真的無敵
[00:01:58.680 --> 00:02:00.080]  第二次無敵的經驗
[00:02:00.080 --> 00:02:01.520]  就負面一點
[00:02:01.520 --> 00:02:03.320]  就是有一個去銀行
[00:02:03.320 --> 00:02:04.840]  我說我存了一點錢
[00:02:04.840 --> 00:02:07.400]  想保值抗通脹又如何呢
[00:02:07.400 --> 00:02:10.200]  有一個銀行銷售員就說
[00:02:10.200 --> 00:02:12.840]  有一套無敵的基金叫你買
[00:02:12.840 --> 00:02:14.120]  這套基金的特色
[00:02:14.120 --> 00:02:15.720]  是永遠不會虧錢的
[00:02:15.720 --> 00:02:18.080]  還可以一年賺三至四厘息
[00:02:18.080 --> 00:02:19.280]  我說有沒有這麼好
[00:02:19.280 --> 00:02:20.760]  他說有這麼好
[00:02:20.760 --> 00:02:22.440]  結果我買了一兩年之後
[00:02:22.440 --> 00:02:24.560]  就發現我從來沒有賺過錢
[00:02:24.560 --> 00:02:25.120]  沒錯
[00:02:25.120 --> 00:02:26.840]  它是不會虧錢的
[00:02:26.840 --> 00:02:28.600]  它賺到的三四厘息
[00:02:28.600 --> 00:02:31.440]  絕大部分是變成銀行的手續費
