
[00:00:00.000 --> 00:00:03.640]  好,謝謝敬拜隊帶領我們去敬拜
[00:00:03.640 --> 00:00:06.800]  讓我們每個星期日回來都有一些時間
[00:00:06.800 --> 00:00:08.000]  我們都去…
[00:00:08.000 --> 00:00:10.120]  可能平時你沒有什麼機會
[00:00:10.120 --> 00:00:13.200]  我不知道你平時有沒有靈修、祈禱、讀經
[00:00:13.200 --> 00:00:16.080]  但至少都讓我們有機會
[00:00:16.080 --> 00:00:18.560]  我們都去親近神,去花藝神道
[00:00:18.560 --> 00:00:24.280]  讓我們一起進入去聽道
[00:00:24.280 --> 00:00:26.960]  今天很想跟大家分享一個題目
[00:00:26.960 --> 00:00:32.960]  叫做信仰起子時道德教化這麼簡單
[00:00:32.960 --> 00:00:36.320]  為什麼我突然想起想講這個題目呢?
[00:00:36.320 --> 00:00:37.720]  話說有一天
[00:00:37.720 --> 00:00:46.400]  我在預備高中大專的哥哥姐姐的水禮班主日學
[00:00:46.400 --> 00:00:48.640]  我突然在預備的時候在想
[00:00:48.640 --> 00:00:51.600]  我們信了這個信仰這麼久
[00:00:51.600 --> 00:00:53.360]  我們回教會這麼久
[00:00:53.360 --> 00:00:58.600]  如果要你想基督教信仰的時候
[00:00:58.600 --> 00:01:01.240]  我們會想起什麼呢?
[00:01:01.240 --> 00:01:03.640]  我不知道你會想起什麼
[00:01:03.640 --> 00:01:06.240]  我不知道以下這些答案
[00:01:06.240 --> 00:01:12.440]  會不會是你想到的東西呢?
[00:01:12.440 --> 00:01:14.520]  先看看
[00:01:14.520 --> 00:01:17.600]  按不到的,等一下
[00:01:17.600 --> 00:01:18.800]  喂?
[00:01:18.800 --> 00:01:19.600]  Henry機?
[00:01:19.600 --> 00:01:22.600]  等一下
[00:01:22.600 --> 00:01:24.320]  行了
[00:01:24.320 --> 00:01:26.320]  先看看
[00:01:26.320 --> 00:01:27.600]  OK
[00:01:27.600 --> 00:01:30.560]  這些會不會是你的答案呢?
[00:01:30.560 --> 00:01:32.440]  可能你想起基督教信仰的時候
[00:01:32.440 --> 00:01:34.200]  你會想起愛人如己
[00:01:34.200 --> 00:01:36.320]  你會想起神愛世人
