
[00:00:00.000 --> 00:00:03.640]  很感恩今天能夠來到大家當中
[00:00:03.640 --> 00:00:05.080]  繼續分享神的說話
[00:00:05.080 --> 00:00:06.840]  開始的時候我們一起禱告
[00:00:06.840 --> 00:00:10.400]  天父我們願意祢自己得著
[00:00:10.400 --> 00:00:11.800]  祢所謂的榮耀
[00:00:11.800 --> 00:00:14.520]  因為在每一段經文裡面
[00:00:14.520 --> 00:00:15.800]  祢心藏的智慧
[00:00:15.800 --> 00:00:17.800]  都不是人能夠用口
[00:00:17.800 --> 00:00:20.120]  完全的能夠說得出來
[00:00:20.120 --> 00:00:21.880]  但是唯有祢自己的話語
[00:00:21.880 --> 00:00:23.800]  引入我們心中的時候
[00:00:23.800 --> 00:00:25.080]  主耶利幫助我們
[00:00:25.080 --> 00:00:26.680]  我們能夠完全的領受
[00:00:26.680 --> 00:00:27.840]  憑著聖靈的力量
[00:00:27.840 --> 00:00:29.240]  以致我們能夠活出
[00:00:29.240 --> 00:00:30.240]  我們這樣的禱告
[00:00:30.240 --> 00:00:32.160]  交託奉耶穌基督的名而求
[00:00:32.160 --> 00:00:33.160]  阿們
[00:00:33.160 --> 00:00:37.920]  我記得在我中學畢業的時候
[00:00:37.920 --> 00:00:40.000]  陳慧嫻小姐的《千千缺歌》
[00:00:40.000 --> 00:00:42.120]  是我們送別同學和朋友時
[00:00:42.120 --> 00:00:43.000]  唱出的心聲
[00:00:43.000 --> 00:00:44.000]  我想大家一說的時候
[00:00:44.000 --> 00:00:45.520]  大家的歌都響起
[00:00:45.520 --> 00:00:46.960]  在你的心中
[00:00:46.960 --> 00:00:50.320]  這個浪潮近來又湧起了
[00:00:50.320 --> 00:00:52.080]  在我們大家的生活裡面
[00:00:52.080 --> 00:00:54.920]  近來每個星期都有機會
[00:00:54.920 --> 00:00:56.880]  或者都需要和朋友
[00:00:56.880 --> 00:00:57.800]  家人
[00:00:57.800 --> 00:01:00.080]  或者是弟兄姊妹話別
[00:01:00.080 --> 00:01:03.000]  一個又一個熟悉的家庭離開香港
