
[00:00:00.000 --> 00:00:03.640]  我們今天能夠健健康康、精精神神
[00:00:03.640 --> 00:00:06.680]  回來一起唱詩敬拜神
[00:00:06.680 --> 00:00:09.880]  能夠一起聽到其實是一件很感恩的事情
[00:00:09.880 --> 00:00:14.200]  聖經說:喜愛耶和華的律法、晝夜思想
[00:00:14.200 --> 00:00:16.080]  這就是有福的人
[00:00:16.080 --> 00:00:20.240]  心願我們每一個都能夠得著這份福氣
[00:00:20.240 --> 00:00:24.760]  不知道大家有沒有知道
[00:00:24.760 --> 00:00:30.520]  我們已經去到文素記講完了沒有?
[00:00:30.520 --> 00:00:31.640]  (講完了)
[00:00:31.640 --> 00:00:35.200]  非常好,起碼都知道已經講完了
[00:00:35.200 --> 00:00:38.160]  我們從去年七月開始
[00:00:38.160 --> 00:00:40.720]  文素記的講道系列不知不覺間
[00:00:40.720 --> 00:00:42.240]  去到今年五月
[00:00:42.240 --> 00:00:44.680]  我們已經用了十一個月的時間
[00:00:44.680 --> 00:00:47.920]  完整地去思考了文素記
[00:00:47.920 --> 00:00:51.680]  文素記提到一個漫長的旅程
[00:00:51.680 --> 00:00:57.000]  是耶和華如何在曠野裡去熬練屬祂的子民
[00:00:57.000 --> 00:00:59.560]  以致引心刻去體會
[00:00:59.560 --> 00:01:03.120]  與神納約那份不離不棄的愛
[00:01:03.120 --> 00:01:05.520]  如果我們要回應神的愛
[00:01:05.520 --> 00:01:09.200]  屬神子民就要在大大小小的事情
[00:01:09.200 --> 00:01:10.320]  抉擇上高
[00:01:10.320 --> 00:01:12.200]  選擇依靠上帝
[00:01:12.200 --> 00:01:14.720]  活出上帝的吩咐
[00:01:14.720 --> 00:01:18.600]  讓這個群體成為一個活的見證
[00:01:18.600 --> 00:01:22.160]  弟兄姊妹的靈命能夠健康成長
[00:01:22.160 --> 00:01:26.840]  很在乎我們有沒有紮根在神的話裡
[00:01:26.840 --> 00:01:30.040]  《直童團記》在接下來的九月開始
[00:01:30.040 --> 00:01:32.760]  我們會查考希伯來書
[00:01:32.760 --> 00:01:35.960]  為了讓弟兄姊妹更多機會思考
[00:01:35.960 --> 00:01:38.040]  九月份的崇拜系列講道
[00:01:38.040 --> 00:01:40.480]  將會去宣講希伯來書
[00:01:40.480 --> 00:01:44.120]  主題是「定徵基督,興漢榮辱」
[00:01:44.120 --> 00:01:46.480]  這段時間由今個主日開始
[00:01:46.480 --> 00:01:51.320]  至八月份我們會透過詩篇作為崇拜系列的講道
[00:01:51.320 --> 00:01:54.560]  講完這番話之後
[00:01:54.560 --> 00:01:57.000]  我就想考考大家
[00:01:57.000 --> 00:02:00.880]  預備好了,大家要集中精神
[00:02:00.880 --> 00:02:03.840]  一會兒我會出一幅圖
[00:02:03.840 --> 00:02:07.680]  你們要第一眼看到什麼就是什麼
[00:02:07.680 --> 00:02:08.800]  預備了
[00:02:08.800 --> 00:02:09.640]  好,預備
[00:02:09.640 --> 00:02:11.560]  一、二、三
[00:02:11.560 --> 00:02:15.480]  好,問問大家
[00:02:15.480 --> 00:02:21.080]  在座有多少弟兄姊妹第一眼看到有三隻小鳥在翻雀巢
[00:02:21.080 --> 00:02:24.440]  而且在樹洞裡還有兩隻嬰兒在等候
[00:02:24.440 --> 00:02:26.720]  有多少人第一眼看到這個?
[00:02:26.720 --> 00:02:28.000]  好
[00:02:28.000 --> 00:02:32.040]  有多少人第一眼看到一位女士
[00:02:32.040 --> 00:02:35.360]  仍望著遠方浪漫?
[00:02:35.360 --> 00:02:37.600]  也有一半一半
[00:02:37.600 --> 00:02:40.080]  原來有心理學家指出
